Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Optimal Economic Dispatch in Microgrids with Renewable Energy Sources,"Daniel Santillan-Lemus, F.; Minor-Popocatl, Hertwin; Aguilar-Mejia, Omar; Tapia-Olvera, Ruben",,,,ENERGIES,JAN 1 2019,2019,12,1,,,,,,181,10.3390/en12010181,,,16,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,6,3,3,0
Adaptive Neural Network Control Of Chaos In Permanent Magnet Synchronous Motor,"Aguilar-Mejia, Omar; Tapia-Olvera, Ruben; Valderrabano-Gonzalez, Antonio; Rivas Cambero, Ivan",,,,INTELLIGENT AUTOMATION AND SOFT COMPUTING,2016,2016,22,3,,,,499.0,507,,10.1080/10798587.2015.1103971,,,14,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,3,1,2,0,0,0
Design and Performance Comparison of PI and Adaptive Current Controllers for a WECS,"Aguilar, O.; Tapia, R.; Valderrabano, A.; Minor, H.",,,,IEEE LATIN AMERICA TRANSACTIONS,MAY 2015,2015,13,5,,,,1361.0,1368,,10.1109/TLA.2015.7111990,,,14,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,2,1,1,1,1,0
Optimization of the Supply Chain in the Production of Ethanol from Agricultural Biomass Using Mixed-Integer Linear Programming (MILP): A Case Study,"Leon-Olivares, Edgar; Minor-Popocatl, Hertwin; Aguilar-Mejia, Omar; Sanchez-Partida, Diana",,,,MATHEMATICAL PROBLEMS IN ENGINEERING,MAR 11 2020,2020,2020,,,,,,,6029507,10.1155/2020/6029507,,,13,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,6,1
Power System Stabilizer and Secondary Voltage Regulator Tuning for Multi-machine Power Systems,"Tapia, Ruben; Aguilar, Omar; Minor, Hertwin; Santiago, Cesar",,,,ELECTRIC POWER COMPONENTS AND SYSTEMS,2012,2012,40,16,,,,1751.0,1767,,10.1080/15325008.2012.722582,,,13,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,2,0,1,2,0,0,1,0
A New Adaptive RISE Feedforward Approach based on Associative Memory Neural Networks for the Control of PKMs,"Martin Escorcia-Hernandez, Jonatan; Aguilar-Sierra, Hipolito; Aguilar-Mejia, Omar; Chemori, Ahmed; Humberto Arroyo-Nunez, Jose",,,,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,DEC 2020,2020,100,3-4,,,,827.0,847,,10.1007/s10846-020-01242-9,,,11,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,2,0
An online algebraic estimation approach of parameters and variable mechanical torque in shunt DC motors,"Beltran-Carbajal, Francisco; Tapia-Olvera, Ruben; Aguilar-Mejia, Omar; Favela-Contreras, Antonio; Lopez-Garcia, Irvin",,,,INTERNATIONAL TRANSACTIONS ON ELECTRICAL ENERGY SYSTEMS,JAN 2018,2018,28,1,,,,,,e2474,10.1002/etep.2474,,,10,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1,0,3,0
On Line Adaptive Neurocontroller for Regulating Angular Position and Trajectory of Quadrotor System,"Yanez-Badillo, Hugo; Tapia-Olvera, Ruben; Aguilar-Mejia, Omar; Beltran-Carbajal, Francisco",,,,REVISTA IBEROAMERICANA DE AUTOMATICA E INFORMATICA INDUSTRIAL,APR-JUN 2017,2017,14,2,,,,141.0,151,,10.1016/j.riai.2017.01.001,,,10,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,1,1,0,0
An Intelligent Compensation Through B-Spline Neural Network for a Delta Parallel Robot,"Escorcia-Hernandez, Jonatan Martin; Aguilar-Sierra, Hipohto; Aguilar-Mejia, Omar; Chemori, Ahmed; Arroyo-Nunez, Jose Humberto",,,,"2019 6TH INTERNATIONAL CONFERENCE ON CONTROL, DECISION AND INFORMATION TECHNOLOGIES (CODIT 2019)",2019,2019,,,,,,361.0,366,,,"6th International Conference on Control, Decision and Information Technologies (CoDIT)","APR 23-26, 2019",8,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0
Using robot to motivate computational thinking in high school students,"Enriquez, C.; Aguilar, O.; Dominguez, F.",,,,IEEE LATIN AMERICA TRANSACTIONS,NOV 2016,2016,14,11,,,,4620.0,4625,,10.1109/TLA.2016.7795838,,,8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,1,0,0
