Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Use of Hydrogen Donors for Partial Upgrading of Heavy Petroleum,"Aleman-Vazquez, Laura O.; Torres-Mancera, Pablo; Ancheyta, Jorge; Ramirez-Salgado, Joel",,,,ENERGY & FUELS,NOV 2016,2016,30.0,11,,,,9050,9060,,10.1021/acs.energyfuels.6b01656,,,63,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,6,6,12,6,11,12,0
"Effect of tetralin, decalin and naphthalene as hydrogen donors in the upgrading of heavy oils","Aleman-Vazquez, L. O.; Cano-Dominguez, J. L.; Garcia-Gutierrez, J. L.",,,"Kluson, P",CHISA 2012,2012,2012,42.0,,,,,532,539,,10.1016/j.proeng.2012.07.445,20th International Congress of Chemical and Process Engineering CHISA,"AUG 25-29, 2012",62,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,7,6,5,10,6,6,8,5
Effect of the particle size on the activity of MoOxCy catalysts for the isomerization of heptane,"Alemán-Vázquez, L; Torres-García, E; Villagómez-Ibarra, J; Cano-Domínguez, J",,,,CATALYSIS LETTERS,APR 2005,2005,100.0,3-4,,,,219,225,,10.1007/s10562-004-3459-0,,,36,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,2,6,6,5,6,3,1
Polyisobutenylsuccinimides as detergents and dispersants in fuel:: infrared spectroscopy application,"Alemán-Vázquez, LO; Villagómez-Ibarra, JR",,,,FUEL,MAY 2001,2001,80.0,7,,,,965,968,,10.1016/S0016-2361(00)00167-8,,,29,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,2,0,2,1,2,2,4,2,2,0,1,1,3,1,0,0,0
Binder effect on the catalytic activity of MoO3 bulk catalyst reduced by H2 for n-heptane hydroisomerization,"Olivia Aleman-Vazquez, Laura; Hernandez-Perez, Fidencio; Luis Cano-Dominguez, Jose; Rodriguez-Hernandez, Andrea; Luis Garcia-Gutierrez, Jose",,,,FUEL,JAN 2014,2014,117.0,,A,,,463,469,,10.1016/j.fuel.2013.08.085,,,27,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,3,4,2,2,3,1,0,1
Industrial Aplication of Catalytic Systems for n-Heptane Isomerization,"Olivia Aleman-Vazquez, Laura; Luis Cano-Dominguez, Jose; Torres-Garcia, Enelio; Roberto Villagomez-Ibarra, Jose",,,,MOLECULES,JUL 2011,2011,16.0,7,,,,5916,5927,,10.3390/molecules16075916,,,21,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,3,2,2,2,5,1,0
Structural and thermal study of carbon-modified molybdenum sub-oxide catalysts,"Rodriguez-Gattorno, G.; Martinez-Hernandez, A.; Aleman-Vazquez, L. O.; Torres-Garcia, E.",,,,APPLIED CATALYSIS A-GENERAL,APR 11 2007,2007,321.0,2,,,,117,124,,10.1016/j.apcata.2007.01.050,,,19,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,0,1,2,0,2,1,0,0,2,1,1
Oxidation process of MoOxCy to MoO3:: kinetics and mechanism,"Aleman-Vázquez, LO; Torres-García, E; Rodríguez-Gattorno, G; Ocotlán-Flores, J; Camacho-López, MA; Cano, JL",,,,JOURNAL OF SOLID STATE CHEMISTRY,OCT 2004,2004,177.0,10,,,,3281,3289,,10.1016/j.jssc.2004.05.035,,,16,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,1,0,2,0,1,2,0,1,1,1,0,0,0,0
Study of selectivity of MoO3-catalyzed C6-C7 hydrocarbons hydroisomerization: Mechanistic insights into the formation of carbonaceous deposits on the catalyst surface,"Luis Garcia-Gutierrez, Jose; Luis Cano, Jose; Olivia Aleman-Vazquez, Laura; Jimenez-Cruz, Federico",,,,FUEL,APR 2012,2012,94.0,1,,,,532,543,,10.1016/j.fuel.2011.11.032,,,13,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,4,1,0,0,0,0,1,1,0
Cyclohexane ring opening on alumina-supported Rh and Ir nanoparticles,"Rodriguez-Gattorno, Geonel; Aleman-Vazquez, Laura O.; Angeles-Franco, Xochitl; Cano-Dominguez, Jose Luis; Villagomez-Ibarra, Roberto",,,,ENERGY & FUELS,MAR-APR 2007,2007,21.0,2,,,,1122,1126,,10.1021/ef060084i,,,12,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,2,0,0,2,1,0,1,0,0,0
