Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Chemical, Structural, and Morphological Changes of a MoVTeNb Catalyst during Oxidative Dehydrogenation of Ethane","Valente, Jaime S.; Armendariz-Herrera, Hector; Quintana-Solorzano, Roberto; del Angel, Paz; Nava, Noel; Masso, Amada; Lopez Nieto, Jose M.",,,,ACS CATALYSIS,MAY 2014,2014,4.0,5,,,,1292.0,1301.0,,10.1021/cs500143j,,,100,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,5,11,10,10,12,11,8,9,4
Kinetic Study of Oxidative Dehydrogenation of Ethane over MoVTeNb Mixed-Oxide Catalyst,"Valente, Jaime S.; Quintana-Solorzano, R.; Armendariz-Herrera, H.; Barragan-Rodriguez, G.; Lopez-Nieto, J. M.",,,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,FEB 5 2014,2014,53.0,5,,,,1775.0,1786.0,,10.1021/ie402447h,,,56,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,1,4,4,5,9,7,5,4,3
Understanding the kinetic behavior of a Mo-V-Te-Nb mixed oxide in the oxydehydrogenation of ethane,"Quintana-Solorzano, R.; Barragan-Rodriguez, G.; Armendariz-Herrera, H.; Lopez-Nieto, J. M.; Valente, Jaime S.",,,,FUEL,DEC 15 2014,2014,138.0,,,,,15.0,26.0,,10.1016/j.fuel.2014.07.051,,,24,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,3,4,3,2,0,0,1
Controlling the redox properties of nickel in NiO/ZrO2 catalysts synthesized by sol-gel,"Valente, Jaime S.; Valle-Orta, M.; Armendariz-Herrera, Hector; Quintana-Solorzano, R.; del Angel, Paz; Ramirez-Salgado, J.; Montiel-Lopez, J. R.",,,,CATALYSIS SCIENCE & TECHNOLOGY,AUG 21 2018,2018,8.0,16,,,,4070.0,4082.0,,10.1039/c8cy01259h,,,21,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,4,4,3,0
On the role of oxidation states in the electronic structure via the formation of oxygen vacancies of a doped MoVTeNbOx in propylene oxidation,"Ramirez-Salgado, Joel; Quintana-Solorzano, Roberto; Mejia-Centeno, Isidro; Armendariz-Herrera, Hector; Rodriguez-Hernandez, Andrea; de Lourdes Guzman-Castillo, Maria; Valente, Jaime S.",,,,APPLIED SURFACE SCIENCE,JAN 30 2022,2022,573.0,,,,,,,151428.0,10.1016/j.apsusc.2021.151428,,,17,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,7,0
Decarbonizing Petrochemical Processes: Contribution and Perspectives of the Selective Oxidation of C1-C3 Paraffins,"Valente, Jaime S.; Quintana-Solorzano, Roberto; Armendariz-Herrera, Hector; Millet, Jean-Marc M.",,,,ACS CATALYSIS,,2023,,,,,,1693.0,1716.0,,10.1021/acscatal.2c05161,,,16,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,2
Discerning the Metal Doping Effect on Surface Redox and Acidic Properties in a MoVTeNbOx for Propa(e)ne Oxidation,"Quintana-Solorzano, Roberto; Mejia-Centeno, Isidro; Armendariz-Herrera, Hector; Ramirez-Salgado, Joel; Rodriguez-Hernandez, Andrea; Guzman-Castillo, Maria De Lourdes; Nieto, Jose M. Lopez; Valente, Jaime S.",,,,ACS OMEGA,JUN 15 2021,2021,6.0,23,,,,15279.0,15291.0,,10.1021/acsomega.1c01591,,,16,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,6,3
Y zeolite depolymerization-recrystallization: Simultaneous formation of hierarchical porosity and Na dislodging,"Guzman-Castillo, M. L.; Armendariz-Herrera, Hector; Perez-Romo, P.; Hernandez-Beltran, F.; Ibarra, S.; Valente, J. S.; Fripiat, J. J.",,,,MICROPOROUS AND MESOPOROUS MATERIALS,SEP 2011,2011,143.0,2-3,,,,375.0,382.0,,10.1016/j.micromeso.2011.03.020,,,16,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,0,0,0,1,1,2,1,2,0
Benzene reduction in gasoline by alkylation with propylene over MCM-22 zeolite with a different Bronsted/Lewis acidity ratios,"Laredo, Georgina C.; Quintana-Solorzano, Roberto; Jesus Castillo, J.; Armendariz-Herrera, Hector; Luis Garcia-Gutierrez, Jose",,,,APPLIED CATALYSIS A-GENERAL,MAR 15 2013,2013,454.0,,,,,37.0,45.0,,10.1016/j.apcata.2013.01.001,,,15,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,0,4,2,1,1,0
Crystallization of faujasite Y from seeds dispersed on mesoporous materials,"Perez-Romo, Patricia; Armendariz-Herrera, Hector; Valente, Jaime S.; de Lourdes Guzman-Castillo, Maria; Hernandez-Beltran, Francisco; Fripiat, Jose J.",,,,MICROPOROUS AND MESOPOROUS MATERIALS,AUG 2010,2010,132.0,3,,,,363.0,374.0,,10.1016/j.micromeso.2010.03.015,,,14,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,1,0,1,1,2,1,0,0,1
