Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Sampling and characterization of pepper chilli (Capsicum spp) in Tabasco, Mexico","Castanon-Najera, G.; Latournerie-Moreno, L.; Mendoza-Elos, M.; Vargas-Lopez, A.; Cardenas-Morales, H.",,,,PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY,2008,2008,77,,,,,189,202,,,,,24,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,3,1,0,2,3,3,2,2,1,0,0
Heterosis and combining ability of tropical maize populations,"De la Cruz-Lazaro, E.; Castanon-Najera, G.; Brito-Manzano, N. P.; Gomez-Vazquez, A.; Robledo-Torres, V.; Lozano del Rio, A. J.",,,,PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY,2010,2010,79,,,,,11,17,,,,,20,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,4,2,2,1,1,2,0,0
"In situ MORPHOLOGICAL DIVERSITY OF WILD PEPPERS (Capsicum spp.) IN TABASCO, MEXICO","Narez-Jimenez, Carlos A.; de-la-Cruz-Lazarol, Efrain; Gomez-Vazquez, Armando; Castanon-Najera, Guillermo; Cruz-Hernandez, Aldenamar; Marquez-Quiroz, Cesar",,,,REVISTA FITOTECNIA MEXICANA,JUL-SEP 2014,2014,37,3.0,,,,209,215,,,,,11,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,1,2,0,0
Assessment of phenotypic diversity and agronomic contrast in American accessions of Jatropha curcas L.,"Aguilera-Cauich, Erick A.; Perez-Brito, Daisy; Navarrete Yabur, Abelardo; Lopez-Puc, Guadalupe; Castanon Najera, Guillermo; Sacramento Rivero, Julio Cesar; Rubio Atoche, Carlos; Uc-Varguez, Alberto; Gongora-Canul, Carlos; Mijangos-Cortes, Javier O.",,,,INDUSTRIAL CROPS AND PRODUCTS,DEC 23 2015,2015,77,,,,,1001,1003,,10.1016/j.indcrop.2015.09.063,,,6,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,1,0
"Morphological diversity of native maize (Zea mays L.) populations in the state of Tabasco, Mexico","Guillen-de la Cruz, Pedro; de la Cruz-Lazaro, Efrain; Rodriguez-Herrera, Sergio A.; Castanon-Najera, Guillermo; Gomez-Vazquez, Armando; Lozano-del Rio, Alejandro J.",,,,REVISTA DE LA FACULTAD DE CIENCIAS AGRARIAS,2014,2014,46,2.0,,,,239,247,,,,,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0
COMBINING ABILITY AND HETEROTIC EFFECTS IN SWEET PEPPER POPULATIONS (Capsicum annuum L.),"Pech May, Anastacio M.; Castanon Najera, Guillermo; Tun Suarez, Jose M.; Mendoza Elos, Mariano; Mijangos Cortes, Javier O.; Perez Gutierrez, Alfonzo; Latournerie Moreno, Luis",,,,REVISTA FITOTECNIA MEXICANA,OCT-DEC 2010,2010,33,4.0,,,,353,360,,,,,6,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0
Effect of nitrogen and phosphorus fertilization on phytic acid concentration and vigor of oat seed (var. Saia) in Mexico,"Rivera-Reyes, J. G.; Peraza-Luna, F. A.; Serratos-Arevalo, J. C.; Posos-Ponce, P.; Guzman-Maldonado, S. H.; Cortez-Baheza, E.; Castanon-Najera, G.; Mendoza-Elos, M.",,,,PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY,2009,2009,78,,,,,37,42,,,,,6,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0
AFLP marker application to explore heterosis in Capsicum spp.,"Castanon-Najera, G.; Ramirez-Meraz, M.; Ruiz-Salazar, R.; Mayek-Perez, N.",,,,PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY,2011,2011,80,,,,,53,58,,,,,4,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
Genetic Diversity and Structure From Antillean Manatee (Trichechus manatus manatus) in the Southern Gulf of Mexico: Comparison Between Connected and Isolated Populations,"Gomez-Carrasco, Guadalupe; Maria Lesher-Gordillo, Julia; David Olivera-Gomez, Leon; Bonde, Robert K.; Arriaga-Weiss, Stefan; Hernandez-Martinez, Raymundo; Castanon-Najera, Guillermo; Jimenez-Dominguez, Darwin; Romo-Lopez, Armando; Delgado-Estrella, Alberto",,,,TROPICAL CONSERVATION SCIENCE,AUG 31 2018,2018,11,,,,,1,10,,10.1177/1940082918795560,,,3,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
SCAR molecular markers to identify disease resistance sources in ayocote beans (Phaseolus coccineus),"Ruiz-Salazar, R.; Muruaga-Martinez, J. S.; Vargas-Vazquez, M. L. P.; Alejandre-Iturbide, G.; Castanon-Najera, G.; Hernandez-Delgado, S.; Almaraz-Abarca, N.; Mayek-Perez, N.",,,,PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY,2016,2016,85,,,,,184,193,,,,,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
