Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Oligomonocytic and overt chronic myelomonocytic leukemia show similar clinical, genomic, and immunophenotypic features","Calvo, Xavier; Garcia-Gisbert, Nieves; Parraga, Ivonne; Gibert, Joan; Florensa, Lourdes; Andrade-Campos, Marcio; Merchan, Brayan; Garcia-Avila, Sara; Montesdeoca, Sara; Fernandez-Rodriguez, Concepcion; Salido, Marta; Puiggros, Anna; Espinet, Blanca; Colomo, Luis; Roman-Bravo, David; Bellosillo, Beatriz; Ferrer, Ana; Arenillas, Leonor",,,,BLOOD ADVANCES,OCT 27 2020,2020,4,20.0,,,,5285,5296,,10.1182/bloodadvances.2020002206,62nd Annual Meeting and Exposition of the American-Society-of-Hematology (ASH),"DEC 07-10, 2019",31,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,9,5,1
Outcomes and molecular profile of oligomonocytic CMML support its consideration as the first stage in the CMML continuum,"Calvo, Xavier; Roman-Bravo, David; Garcia-Gisbert, Nieves; Rodriguez-Sevilla, Juan Jose; Garcia-Avila, Sara; Florensa, Lourdes; Gibert, Joan; Fernandez-Rodriguez, Concepcion; Salido, Marta; Puiggros, Anna; Espinet, Blanca; Colomo, Luis; Bellosillo, Beatriz; Ferrer, Ana; Arenillas, Leonor",,,,BLOOD ADVANCES,JUL 12 2022,2022,6,13.0,,,,3921,3931,,10.1182/bloodadvances.2022007359,,,16,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,1
Molecular and cytogenetic characterization of myelodysplastic syndromes in cell-free DNA,"Garcia-Gisbert, Nieves; Garcia-Avila, Sara; Merchan, Brayan; Salido, Marta; Fernandez-Rodriguez, Concepcion; Gibert, Joan; Fernandez-Ibarrondo, Lierni; Camacho, Laura; Lafuente, Marta; Longaron, Raquel; Espinet, Blanca; Velez, Patrica; Pujol, Raman M.; Andrade-campos, Marcio; Arenillas, Leonor; Salar, Antonio; Calvo, Xavier; Besses, Carles; Bellosillo, Beatriz",,,,BLOOD ADVANCES,MAY 24 2022,2022,6,10.0,,,,3178,3188,,10.1182/bloodadvances.2021006565,,,13,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0
Multi-hit TET2 mutations as a differential molecular signature of oligomonocytic and overt chronic myelomonocytic leukemia,"Garcia-Gisbert, Nieves; Arenillas, Leonor; Roman-Bravo, David; Rodriguez-Sevilla, Juan Jose; Fernandez-Rodriguez, Concepcion; Garcia-Avila, Sara; Velez, Patricia; Gibert, Joan; Fernandez-Ibarrondo, Lierni; Salar, Antonio; Florensa, Lourdes; Bellosillo, Beatriz; Ferrer, Ana; Calvo, Xavier",,,,LEUKEMIA,DEC 2022,2022,36,12.0,,,,2922,2926,,10.1038/s41375-022-01733-8,,,10,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0
NLRP3 inflammasome activation and symptom burden in KRAS-mutated CMML patients is reverted by IL-1 blocking therapy,"Hurtado-Navarro, Laura; Cuenca-Zamora, Ernesto Jose; Zamora, Lurdes; Bellosillo, Beatriz; Such, Esperanza; Soler-Espejo, Eva; Martinez-Banaclocha, Helios; Hernandez-Rivas, Jesus M.; Marco-Ayala, Javier; Martinez-Alarcon, Laura; Linares-Latorre, Lola; Garcia-Avila, Sara; Amat-Martinez, Paula; Gonzalez, Teresa; Arnan, Montserrat; Pomares-Marin, Helena; Carreno-Tarragona, Gonzalo; Chen-Liang, Tzu Hua; Herranz, Maria T.; Garcia-Palenciano, Carlos; Luz Morales, Maria; Jerez, Andres; Lozano, Maria L.; Teruel-Montoya, Raul; Pelegrin, Pablo; Ferrer-Marin, Francisca",,,,CELL REPORTS MEDICINE,DEC 19 2023,2023,4,12.0,,,,,,101329.0,10.1016/j.xcrm.2023.101329,,,8,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
Clostridium difficile associated diarrhoea: An increased problem,"Urbina Soto, Leticia; Garcia Avila, Sara; Cordoba Alonso, Ana Isabel; Roiz Mesones, M. Pia; Arnaiz Garcia, Ana M.; Valero Diaz de Lamadrid, M. Carmen",,,,MEDICINA CLINICA,DEC 16 2016,2016,147,12.0,,,,543,546,,10.1016/j.medcli.2016.09.026,,,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Myelodysplastic Syndromes Presenting with Isolated Thrombocytopenia: A Less Aggressive Form of Presentation and with Better Prognosis,"Solange Flores-Moran, Marie; Arenillas, Leonor; Ferrer, Ana; Lopez-Cadenas, Felix; Garcia-Avila, Sara; Fernandez, Concepcion; Salar, Antonio; Calvo, Xavier",,,,BLOOD,NOV 15 2022,2022,140,,,1,,6960,6961,,10.1182/blood-2022-167567,64th Annual Meeting and Exposition of the American-Society-of-Hematology (ASH),"DEC 10-13, 2022",2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Iadademstat in combination with azacitidine in patients with newly diagnosed acute myeloid leukaemia (ALICE) :an open-label, phase 2a dose-finding study","Salamero, Olga; Molero, Antonieta; Perez-Simon, Jose Antonio; Arnan, Montserrat; Coll, Rosa; Garcia-Avila, Sara; Acuna-Cruz, Evelyn; Cano, Isabel; Somervaille, Tim C. P.; Gutierrez, Sonia; Arevalo, Maria Isabel; Xaus, Jordi; Buesa, Carlos; Limon, Ana; Faller, Douglas, V; Bosch, Francesc; Montesinos, Pau",,,,LANCET HAEMATOLOGY,JUL 2024,2024,11,7.0,,,,e487,e498,,10.1016/S2352-3026(24)00132-7,,,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Venetoclax and Azacytidine Treatment for High Risk Myelodysplastic Syndromes and Chronic Myelomonocytic Leukemia As a Bridge Therapy to Transplant. a GESMD Study,"Zugasti, Ines; Castano-Diez, Sandra; Esteban, Daniel; Avendano Pita, Alejandro; Pomares, Helena; Perez Gonzalez, Ana; Garcia-Avila, Sara; Padilla-Conejo, Irene; de la Fuente, Cristina; Martinez-Roca, Alexandra; Guijarro, Francesca; Alamo Moreno, Jose Ramon; Jimenez-Vicente, Carlos; Cortes-Bullich, Albert; Torrecillas, Victor; Guardia, Ares; Munarriz, Daniel; Carcelero, Esther; Suarez-Lledo, Maria; Queralt Salas, Maria; Lopez, Felix; Ramos, Fernando; Xicoy, Blanca; Valcarcel, David; Arnan Sangerman, Montserrat; Diez-Campelo, Maria; Martinez, Carmen; Rovira, Montserrat; Fernandez-Aviles, Francesc; Esteve, Jordi; Diaz-Beya, Marina",,,,BLOOD,NOV 2 2023,2023,142,,,1,,,,,10.1182/blood-2023-186777,65th Annual Meeting of the American-Society-of-Hematology (ASH),"DEC 09-12, 2023",1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TP53 Allelic State in Myelodysplastic Syndromes with 5q Deletion,"Montoro Gomez, Maria Julia; Palomo, Laura; Vidal, Pablo; Fuster-Tormo, Francisco; Such, Esperanza; Ortega, Margarita; Gonzalez, Teresa; Lopez-Cadenas, Felix; Garcia-Avila, Sara; Garcia-Gisbert, Nieves; Mora Castera, Elvira; Rivero, Eugenia; Bosch, Francesc; Jerez, Andres; Diez-Campelo, Maria; Sole, Francesc; Valcarcel, David",,,,BLOOD,NOV 15 2022,2022,140,,,1,,6949,6951,,10.1182/blood-2022-165257,64th Annual Meeting and Exposition of the American-Society-of-Hematology (ASH),"DEC 10-13, 2022",1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
