Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Genetic analysis of bone quality traits and growth in a random mating broiler population,"Gonzalez-Ceron, F.; Rekaya, R.; Aggrey, S. E.",,,,POULTRY SCIENCE,MAY 2015,2015,94.0,5.0,,,,883,889,,10.3382/ps/pev056,,,38,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,6,4,8,5,2,2,1
Comparison of four nonlinear growth models in Creole chickens of Mexico,"Mata-Estrada, Analy; Gonzalez-Ceron, Fernando; Pro-Martinez, Arturo; Torres-Hernandez, Glafiro; Bautista-Ortega, Jaime; Becerril-Perez, Carlos M.; Vargas-Galicia, Artemio J.; Sosa-Montes, Eliseo",,,,POULTRY SCIENCE,APR 2020,2020,99.0,4.0,,,,1995,2000,,10.1016/j.psj.2019.11.031,,,27,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,7,7,1
Genetic analysis of leg problems and growth in a random mating broiler population,"Gonzalez-Ceron, F.; Rekaya, R.; Anthony, N. B.; Aggrey, S. E.",,,,POULTRY SCIENCE,FEB 2015,2015,94.0,2.0,,,,162,168,,10.3382/ps/peu052,,,15,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,2,4,2,0,0
"TICKS INFESTING BODY REGIONS OF TROPICAL MILKING CRIOLLO CATTLE IN VERACRUZ, MEXICO","Gonzalez-Ceron, Fernando; Becerril-Perez, Carlos M.; Torres-Hernandez, Glafiro; Diaz-Rivera, Pablo",,,,AGROCIENCIA,JAN-FEB 2009,2009,43.0,1.0,,,,11,19,,,,,15,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,2,1,1,1,3,0,0,0,0
"Gene expression differences in the methionine remethylation and transsulphuration pathways under methionine restriction and recovery with D,L-methionine or D,L-HMTBA in meat-type chickens","Aggrey, S. E.; Gonzalez-Ceron, F.; Rekaya, R.; Mercier, Y.",,,,JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION,FEB 2018,2018,102.0,1.0,,,,E468,E475,,10.1111/jpn.12779,,,14,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,4,4,1
"Effect of litter material and stocking density on bone and tendon strength, and productive performance in broilers","Vargas-Galicia, Artemio J.; Sosa-Montes, Eliseo; Rodriguez-Ortega, Leodan T.; Pro-Martinez, Arturo; Ruiz-Feria, Ciro A.; Gonzalez-Ceron, Fernando; Gallegos-Sanchez, Jaime; Arreola-Enriquez, Jesus; Bautista-Ortega, Jaime",,,,CANADIAN JOURNAL OF ANIMAL SCIENCE,DEC 2017,2017,97.0,4.0,,,,673,682,,10.1139/cjas-2016-0246,,,13,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,2,4,0
Genetic relationship between leg problems and bone quality traits in a random mating broiler population,"Gonzalez-Ceron, F.; Rekaya, R.; Aggrey, S. E.",,,,POULTRY SCIENCE,AUG 2015,2015,94.0,8.0,,,,1787,1790,,10.3382/ps/pev159,,,10,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,2,1,1,0
"Alteration of dietary cysteine affects activities of genes of the transsulfuration and glutathione pathways, and development of skin tissues and feather follicles in chickens","Da Silva, Joske Humberto Vilar; Gonzando-Ceron, Fernando; Howerth, Elizabeth W.; Rekaya, Romdhane; Aggrey, Samuel E.",,,,ANIMAL BIOTECHNOLOGY,MAY 3 2020,2020,31.0,3.0,,,,203,208,,10.1080/10495398.2019.1577253,,,8,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,1,0
NATURAL INFESTATION BY Amblyomma cajennense AND Boophilus microplus IN THE TROPICAL MILKING CRIOLLO CATTLE DURING THE RAINY SEASON,"Gonzalez-Ceron, Fernando; Becerril-Perez, Carlos M.; Torres-Hernandez, Glafiro; Diaz-Rivera, Pablo; Santellano-Estrada, Eduardo; Rosendo-Ponce, Adalberto",,,,AGROCIENCIA,AUG-SEP 2009,2009,43.0,6.0,,,,577,584,,,,,7,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,0,0,1
Inhibition of the Transsulfuration Pathway Affects Growth and Feather Follicle Development in Meat-Type Chickens,"Da Silva, Jose Humberto Vilar; Gonzalez-Ceron, Fernando; Howerth, Elizabeth W.; Rekaya, Romdhane; Aggrey, Samuel E.",,,,ANIMAL BIOTECHNOLOGY,APR 3 2019,2019,30.0,2.0,,,,175,179,,10.1080/10495398.2018.1461634,,,6,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0
