Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Surface modification of natural halloysite clay nanotubes with aminosilanes. Application as catalyst supports in the atom transfer radical polymerization of methyl methacrylate,"Barrientos-Ramirez, S.; Montes de Oca-Ramirez, G.; Ramos-Fernandez, E. V.; Sepulveda-Escribano, A.; Pastor-Blas, M. M.; Gonzalez-Montiel, A.",,,,APPLIED CATALYSIS A-GENERAL,OCT 18 2011,2011,406.0,1-2,,,,22,33,,10.1016/j.apcata.2011.08.003,,,112,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,15,6,15,14,12,9,4,7,5,7,0
Use of nanotubes of natural halloysite as catalyst support in the atom transfer radical polymerization of methyl methacrylate,"Barrientos-Ramirez, S.; Ramos-Fernandez, E. V.; Silvestre-Albero, J.; Speulveda-Escribano, A.; Pastor-Blas, M. M.; Gonzalez-Montiel, A.",,,,MICROPOROUS AND MESOPOROUS MATERIALS,APR 1 2009,2009,120.0,1-2,,,,132,140,,10.1016/j.micromeso.2008.08.015,3rd International Workshop on New Challenges for Nanoporous Materials,"SEP 24-26, 2007",100,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,11,7,11,12,9,7,10,7,5,3,4,1,2,0
Mechanical behavior of polystyrene grafted carbon nanotubes/polystyrene nanocomposites,"Fragneaud, B.; Masenelli-Varlot, K.; Gonzalez-Montiel, A.; Terrones, M.; Cavaille, J. Y.",,,,COMPOSITES SCIENCE AND TECHNOLOGY,DEC 2008,2008,68.0,15-16,,,,3265,3271,,10.1016/j.compscitech.2008.08.013,,,67,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,5,7,5,7,8,3,3,3,2,2,1,3,2,1
Nanotube brushes:: Polystyrene grafted covalently on CNx nanotubes by nitroxide-mediated radical polymerization,"Dehonor, M; Varlot-Masenelli, K; González-Montiel, A; Gauthier, C; Cavaillé, JY; Terrones, H; Terrones, M",,,,CHEMICAL COMMUNICATIONS,2005,2005,,42,,,,5349,5351,,10.1039/b510471h,,,52,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,4,5,6,3,8,2,1,3,4,2,1,0,2,0,0,0,0
Efficient coating of N-doped carbon nanotubes with polystyrene using atomic transfer radical polymerization,"Fragneaud, B; Masenelli-Varlot, K; Gonzalez-Montiel, A; Terrones, M; Cavaillé, JY",,,,CHEMICAL PHYSICS LETTERS,FEB 26 2006,2006,419.0,4-6,,,,567,573,,10.1016/j.cplett.2005.12.011,,,48,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,7,6,3,5,4,1,3,2,3,0,1,1,0,0,1,0
Electrical behavior of polymer grafted nanotubes/polymer nanocomposites using N-doped carbon nanotubes,"Fragneaud, Benjamin; Masenelli-Varlot, Karine; Gonzalez-Montiel, Alfonso; Terrones, Mauricio; Cavaille, Jean-Yves",,,,CHEMICAL PHYSICS LETTERS,AUG 17 2007,2007,444.0,1-3,,,,1,8,,10.1016/j.cplett.2007.06.107,,,25,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,5,5,1,3,0,0,1,1,0,0,0,1,0,0,0
Effect of Clinoptilolite and Sepiolite Nanoclays on Human and Parasitic Highly Phagocytic Cells,"Toledano-Magana, Yanis; Flores-Santos, Leticia; Montes de Oca, Georgina; Gonzalez-Montiel, Alfonso; Laclette, Juan-Pedro; Carrero, Julio-Cesar",,,,BIOMED RESEARCH INTERNATIONAL,2015,2015,2015.0,,,,,,,164980.0,10.1155/2015/164980,,,12,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,1,1,0,0
Grafting of polystyrene on nitrogen-doped multi-walled carbon nanotubes,"Dehonor, Mariarnne; Masenelli-Varlot, Karine; Gonzalez-Montiel, Alfonso; Gauthier, Catherine; Cavaille, Jean-Yves; Terrones, Mauricio",,,,JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY,OCT 2007,2007,7.0,10,,,,3450,3457,,10.1166/jnn.2007.817,ChemOnTubes International Conference,"APR, 2006",10,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Long chain branched structures of polylactic acid through reactive extrusion with styrene-acrylic copolymers bearing epoxy functional groups,"Martinez-Mercado, Eduardo; Alberto Ruiz-Trevino, F.; Gonzalez-Montiel, Alfonso; Lugo-Uribe, Luis E.; Flores-Santos, Leticia",,,,JOURNAL OF POLYMER RESEARCH,NOV 2019,2019,26.0,11,,,,,,260.0,10.1007/s10965-019-1938-7,,,9,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,1
Toxicological Evaluations in Macrophages and Mice Acutely and Chronically Exposed to Halloysite Clay Nanotubes Functionalized with Polystyrene,"Toledano-Magana, Yanis; Flores-Santos, Leticia; Montes de Oca, Georgina; Gonzalez-Montiel, Alfonso; Garcia-Ramos, Juan-Carlos; Mora, Conchi; Saavedra-Avila, Noemi-Alejandra; Gudino-Zayas, Marco; Gonzalez-Ramirez, Luisa-Carolina; Laclette, Juan P.; Carrero, Julio C.",,,,ACS OMEGA,NOV 9 2021,2021,6.0,44,,,,29882,29892,,10.1021/acsomega.1c04367,,,8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2
