Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Photocatalytic degradation of metoprolol in aqueous medium using a TiO2/natural zeolite composite,"Piedra Lopez, Jessica Guadalupe; Gonzalez Pichardo, Orlando Haciel; Pinedo Escobar, Jose Alfonso; Alejandro de Haro del Rio, David; Inchaurregui Mendez, Horacio; Gonzalez Rodriguez, Luis Mario",,,,FUEL,JAN 15 2021,2021,284.0,,,,,,,119030,10.1016/j.fuel.2020.119030,International-Mexican Congress on Chemical Reaction Engineering (IMCCRE),"NOV 22-25, 2020",45,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,12,15,3
Preparation of a new adsorbent for the removal of arsenic and its simulation with artificial neural network-based adsorption models,"Rodriguez-Romero, J. A.; Mendoza-Castillo, D., I; Reynel-Avila, H. E.; de Haro-Del Rio, D. A.; Gonzalez-Rodriguez, L. M.; Bonilla-Petriciolet, A.; Duran-Valle, C. J.; Camacho-Aguilar, K., I",,,,JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,AUG 2020,2020,8.0,4,,,,,,103928,10.1016/j.jece.2020.103928,,,39,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,9,9,7,1
Fluoride adsorption from aqueous solution using a protonated clinoptilolite and its modeling with artificial neural network-based equations,"Saucedo-Delgado, B. G.; De Haro-Del Rio, D. A.; Gonzalez-Rodriguez, L. M.; Reynel-Avila, H. E.; Mendoza-Castillo, D. I.; Bonilla-Petriciolet, A.; Rivera de la Rosa, J.",,,,JOURNAL OF FLUORINE CHEMISTRY,DEC 2017,2017,204.0,,,,,98.0,106.0,,10.1016/j.jfluchem.2017.11.002,,,34,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,4,9,3,0
"A broad overview comparing a fungal, thermal and acid pre-treatment of bean straw in terms of substrate and anaerobic digestion effect","Montoya-Rosales, J. J.; Peces, M.; Gonzalez-Rodriguez, L. M.; Alatriste-Mondragon, F.; Villa-Gomez, D. K.",,,,BIOMASS & BIOENERGY,NOV 2020,2020,142.0,,,,,,,105775,10.1016/j.biombioe.2020.105775,,,20,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,2,3
Synthesis and characterization of a polyurethane-polyaniline macroporous foam material for methyl orange removal in aqueous media,"Mendieta-Rodriguez, L. S.; Gonzalez-Rodriguez, L. M.; Alcaraz-Espinoza, Jose J.; Chavez-Guajardo, Alicia E.; Medina-Llamas, Juan C.",,,,MATERIALS TODAY COMMUNICATIONS,MAR 2021,2021,26.0,,,,,,,102155,10.1016/j.mtcomm.2021.102155,,,15,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,4,1
Anaerobic digestion of bean straw applying a fungal pre-treatment and using cow manure as co-substrate,"Villa Gomez, Denys Kristalia; Becerra Castaneda, Patricia; Montoya Rosales, Jose de Jesus; Gonzalez Rodriguez, Luis Mario",,,,ENVIRONMENTAL TECHNOLOGY,OCT 1 2020,2020,41.0,22,,,,2863.0,2874.0,,10.1080/09593330.2019.1587004,,,12,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,0,1,0
"Synthesis, characterization and photocatalytic activity evaluation of WO3, TiO2 and WO3/TiO2 supported on zeolite faujasite","Gonzalez Rodriguez, Luis Mario; Pinedo Escobar, Jose Alfonso; Piedra Lopez, Jessica Guadalupe; De Haro Del Rio, David Alejandro; Suarez Vazquez, Santiago Ivan; Carrillo Martinez, Cristina Jared; Gomez Solis, Christian; Can Chulim, Alvaro",,,,INTERNATIONAL JOURNAL OF CHEMICAL REACTOR ENGINEERING,NOV 2020,2020,18.0,10-11,,,,,,20200095,10.1515/ijcre-2020-0095,,,8,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1
Synthesis of zeolite LTA using an agro-industrial residue as the SiO2 precursor and evaluating its effectiveness in the removal of copper ions from water,"Mario Gonzalez-Rodriguez, Luis; Alan Perez-Duran, Nicolas; Loredo-Cancino, Margarita; Antonio Flores-Escamilla, Gerardo; Alejandro De Haro-Del Rio, David",,,,DESALINATION AND WATER TREATMENT,MAR 2019,2019,144.0,,,,,156.0,165.0,,10.5004/dwt.2019.23535,,,4,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0
Dye Degradation by Heterogeneous and Homogeneous Photocatalysis Processes. A Scaled-up Approach for a CPC Solar Reactor,"Gonzalez-Pereyra, D.; Gonzalez-Rodriguez, L. M.; Villanueva-Rodriguez, M.; Alonso-Segura, D.; Aba-Guevara, C. G.; Sanjuan-Galindo, R.; Ramos-Delgado, N. A.",,,,TOPICS IN CATALYSIS,AUG 2022,2022,65.0,9-12,,,SI,1062.0,1070.0,,10.1007/s11244-022-01692-5,,,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"Enhanced degradation of ciprofloxacin in water using ternary photocatalysts TiO2/SnO2/g-C3N4 under UV, visible, and solar light","Escareno-Torres, Gonzalo Alejandro; Pinedo-Escobar, Jose Alfonso; De Haro-Del Rio, David Alejandro; Becerra-Castaneda, Patricia; Araiza, Daniel G.; Inchaurregui-Mendez, Horacio; Carrillo-Martinez, Cristina Jared; Gonzalez-Rodriguez, Luis Mario",,,,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,,2023,,,,,,,,,10.1007/s11356-023-29166-5,,,2,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Reducing toxic element leaching in mine tailings with natural zeolite clinoptilolite,"Ferrel-Luna, Rosalinda; Garcia-Arreola, Maria Elena; Gonzalez-Rodriguez, Luis Mario; Loredo-Cancino, Margarita; Escarcega-Gonzalez, Carlos Enrique; De Haro-Del Rio, David Alejandro",,,,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,,2023,,,,,,,,,10.1007/s11356-023-27896-0,,,2,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Method To Configure a Multitube Membrane Reactor with Cooling Based on a Three-Dimensional Asymmetric Unit,"Inchaurregui Mendez, Horacio; Tiscareno Lechuga, Fernando; Ramirez Serrano, Armando; Gonzalez Rodriguez, Luis Mario",,,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,DEC 4 2019,2019,58.0,48,,,,21936.0,21944.0,,10.1021/acs.iecr.9b02075,,,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fabricating Ion Sieves by 3D Printing for Selective Lithium Adsorption from Brines,"Martinez, Omar Jair Licea; Delgado, Beatriz Guadalupe Saucedo; Rodriguez, Luis Mario Gonzalez; Sequeda, Jair Fernando Rangel; Rivera, Gloria Lourdes Dimas; Martinez, Ricardo Briones; Del Rio, David Alejandro De Haro",,,,CHEMISTRYSELECT,JUL 18 2024,2024,9.0,27,,,,,,e202401347,10.1002/slct.202401347,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
