Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Impact of land use on the hydraulic properties of the topsoil in a small French catchment,"Gonzalez-Sosa, E.; Braud, I.; Dehotin, J.; Lassabatere, L.; Angulo-Jaramillo, R.; Lagouy, M.; Branger, F.; Jacqueminet, C.; Kermadi, S.; Michel, K.",,,,HYDROLOGICAL PROCESSES,AUG 15 2010,2010,24.0,17,,,,2382.0,2399,,10.1002/hyp.7640,,,114,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,12,4,12,12,11,15,6,8,10,5,5,2
Assessing desertification risk in the semi-arid highlands of central Mexico,"Becerril-Pina, Rocio; Alberto Mastachi-Loza, Carlos; Gonzalez-Sosa, Enrique; Diaz-Delgado, Carlos; Ba, Khalidou M.",,,,JOURNAL OF ARID ENVIRONMENTS,SEP 2015,2015,120.0,,,,,4.0,13,,10.1016/j.jaridenv.2015.04.006,,,78,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,4,9,14,11,10,4,10,0
Rainfall interception and distribution patterns of gross precipitation around an isolated Ficus benjamina tree in an urban area,"Guevara-Escobar, A.; Gonzalez-Sosa, E.; Veliz-Chavez, C.; Ventura-Ramos, E.; Ramos-Salinas, M.",,,,JOURNAL OF HYDROLOGY,FEB 15 2007,2007,333.0,2-4,,,,532.0,541,,10.1016/j.jhydrol.2006.09.017,,,77,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,4,4,3,4,7,8,9,7,7,5,8,3,0
Experimental analysis of drainage and water storage of litter layers,"Guevara-Escobar, A.; Gonzalez-Sosa, E.; Ramos-Salinas, M.; Hernandez-Delgado, G. D.",,,,HYDROLOGY AND EARTH SYSTEM SCIENCES,2007,2007,11.0,5,,,,1703.0,1716,,10.5194/hess-11-1703-2007,,,68,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,5,4,3,4,5,3,7,3,9,6,5,4,2
Toward an Operational Bare Soil Moisture Mapping Using TerraSAR-X Data Acquired Over Agricultural Areas,"Aubert, Maelle; Baghdadi, Nicolas N.; Zribi, Mehrez; Ose, Kenji; El Hajj, Mahmoud; Vaudour, Emmanuelle; Gonzalez-Sosa, Enrique",,,,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,APR 2013,2013,6.0,2,3.0,,,900.0,916,,10.1109/JSTARS.2012.2220124,,,59,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,5,14,5,9,6,4,1,0
MUREX:: a land-surface field experiment to study the annual cycle of the energy and water budgets,"Calvet, JC; Bessemoulin, P; Noilhan, J; Berne, C; Braud, I; Courault, D; Fritz, N; Gonzalez-Sosa, E; Goutorbe, JP; Haverkamp, R; Jaubert, G; Kergoat, L; Lachaud, G; Laurent, JP; Mordelet, P; Olioso, A; Péris, P; Roujean, JL; Thony, JL; Tosca, C; Vauclin, M; Vignes, D",,,,ANNALES GEOPHYSICAE-ATMOSPHERES HYDROSPHERES AND SPACE SCIENCES,JUN 1999,1999,17.0,6,,,,838.0,854,,10.1007/s00585-999-0838-2,,,40,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,3,2,3,2,3,3,2,2,2,1,1,0,0,1,0,1,0,0,0,2,1,0,0
Integration of remote sensing techniques for monitoring desertification in Mexico,"Becerril-Pina, Rocio; Diaz-Delgado, Carlos; Alberto Mastachi-Loza, Carlos; Gonzalez-Sosa, Enrique",,,,HUMAN AND ECOLOGICAL RISK ASSESSMENT,2016,2016,22.0,6,,,,1323.0,1340,,10.1080/10807039.2016.1169914,,,29,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,8,4,7,2
Use of digital photography for analysis of canopy closure,"Guevara-Escobar, A; Tellez, J; Gonzalez-Sosa, E",,,,AGROFORESTRY SYSTEMS,DEC 2005,2005,65.0,3,,,,175.0,185,,10.1007/s10457-005-0504-y,,,28,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,0,2,1,2,1,0,0,1,2,3,0
Monitoring energy and mass transfers during the Alpilles-ReSeDA experiment,"Olioso, A; Braud, I; Chanzy, A; Demarty, M; Ducros, Y; Gaudu, JC; Gonzalez-Sosa, E; Lewan, E; Marloie, O; Ottlé, C; Prévot, L; Thony, JL; Autret, H; Bethenod, O; Bonnefond, JM; Bruguier, N; Buis, JP; Calvet, JC; Caselles, V; Chauki, H; Coll, C; François, C; Goujet, R; Jongschaap, R; Kerr, Y; King, C; Lagouarde, JP; Laurent, JP; Lecharpentier, P; McAneney, J; Moulin, S; Rubio, E; Weiss, M; Wigneron, JP",,,,AGRONOMIE,SEP-OCT 2002,2002,22.0,6,,,,597.0,610,,10.1051/agro:2002051,,,27,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,5,2,4,1,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0
Fog interception by Ball moss (Tillandsia recurvata),"Guevara-Escobar, A.; Cervantes-Jimenez, M.; Suzan-Azpiri, H.; Gonzalez-Sosa, E.; Hernandez-Sandoval, L.; Malda-Barrera, G.; Martinez-Diaz, M.",,,,HYDROLOGY AND EARTH SYSTEM SCIENCES,2011,2011,15.0,8,,,,2509.0,2518,,10.5194/hess-15-2509-2011,,,25,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,3,0,1,3,3,1,1,1,2,1
