Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Gastric Leak After Laparoscopic-Sleeve Gastrectomy for Obesity,"Maria Burgos, Ana; Braghetto, Italo; Csendes, Attila; Maluenda, Fernando; Korn, Owen; Yarmuch, Julio; Gutierrez, Luis",,,,OBESITY SURGERY,DEC 2009,2009,19,12.0,,,,1672,1677,,10.1007/s11695-009-9884-9,,,191,11.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,10,23,18,21,23,6,15,10,13,9,9,7,7,2
"Laparoscopic sleeve gastrectorny:: Surgical technique, indications and clinical results","Braghetto, Italo; Korn, Owen; Valladares, Hector; Gutierrez, Luis; Csendes, Attila; Debandi, Anibal; Castillo, Jaime; Rodriguez, Alberto; Burgos, Ana Maria; Brunet, Luis",,,,OBESITY SURGERY,NOV 2007,2007,17,11.0,,,,1442,1450,,10.1007/s11695-008-9421-2,,,113,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,14,10,14,8,6,4,3,2,7,4,4,5,1,2,5,0
Laparoscopic Treatment of Obese Patients with Gastroesophageal Reflux Disease and Barrett's Esophagus: a Prospective Study,"Braghetto, Italo; Korn, Owen; Csendes, Attila; Gutierrez, Luis; Valladares, Hector; Chacon, Max",,,,OBESITY SURGERY,MAY 2012,2012,22,5.0,,,,764,772,,10.1007/s11695-011-0531-x,,,75,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,4,5,4,12,9,10,4,2,4
Development of explicit criteria for prioritization of hip and knee replacement,"Escobar, Antonio; Quintana, Jose M.; Bilbao, Amaia; Ibanez, Berta; Arenaza, Juan C.; Gutierrez, Luis; Azkarate, Jesus; Guenaga, Jose I.; Vidaurreta, Ignacio",,,,JOURNAL OF EVALUATION IN CLINICAL PRACTICE,JUN 2007,2007,13,3.0,,,,429,434,,10.1111/j.1365-2753.2006.00733.x,,,24,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,1,0,0,1,3,1,1,3,1,2,1,2,0,0
Evolution of Type 2 Diabetes Mellitus in Non Morbid Obese Gastrectomized Patients with Roux en-Y Reconstruction: Retrospective Study,"Lanzarini, Enrique; Csendes, Attila; Lembach, Hans; Molina, Juan; Gutierrez, Luis; Silva, Johanna",,,,WORLD JOURNAL OF SURGERY,SEP 2010,2010,34,9.0,,,,2098,2102,,10.1007/s00268-010-0640-z,,,21,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3,1,2,1,2,1,2,2,0,0,0,0
Laparoscopic Resectional Gastric Bypass in Patients with Morbid Obesity: Experience on 112 Consecutive Patients,"Braghetto, Italo; Csendes, Attila; Korn, Owen; Gutierrez, Luis; Brunet, Luis; Lanzarini, Enrique; Mushle, Maher; Valladares, Hector; Rojas, Jorge",,,,JOURNAL OF GASTROINTESTINAL SURGERY,JAN 2011,2011,15,1.0,,,,71,80,,10.1007/s11605-010-1383-8,,,18,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,2,0,2,0,0,2,1,1,1,0
A time dependent Bayesian nonparametric model for air quality analysis,"Gutierrez, Luis; Mena, Ramses H.; Ruggiero, Matteo",,,,COMPUTATIONAL STATISTICS & DATA ANALYSIS,MAR 2016,2016,95,,,,,161,175,,10.1016/j.csda.2015.10.002,,,17,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,5,1,1,2,1
A Proposal To Protect Privacy Of Health Information While Accelerating Comparative Effectiveness Research,"Peddicord, Douglas; Waldo, Ann B.; Boutin, Marc; Grande, Tina; Gutierrez, Luis, Jr.",,,,HEALTH AFFAIRS,NOV 2010,2010,29,11.0,,,,2082,2090,,10.1377/hlthaff.2010.0635,,,15,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,1,2,0,1,0,1,1,0,1,0
Type 2 Diabetes Mellitus in Patients with Mild Obesity: Preliminary Results of Surgical Treatment,"Lanzarini, Enrique; Csendes, Attila; Gutierrez, Luis; Cuevas, Pedro; Lembach, Hanns; Molina, Juan C.; Musleh, Maher; Braghetto, Italo; Papapietro, Karin; Araya, Veronica; Lahsen, Rodolfo; Olguin, Pablo; Riffo, Andrea; Diaz, Emma; Montt, Denisse; Marin, Luciana",,,,OBESITY SURGERY,FEB 2013,2013,23,2.0,,,,234,240,,10.1007/s11695-012-0780-3,,,13,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,1,3,0,0,0,0,0,0,0
Bayesian nonparametric classification for spectroscopy data,"Gutierrez, Luis; Gutierrez-Pena, Eduardo; Mena, Ramses H.",,,,COMPUTATIONAL STATISTICS & DATA ANALYSIS,OCT 2014,2014,78,,,,,56,68,,10.1016/j.csda.2014.04.010,,,10,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4,1,0,0,1
