Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Crystal structure of zeolite omega, the synthetic counterpart of the natural zeolite mazzite","Martucci, A; Alberti, A; Guzman-Castillo, MD; Di Renzo, F; Fajula, F",,,,MICROPOROUS AND MESOPOROUS MATERIALS,SEP 18 2003,2003,63,1-3,,,,33,42,,10.1016/S1387-1811(03)00429-3,,,40,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,0,2,1,2,1,2,0,2,2,4,3,4,4,2,1,1,0
Mesoporous silica from rice hull ash,"Sanchez-Flores, Norma A.; Pacheco-Malagon, Graciela; Perez-Romo, Patricia; Armendariz, Hector; Guzman-Castillo, Maria de L.; Saniger, Jose M.; Fripiat, Jose J.",,,,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,JUL 2007,2007,82,7,,,,614,619,,10.1002/jctb.1711,,,25,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,2,1,0,1,0,2,1,0,2,1,1,1,0,0
Dealumination-aging pattern of REUSY zeolites contained in fluid cracking catalysts,"Hernández-Beltrán, F; Moreno-Mayorga, JC; Guzmán-Castillo, MD; Navarrete-Bolaños, J; González-González, M; Handy, BE",,,,APPLIED CATALYSIS A-GENERAL,FEB 10 2003,2003,240,1-2,,,,41,51,PII S0926-860X(02)00433-7,10.1016/S0926-860X(02)00433-7,,,24,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,1,0,0,2,3,2,2,2,0,1,1,2,1,0,0
Reversible channel deformation of zeolite omega during template degradation highlighted by in situ time-resolved synchrotron powder diffraction,"Martucci, Annalisa; Guzman-Castillo, Maria de Lourdes; Di Renzo, Francesco; Fajula, Francois; Alberti, Alberto",,,,MICROPOROUS AND MESOPOROUS MATERIALS,AUG 23 2007,2007,104,1-3,,,,257,268,,10.1016/j.micromeso.2007.02.040,,,19,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,4,2,1,1,0,0,0,3,0,1
On the role of oxidation states in the electronic structure via the formation of oxygen vacancies of a doped MoVTeNbOx in propylene oxidation,"Ramirez-Salgado, Joel; Quintana-Solorzano, Roberto; Mejia-Centeno, Isidro; Armendariz-Herrera, Hector; Rodriguez-Hernandez, Andrea; de Lourdes Guzman-Castillo, Maria; Valente, Jaime S.",,,,APPLIED SURFACE SCIENCE,JAN 30 2022,2022,573,,,,,,,151428,10.1016/j.apsusc.2021.151428,,,17,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,7,0
Discerning the Metal Doping Effect on Surface Redox and Acidic Properties in a MoVTeNbOx for Propa(e)ne Oxidation,"Quintana-Solorzano, Roberto; Mejia-Centeno, Isidro; Armendariz-Herrera, Hector; Ramirez-Salgado, Joel; Rodriguez-Hernandez, Andrea; Guzman-Castillo, Maria De Lourdes; Nieto, Jose M. Lopez; Valente, Jaime S.",,,,ACS OMEGA,JUN 15 2021,2021,6,23,,,,15279,15291,,10.1021/acsomega.1c01591,,,16,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,6,3
Y zeolite depolymerization-recrystallization: Simultaneous formation of hierarchical porosity and Na dislodging,"Guzman-Castillo, M. L.; Armendariz-Herrera, Hector; Perez-Romo, P.; Hernandez-Beltran, F.; Ibarra, S.; Valente, J. S.; Fripiat, J. J.",,,,MICROPOROUS AND MESOPOROUS MATERIALS,SEP 2011,2011,143,2-3,,,,375,382,,10.1016/j.micromeso.2011.03.020,,,16,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,0,0,0,1,1,2,1,2,0
New synthesis technique of supported ZSM-5 using organo-alumino-silicic gels,"Pacheco-Malagon, G.; Sanchez-Flores, Norma. A.; Saniger-Blesa, J.; Banos, L.; Perez-Romo, P.; Valente, Jaime S.; Guzman-Castillo, Maria de L.; Hernandez-Beltran, F.; Fripiat, Jose J.",,,,MICROPOROUS AND MESOPOROUS MATERIALS,MAR 23 2007,2007,100,1-3,,,,70,76,,10.1016/j.micromeso.2006.09.043,,,15,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,2,3,1,0,1,0,0,1,1,0,0,0
Crystallization of faujasite Y from seeds dispersed on mesoporous materials,"Perez-Romo, Patricia; Armendariz-Herrera, Hector; Valente, Jaime S.; de Lourdes Guzman-Castillo, Maria; Hernandez-Beltran, Francisco; Fripiat, Jose J.",,,,MICROPOROUS AND MESOPOROUS MATERIALS,AUG 2010,2010,132,3,,,,363,374,,10.1016/j.micromeso.2010.03.015,,,14,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,1,0,1,1,2,1,0,0,1
"Synthesis of FSM-16 mesoporous materials:: Effect of the anion (F<SUP>-</SUP>, Cl<SUP>-</SUP>, SO4<SUP>2-</SUP>) in the ion exchange process on the thermal stability","Pérez-Romo, P; Guzmán-Castillo, MD; Armendáriz-Herrera, H; Navarrete, J; Acosta, DR; Montoya, JA",,,,LANGMUIR,APR 15 2003,2003,19,8,,,,3446,3452,,10.1021/la026710v,,,14,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
