Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Distribution of HCV genotypes and HCV RNA viral load in different regions of Mexico,"Jimenez-Mendez, Ricardo; Uribe-Salas, Felipe; Lopez-Guillen, Paulo; Cisneros-Garza, Laura; Castaneda-Hernandez, Gilberto",,,,ANNALS OF HEPATOLOGY,JAN-MAR 2010,2010,9,1.0,,,,33,39,,10.1016/S1665-2681(19)31676-X,,,31,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,5,3,3,1,2,1,3,1,2,0,0,0
Hepatitis C seroprevalence and correlation between viral load and viral genotype among primary care clients in Mexico,"Burguete-Garcia, Ana I.; Conde-Gonzalez, Carlos J.; Jimenez-Mendez, Ricardo; Juarez-Diaz, Yanet; Meda-Monzon, Elizabeth; Torres-Poveda, Kirvis; Madrid-Marina, Vicente",,,,SALUD PUBLICA DE MEXICO,2011,2011,53,,,1.0,,S7,S12,,,,,28,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,5,5,2,1,0,3,0,3,1,1,1,0
The epidemiologic burden of hepatitis C virus infection in Latin America,"Szabo, Shelagh M.; Bibby, Meagan; Yuan, Yong; Donato, Bonnie M. K.; Jimenez-Mendez, R.; Castaneda-Hernandez, G.; Rodriguez-Torres, Maribel; Levy, Adrian R.",,,,ANNALS OF HEPATOLOGY,SEP-OCT 2012,2012,11,5.0,,,,623,635,,10.1016/S1665-2681(19)31435-8,,,25,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,3,2,3,2,0,0,1,0,3,0
High antibody level: an accurate serologic marker of viremia in asymptomatic people with hepatitis C infection,"Contreras, Ana M.; Ochoa-Jimenez, Rodolfo J.; Celis, Alfredo; Mendez, Claudia; Olivares, Laura; Rebolledo, Claudia E.; Hernandez-Lugo, Isabel; Aguirre-Zavala, Ana I.; Jimenez-Mendez, Ricardo; Chung, Raymond T.",,,,TRANSFUSION,JUN 2010,2010,50,6.0,,,,1335,1343,,10.1111/j.1537-2995.2009.02571.x,,,24,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,3,2,2,1,1,2,0,2,1,1,1,0
Oral morphine dosing predictions based on single dose in healthy children undergoing surgery,"Dawes, Joy M.; Cooke, Erin M.; Hannam, Jacqueline A.; Brand, Katherine A.; Winton, Pamela; Jimenez-Mendez, Ricardo; Aleksa, Katarina; Lauder, Gillian R.; Carleton, Bruce C.; Koren, Gideon; Rieder, Michael J.; Anderson, Brian J.; Montgomery, Carolyne J.",,,,PEDIATRIC ANESTHESIA,JAN 2017,2017,27,1.0,,,,28,36,,10.1111/pan.13020,,,20,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,2,0,1
Hearing loss in Mexican children treated with cisplatin,"Castelan-Martinez, Osvaldo D.; Jimenez-Mendez, Ricardo; Rodriguez-Islas, Felipe; Fierro-Evans, Maria; Vazquez-Gomez, Benjamin E.; Medina-Sanson, Aurora; Clark, Patricia; Carleton, Bruce; Ross, Colin; Hildebrand, Claudette; Castaneda-Hernandez, Gilberto; Rivas-Ruiz, Rodolfo",,,,INTERNATIONAL JOURNAL OF PEDIATRIC OTORHINOLARYNGOLOGY,SEP 2014,2014,78,9.0,,,,1456,1460,,10.1016/j.ijporl.2014.06.007,,,18,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,2,2,1,2,1,1,0
Cisplatin Nephrotoxicity and Longitudinal Growth in Children With Solid Tumors A Retrospective Cohort Study,"Andres Jimenez-Triana, Climaco; Castelan-Martinez, Osvaldo D.; Rivas-Ruiz, Rodolfo; Jimenez-Mendez, Ricardo; Medina, Aurora; Clark, Patricia; Rassekh, Rod; Castaneda-Hernandez, Gilberto; Carleton, Bruce; Medeiros, Mara",Canadian Pharmacogenomics Network,,,MEDICINE,AUG 2015,2015,94,34.0,,,,,,e1413,10.1097/MD.0000000000001413,,,17,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,3,1,0,2,1,1
Hepatitis C antibody intraassay correlation:: is retest in duplicate necessary?,"Contreras, Ana M.; Tinoco, Erendi; Celis, Alfredo; Novelo, Babara; Romero, M. V. Patricia; Carrada, Etelvina; Jimenez-Mendez, Ricardo",donHCVir Mexican Study Grp,,,TRANSFUSION,SEP 2007,2007,47,9.0,,,,1686,1690,,10.1111/j.1537-2995.2007.01342.x,,,11,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
A Compartmental Analysis for Morphine and Its Metabolites in Young Children After a Single Oral Dose,"de Mendizabal, Nieves Velez; Jimenez-Mendez, Ricardo; Cooke, Erin; Montgomery, Carolyne J.; Dawes, Joy; Rieder, Michael J.; Aleksa, Katarina; Koren, Gideon; Jacobo-Cabral, Carlos O.; Gonzalez-Ramirez, Rodrigo; Castaneda-Hernandez, Gilberto; Carleton, Bruce C.",,,,CLINICAL PHARMACOKINETICS,OCT 2015,2015,54,10.0,,,,1083,1090,,10.1007/s40262-015-0256-4,,,9,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,2,0,0,0,0
Liver-specific case fatality due to chronic hepatitis C virus infection: a systematic review,"Szabo, Shelagh M.; Samp, Jennifer C.; Walker, David R.; Lane, Suzanne; Cline, Stephanie K.; Gooch, Katherine L.; Jimenez-Mendez, Ricardo; Levy, Adrian R.",,,,ANNALS OF HEPATOLOGY,SEP-OCT 2015,2015,14,5.0,,,,618,630,,10.1016/S1665-2681(19)30756-2,,,7,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,1,0,0,0,0
