Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
MIMO channel orthogonalisations applying universal eigenbasis,"Kontorovich, V.; Primak, S.; Alcocer-Ochoa, A.; Parra-Michel, R.",,,,IET SIGNAL PROCESSING,JUN 2008,2008,2.0,2,,,,87.0,96,,10.1049/iet-spr:20070126,7th IMA Conference on Mathematics in Signal Processing,"DEC 18-20, 2006",13,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,1,1,0,1,1,0,0,0,2,0,0
On the Level Crossing Duration Distributions of Nakagami Processes,"Ramos-Alarcon, F.; Kontorovich, V.; Lara, M.",,,,IEEE TRANSACTIONS ON COMMUNICATIONS,FEB 2009,2009,57.0,2,,,,542.0,552,,10.1109/TCOMM.2009.02.060375,,,12,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,3,0,2,0,0,0,0,0
Dynamic systems with random structure: an approach to the generation of nonstationary stochastic processes,"Kontorovich, V; Lyandres, V",,,,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,AUG 1999,1999,336.0,6,,,,939.0,954,,10.1016/S0016-0032(99)00011-3,,,11,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
On the Second Order Statistics of Generalized Gamma Process,"Primak, Serguei; Kontorovich, Valeri",,,,IEEE TRANSACTIONS ON COMMUNICATIONS,APR 2009,2009,57.0,4,,,,910.0,914,,10.1109/TCOMM.2009.04.060102,,,10,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,2,0,0,0,0,1,0,0,1,0
On the statistical properties of the capacity of spatially correlated Nakagami-m MIMO channels,"Rafiq, Gulzaib; Kontorovich, Valeri; Patzold, Matthias",,,,"2008 IEEE 67TH VEHICULAR TECHNOLOGY CONFERENCE-SPRING, VOLS 1-7",2008,2008,,,,,,500.0,+,,10.1109/VETECS.2008.115,67th IEEE Vehicular Technology Conference,"MAY 11-14, 2008",9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0
A Low Complexity Multi-Carrier System Over Doubly Selective Channels Using Virtual-Trajectories Receiver,"Pena-Campos, F.; Parra-Michel, Ramon; Kontorovich, Valeri",,,,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,AUG 2016,2016,15.0,8,,,,5206.0,5217,,10.1109/TWC.2016.2555305,,,8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,0,0
MIMO Multicarrier Transmission Over Doubly Selective Channels With Virtual Trajectories Receiver,"Pena-Campos, Fernando; Parra-Michel, Ramon; Kontorovich, Valeri",,,,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,OCT 2019,2019,68.0,10,,,,9330.0,9338,,10.1109/TVT.2019.2934693,,,7,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,1
Applied statistical analysis for strange attractors and related problems,"Kontorovich, Valeri",,,,MATHEMATICAL METHODS IN THE APPLIED SCIENCES,SEP 25 2007,2007,30.0,14,,,SI,1705.0,1717,,10.1002/mma.866,International Conference on Mathematical Modelling and Computation,"JUN, 2006",7,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Cumulant Analysis of Strange Attractors: Theory and Applications,"Kontorovich, V.; Lovtchikova, Z.",,,"Kyamakya, K; Halang, WA; Unger, H; Chedjou, JC; Rulkov, NF; Li, Z",RECENT ADVANCES IN NONLINEAR DYNAMICS AND SYNCHRONIZATION: THEORY AND APPLICATIONS,2009,2009,254.0,,,,,77.0,115,,,,,6,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,0,0
A Channel Model and Simulation Technique for Reproducing Channel Realizations With Predefined Stationary or Non-Stationary PSD,"Parra-Michel, Ramon; Vazquez Castillo, Javier; Rene Vela-Garcia, Luis; Kontorovich, Valeri; Pena-Campos, Fernando",,,,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,AUG 2018,2018,17.0,8,,,,5409.0,5424,,10.1109/TWC.2018.2843370,,,5,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0
