Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
E-eyes: Device-free Location-oriented Activity Identification Using Fine-grained WiFi Signatures,"Wang, Yan; Liu, Jian; Chen, Yingying; Gruteser, Marco; Yang, Jie; Liu, Hongbo",,,,PROCEEDINGS OF THE 20TH ANNUAL INTERNATIONAL CONFERENCE ON MOBILE COMPUTING AND NETWORKING (MOBICOM '14),2014,2014,,,,,,617,628,,10.1145/2639108.2639143,20th ACM Annual International Conference on Mobile Computing and Networking (MobiCom),"SEP 07-11, 2014",480,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,42,51,58,61,47,63,61,48,7
Endogenous auxin and jasmonic acid levels are differentially modulated by abiotic stresses in rice,"Du, Hao; Liu, Hongbo; Xiong, Lizhong",,,,FRONTIERS IN PLANT SCIENCE,OCT 9 2013,2013,4.0,,,,,,,397,10.3389/fpls.2013.00397,,,352,27.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,20,27,24,31,27,44,47,53,41,5
"Recent Advances on Black Phosphorus for Energy Storage, Catalysis, and Sensor Applications","Liu, Hanwen; Hu, Kui; Yan, Dafeng; Chen, Ru; Zou, Yuqin; Liu, Hongbo; Wang, Shuangyin",,,,ADVANCED MATERIALS,AUG 9 2018,2018,30.0,32,,,,,,1800295,10.1002/adma.201800295,,,269,33.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,43,55,61,37,35,28,4
Push the Limit of WiFi based Localization for Smartphones,"Liu, Hongbo; Gan, Yu; Yang, Jie; Sidhom, Simon; Wang, Yan; Chen, Yingying; Ye, Fan",,,,MOBICOM 12: PROCEEDINGS OF THE 18TH ANNUAL INTERNATIONAL CONFERENCE ON MOBILE COMPUTING AND NETWORKING,2012,2012,,,,,,305,316,,,18th Annual International Conference on Mobile Computing and Networking (MobiCom),"AUG 22-26, 2012",243,17.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,34,26,25,32,21,19,19,23,4,12,0
Social Media Envy: How Experience Sharing on Social Networking Sites Drives Millennials' Aspirational Tourism Consumption,"Liu, Hongbo; Wu, Laurie; Li, Xiang (Robert)",,,,JOURNAL OF TRAVEL RESEARCH,MAR 2019,2019,58.0,3,,,,355,369,,10.1177/0047287518761615,,,241,34.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,45,46,46,55,13
Different EDC/NHS Activation Mechanisms between PAA and PMAA Brushes and the Following Amidation Reactions,"Wang, Cuie; Yan, Qin; Liu, Hong-Bo; Zhou, Xiao-Hui; Xiao, Shou-Jun",,,,LANGMUIR,OCT 4 2011,2011,27.0,19,,,,12058,12068,,10.1021/la202267p,,,235,15.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,16,14,16,16,13,23,25,24,17,25,26,7
A Pair of Allelic WRKY Genes Play Opposite Roles in Rice-Bacteria Interactions,"Tao, Zeng; Liu, Hongbo; Qiu, Deyun; Zhou, Yan; Li, Xianghua; Xu, Caiguo; Wang, Shiping",,,,PLANT PHYSIOLOGY,OCT 2009,2009,151.0,2,,,,936,948,,10.1104/pp.109.145623,,,234,13.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,16,18,17,17,19,16,16,24,17,10,16,12,16,3
Manipulating Broad-Spectrum Disease Resistance by Suppressing Pathogen-Induced Auxin Accumulation in Rice,"Fu, Jing; Liu, Hongbo; Li, Yu; Yu, Huihui; Li, Xianghua; Xiao, Jinghua; Wang, Shiping",,,,PLANT PHYSIOLOGY,JAN 2011,2011,155.0,1,,,,589,602,,10.1104/pp.110.163774,,,215,14.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,14,20,16,11,14,14,17,17,15,21,16,20,4
A Trajectory Tracking Robust Controller of Surface Vessels With Disturbance Uncertainties,"Yang, Yang; Du, Jialu; Liu, Hongbo; Guo, Chen; Abraham, Ajith",,,,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,JUL 2014,2014,22.0,4,,,,1511,1518,,10.1109/TCST.2013.2281936,,,207,17.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,19,26,18,27,19,24,26,29,3
Wireless Sensing for Human Activity: A Survey,"Liu, Jian; Liu, Hongbo; Chen, Yingying; Wang, Yan; Wang, Chen",,,,IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,2020,2020,22.0,3,,,,1629,1645,,10.1109/COMST.2019.2934489,,,204,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,31,45,47,61,10
