Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Non-invasive monitoring of chewing and swallowing for objective quantification of ingestive behavior,"Sazonov, Edward; Schuckers, Stephanie; Lopez-Meyer, Paulo; Makeyev, Oleksandr; Sazonova, Nadezhda; Melanson, Edward L.; Neuman, Michael",,,,PHYSIOLOGICAL MEASUREMENT,MAY 2008,2008,29.0,5.0,,,,525,541,,10.1088/0967-3334/29/5/001,,,123,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,7,2,7,10,11,14,14,7,5,10,13,7,3,1
Automatic Detection of Swallowing Events by Acoustical Means for Applications of Monitoring of Ingestive Behavior,"Sazonov, Edward S.; Makeyev, Oleksandr; Schuckers, Stephanie; Lopez-Meyer, Paulo; Melanson, Edward L.; Neuman, Michael R.",,,,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,MAR 2010,2010,57.0,3.0,,,,626,633,,10.1109/TBME.2009.2033037,,,113,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,14,11,10,19,10,11,5,7,4,4,3,1
Automatic Detection of Temporal Gait Parameters in Poststroke Individuals,"Lopez-Meyer, Paulo; Fulk, George D.; Sazonov, Edward S.",,,,IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,JUL 2011,2011,15.0,4.0,,,,594,601,,10.1109/TITB.2011.2112773,,,106,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,8,10,7,8,13,11,8,5,9,6,1
Toward Objective Monitoring of Ingestive Behavior in Free-living Population,"Sazonov, Edward S.; Schuckers, Stephanie A. C.; Lopez-Meyer, Paulo; Makeyev, Oleksandr; Melanson, Edward L.; Neuman, Michael R.; Hill, James O.",,,,OBESITY,OCT 2009,2009,17.0,10.0,,,,1971,1975,,10.1038/oby.2009.153,,,52,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,1,6,1,4,6,8,5,2,1,1,0,3,0
Automatic food intake detection based on swallowing sounds,"Makeyev, Oleksandr; Lopez-Meyer, Paulo; Schuckers, Stephanie; Besio, Walter; Sazonov, Edward",,,,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,NOV 2012,2012,7.0,6.0,,,SI,649,656,,10.1016/j.bspc.2012.03.005,,,49,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,3,10,4,3,4,5,4,6,3,0
A Wearable Sensor System for Monitoring Cigarette Smoking,"Sazonov, Edward; Lopez-Meyer, Paulo; Tiffany, Stephen",,,,JOURNAL OF STUDIES ON ALCOHOL AND DRUGS,NOV 2013,2013,74.0,6.0,,,,956,964,,10.15288/jsad.2013.74.956,,,45,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,10,4,9,4,2,3,2,3,0
Identifying Activity Levels and Steps of People With Stroke Using a Novel Shoe-Based Sensor,"Fulk, George D.; Edgar, S. Ryan; Bierwirth, Rebecca; Hart, Phil; Lopez-Meyer, Paulo; Sazonov, Edward",,,,JOURNAL OF NEUROLOGIC PHYSICAL THERAPY,JUN 2012,2012,36.0,2.0,,,,100,107,,10.1097/NPT.0b013e318256370c,,,35,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,5,6,2,4,2,2,4,0
Detection of Food Intake from Swallowing Sequences by Supervised and Unsupervised Methods,"Lopez-Meyer, Paulo; Makeyev, Oleksandr; Schuckers, Stephanie; Melanson, Edward L.; Neuman, Michael R.; Sazonov, Edward",,,,ANNALS OF BIOMEDICAL ENGINEERING,AUG 2010,2010,38.0,8.0,,,,2766,2774,,10.1007/s10439-010-0019-1,,,23,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,2,3,2,1,2,1,1,0,0,0
Monitoring of Cigarette Smoking Using Wearable Sensors and Support Vector Machines,"Lopez-Meyer, Paulo; Tiffany, Stephen; Patil, Yogendra; Sazonov, Edward",,,,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,JUL 2013,2013,60.0,7.0,,,,1867,1872,,10.1109/TBME.2013.2243729,,,22,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,0,5,1,1,1,1,4,0
EFFICIENT END-TO-END AUDIO EMBEDDINGS GENERATION FOR AUDIO CLASSIFICATION ON TARGET APPLICATIONS,"Lopez-Meyer, Paulo; del Hoyo Ontiveros, Juan A.; Lu, Hong; Stemmer, Georg",,,,"2021 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH AND SIGNAL PROCESSING (ICASSP 2021)",2021,2021,,,,,,601,605,,10.1109/ICASSP39728.2021.9414229,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","JUN 06-11, 2021",17,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,1
