Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Determination of thermodynamic parameters of Cr(VI) adsorption from aqueous solution onto Agave lechuguilla biomass,"Romero-González, J; Peralta-Videa, JR; Rodríguez, E; Ramirez, SL; Gardea-Torresdey, JL",,,,JOURNAL OF CHEMICAL THERMODYNAMICS,APR 2005,2005,37.0,4,,,,343.0,347.0,,10.1016/j.jct.2004.09.013,,,179,8.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,13,4,6,9,4,9,8,5,11,19,11,11,18,8,9,7,4,0
"Modeling study of the influence of turbulence inhibitors on the molten steel flow, tracer dispersion, and inclusion trajectories in tundishes","López-Ramirez, S; Barreto, JD; Palafox-Ramos, J; Morales, RD; Zacharias, D",,,,METALLURGICAL AND MATERIALS TRANSACTIONS B-PROCESS METALLURGY AND MATERIALS PROCESSING SCIENCE,AUG 2001,2001,32.0,4,,,,615.0,627.0,,10.1007/s11663-001-0117-4,,,100,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,2,3,4,1,4,5,3,7,8,5,6,3,6,9,5,6,7,4,1,2
Numerical and modeling analysis of fluid flow and heat transfer of liquid steel in a tundish with different flow control devices,"Morales, RD; López-Ramírez, S; Palafox-Ramos, J; Zacharias, D",,,,ISIJ INTERNATIONAL,1999,1999,39.0,5,,,,455.0,462.0,,10.2355/isijinternational.39.455,,,77,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,1,2,2,1,5,1,1,5,2,4,1,8,5,3,2,3,2,4,4,2,2,4,0
Molt flow control in a multistrand tundish using a turbulence inhibitor,"Morales, RD; Barreto, JD; López-Ramirez, S; Palafox-Ramos, J; Zacharias, D",,,,METALLURGICAL AND MATERIALS TRANSACTIONS B-PROCESS METALLURGY AND MATERIALS PROCESSING SCIENCE,DEC 2000,2000,31.0,6,,,,1505.0,1515.0,,10.1007/s11663-000-0035-x,,,68,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,2,1,3,2,4,2,5,2,6,2,8,0,3,3,3,4,2,4,2,1
Study of monolayer to multilayer adsorption of asphaltenes on reservoir rock minerals,"Mendoza de la Cruz, Jose L.; Castellanos-Ramirez, Ivan V.; Ortiz-Tapia, Arturo; Buenrostro-Gonzalez, Eduardo; Duran-Valencia, Cecilia de los A.; Lopez-Ramirez, Simon",,,,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,MAY 15 2009,2009,340.0,1-3,,,,149.0,154.0,,10.1016/j.colsurfa.2009.03.021,,,65,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,4,2,8,5,11,7,5,2,1,2,4,0
Development of enhanced nanocomposite preformed particle gels for conformance control in high-temperature and high-salinity oil reservoirs,"Duran-Valencia, Cecilia; Bai, Baojun; Reyes, Horacio; Fajardo-Lopez, Romina; Barragan-Aroche, Fernando; Lopez-Ramirez, Simon",,,,POLYMER JOURNAL,MAY 2014,2014,46.0,5,,,,277.0,284.0,,10.1038/pj.2013.99,,,64,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,2,6,5,9,13,7,11,0
Asphaltene-Induced Precipitation and Deposition During Pressure Depletion on a Porous Medium: An Experimental Investigation and Modeling Approach,"Mendoza de la Cruz, Jose L.; Arguelles-Vivas, Francisco J.; Matias-Perez, Victor; Duran-Valencia, Cecilia de los A.; Lopez-Ramirez, Simon",,,,ENERGY & FUELS,NOV 2009,2009,23.0,11,,,,5611.0,5625.0,,10.1021/ef9006142,,,50,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,6,4,3,6,7,5,2,4,2,3
Predicting adsorption isotherms of asphaltenes in porous materials,"Castro, Martin; Mendoza de la Cruz, Jose L.; Buenrostro-Gonzalez, Eduardo; Lopez-Ramirez, Simon; Gil-Villegas, Alejandro",,,,FLUID PHASE EQUILIBRIA,DEC 15 2009,2009,286.0,2,,,,113.0,119.0,,10.1016/j.fluid.2009.08.009,,,48,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,6,4,2,4,3,6,4,4,5,1,2,1,0
Melt flow optimisation using turbulence inhibitors in large volume tundishes,"Palafox-Ramos, J; Barreto, JDJ; López-Ramírez, S; Morales, RD",,,,IRONMAKING & STEELMAKING,2001,2001,28.0,2,,,,101.0,109.0,,10.1179/030192301678000,,,48,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,3,2,1,3,4,1,4,1,3,2,2,1,1,3,1,3,3,1,1,0
Aggregation Behavior of Heavy Crude Oil-Ionic Liquids Solutions by Fluorescence Spectroscopy,"Murillo-Hernandez, J. Alberto; Garcia-Cruz, Isidoro; Lopez-Ramirez, Simon; Duran-Valencia, C.; Dominguez, J. Manuel; Aburto, Jorge",,,,ENERGY & FUELS,SEP 2009,2009,23.0,9,,,,4584.0,4592.0,,10.1021/ef9004175,,,42,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,2,2,9,5,4,2,3,2,2,1,0
