Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Thermal stability of 12-tungstophosphoric acid supported on zirconia,"López-Salinas, E; Hernández-Cortéz, JG; Schifter, I; Torres-García, E; Navarrete, J; Gutiérrez-Carrillo, A; López, T; Lottici, PP; Bersani, D",,,,APPLIED CATALYSIS A-GENERAL,FEB 28 2000,2000,193,1-2,,,,215.0,225.0,,10.1016/S0926-860X(99)00431-7,,,163,6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,13,14,11,19,8,8,14,8,7,11,4,6,3,7,3,3,6,2,3,3,0
Characterizations of the thermal decomposition of brucite prepared by sol-gel technique for synthesis of nanocrystalline MgO,"Wang, JA; Novaro, O; Bokhimi, X; Lopez, T; Gomez, R; Navarrete, J; Llanos, ME; Lopez-Salinas, E",,,,MATERIALS LETTERS,JUN 1998,1998,35,5-6,,,,317.0,323.0,,10.1016/S0167-577X(97)00273-5,,,127,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,7,5,4,7,7,6,8,8,10,7,3,5,3,6,8,4,7,9,1
Migration and oxidation of tungsten species at the origin of acidity and catalytic activity on WO3-ZrO2 catalysts,"Cortes-Jacome, M. A.; Angeles-Chavez, C.; Lopez-Salinas, E.; Navarrete, J.; Toribio, P.; Toledo, J. A.",,,,APPLIED CATALYSIS A-GENERAL,FEB 20 2007,2007,318,,,,,178.0,189.0,,10.1016/j.apcata.2006.11.019,,,100,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,6,12,8,4,5,9,8,6,6,6,5,7,4,2,1
SOx removal by calcined MgAIFe hydrotalcite-like materials:: Effect of the chemical composition and the cerium incorporation method,"Cantú, M; López-Salinas, E; Valente, JS",,,,ENVIRONMENTAL SCIENCE & TECHNOLOGY,DEC 15 2005,2005,39,24,,,,9715.0,9720.0,,10.1021/es051305m,,,96,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,8,12,6,10,8,9,7,2,4,4,3,3,1,1,2,0
Effects of structural defects and acid-basic properties on the activity and selectivity of isopropanol decomposition on nanocrystallite sol-gel alumina catalyst,"Wang, JA; Bokhimi, X; Novaro, O; López, T; Tzompantzi, F; Gómez, R; Navarrete, J; Llanos, ME; López-Salinas, E",,,,JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL,JAN 8 1999,1999,137,1-3,,,,239.0,252.0,,10.1016/S1381-1169(98)00077-6,,,93,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,7,1,1,2,3,11,6,1,6,7,5,1,2,4,2,1,2,4,5,3,2,2,1
In situ thermo-Raman study of titanium oxide nanotubes,"Cortes-Jacome, M. A.; Ferrat-Torres, G.; Ortiz, L. F. Flores; Angeles-Chavez, C.; Lopez-Salinas, E.; Escobar, J.; Mosqueira, M. L.; Toledo-Antonio, J. A.",,,,CATALYSIS TODAY,AUG 15 2007,2007,126,1-2,,,,248.0,255.0,,10.1016/j.cattod.2007.02.012,2nd International Congress on Operando Spectroscopy,"APR 23-27, 2006",85,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,12,4,4,6,6,5,2,4,3,5,11,3,1,3,3,0
"Calcined layered double hydroxides Mg-Me-Al (Me: Cu, Fe, Ni, Zn) as bifunctional catalysts","Valente, Jaime S.; Hernandez-Cortez, Jose; Cantu, Manuel S.; Ferrat, Gerardo; Lopez-Salinas, Esteban",,,,CATALYSIS TODAY,MAR 30 2010,2010,150,3-4,,,,340.0,345.0,,10.1016/j.cattod.2009.08.020,International Symposium on Advances in Hydroprocessing of Oil Fractions,"JUN 14-18, 2009",84,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,4,4,7,6,11,6,5,6,4,5,5,5,2
Effect of sulfation methods on TiO2-SiO2 sol-gel catalyst acidity,"López, T; Bosch, P; Tzompantzi, F; Gómez, R; Navarrete, J; López-Salinas, E; Llanos, ME",,,,APPLIED CATALYSIS A-GENERAL,APR 24 2000,2000,197,1,,,,107.0,117.0,,10.1016/S0926-860X(99)00541-4,,,72,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,6,2,4,1,4,4,4,4,3,2,1,2,1,2,5,1,4,1,5,5,5,0
Preparation and characterization of sol-gel MgAl hydrotalcites with nanocapsular morphology,"Valente, Jaime S.; Cantu, Manuel S.; Cortez, Jos G. H.; Montiel, Ramon; Bokhimi, Xim; Lopez-Salinas, Esteban",,,,JOURNAL OF PHYSICAL CHEMISTRY C,JAN 18 2007,2007,111,2,,,,642.0,651.0,,10.1021/jp065283h,,,63,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,3,6,2,4,6,4,3,5,5,3,3,1,4,2,0
WOx/TiO2 catalysts via titania nanotubes for the oxidation of dibenzothiophene,"Cortes-Jacome, M. A.; Chavez, C. Angeles; Ramirez-Verduzco, L. F.; Lopez-Salinas, E.; Toledo-Antonio, J. A.",,,,CHEMISTRY OF MATERIALS,DEC 25 2007,2007,19,26,,,,6605.0,6614.0,,10.1021/cm702010k,,,62,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,5,4,4,5,4,5,3,3,2,2,3,1,1,1,1
