Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Platinum nanoparticle-assembled porous biogenic silica 3D hybrid structures with outstanding 4-nitrophenol degradation performance,"Reddy Bogireddy, Naveen Kumar; Sahare, Padma; Pal, Umapada; Olive Méndez, Sion Federico; Gomez, Lorenzo Martinez; Agarwal, Vivechana",,,,CHEMICAL ENGINEERING JOURNAL,MAY 15 2020,2020,388,,,,,,,124237.0,10.1016/j.cej.2020.124237,,,97,16.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,20,19,27,8
Size controlled green synthesis of gold nanoparticles using Coffea arabica seed extract and their catalytic performance in 4-nitrophenol reduction,"Bogireddy, N. K. R.; Pal, U.; Martinez Gomez, L.; Agarwal, V.",,,,RSC ADVANCES,2018,2018,8,44,,,,24819.0,24826.0,,10.1039/c8ra04332a,,,87,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,16,16,14,16,11,1
Nitrogen doped carbon dots derived from Sargassum fluitans as fluorophore for DNA detection,"Godavarthi, S.; Mohan Kumar, K.; Vazquez Velez, E.; Hernandez-Eligio, A.; Mahendhiran, M.; Hernandez-Como, N.; Aleman, M.; Martinez Gomez, L.",,,,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,JUL 2017,2017,172,,,,,36.0,41.0,,10.1016/j.jphotobiol.2017.05.014,,,74,8.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,8,11,12,10,12,3
Development and evaluation of a green corrosion inhibitor based on rice bran oil obtained from agro-industrial waste,"Salinas-Solano, G.; Porcayo-Calderon, J.; Martinez de la Escalera, L. M.; Canto, J.; Casales-Diaz, M.; Sotelo-Mazon, O.; Henao, John; Martinez-Gomez, L.",,,,INDUSTRIAL CROPS AND PRODUCTS,SEP 1 2018,2018,119,,,,,111.0,124.0,,10.1016/j.indcrop.2018.04.009,,,65,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,10,10,15,9,0
Green synthesis of Ce<SUP>3+</SUP> rich CeO2 nanoparticles and its antimicrobial studies,"Kumar, K. Mohan; Mahendhiran, M.; Casales Diaz, M.; Hernandez-Como, N.; Hernandez-Eligio, A.; Torres-Torres, Gilberto; Godavarthi, S.; Martinez Gomez, L.",,,,MATERIALS LETTERS,MAR 1 2018,2018,214,,,,,15.0,19.0,,10.1016/j.matlet.2017.11.097,,,64,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,8,9,11,16,2
Facile Synthesis of Zn Doped g-C3N4for Enhanced Visible Light Driven Photocatalytic Hydrogen Production,"Fuentez-Torres, M. O.; Ortiz-Chi, F.; Espinosa-Gonzalez, C. G.; Aleman, M.; Cervantes-Uribe, A.; Torres-Torres, J. G.; Kesarla, M. K.; Collins-Martinez, V.; Godavarthi, S.; Martinez-Gomez, L.",,,,TOPICS IN CATALYSIS,JAN 2021,2021,64,1-2,,,SI,65.0,72.0,,10.1007/s11244-020-01298-9,,,43,7.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,13,12,4
Use of a non-ionic gemini-surfactant synthesized from the wasted avocado oil as a CO2- corrosion inhibitor for X-52 steel,"Cruz-Zabalegui, A.; Vazquez-Velez, E.; Galicia-Aguilar, G.; Casales-Diaz, M.; Lopez-Sesenes, R.; Gonzalez-Rodriguez, J. G.; Martinez-Gomez, L.",,,,INDUSTRIAL CROPS AND PRODUCTS,JUL 2019,2019,133,,,,,203.0,211.0,,10.1016/j.indcrop.2019.03.011,,,43,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,7,12,12,0
Layered materials and their heterojunctions for supercapacitor applications: a review,"Kar, Tathagata; Godavarthi, Srinivas; Pasha, Shaik Khadheer; Deshmukh, Kalim; Martinez-Gomez, Lorenzo; Kesarla, Mohan Kumar",,,,CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES,MAY 4 2022,2022,47,3,,,,357.0,388.0,,10.1080/10408436.2021.1886048,,,35,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,14,4
Effect of Organic Corrosion Inhibitors on the Corrosion Performance of 1018 Carbon Steel in 3% NaCl Solution,"Rivera-Grau, L. M.; Casales, M.; Regla, I.; Ortega-Toledo, D. M.; Ascencio-Gutierrez, J. A.; Porcayo-Calderon, J.; Martinez-Gomez, L.",,,,INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE,FEB 2013,2013,8,2,,,,2491.0,2503.0,,,,,35,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,2,4,3,5,3,2,3,0,2,0
High Temperature Corrosion of Inconel 600 in NaCl-KCl Molten Salts,"Salinas-Solano, G.; Porcayo-Calderon, J.; Gonzalez-Rodriguez, J. G.; Salinas-Bravo, V. M.; Ascencio-Gutierrez, J. A.; Martinez-Gomez, L.",,,,ADVANCES IN MATERIALS SCIENCE AND ENGINEERING,2014,2014,2014,,,,,,,696081.0,10.1155/2014/696081,,,32,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,4,2,3,5,6,2
