Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Sustainable Development Goals and Physical Education. A Proposal for Practice-Based Models,"Baena-Morales, Salvador; Jerez-Mayorga, Daniel; Delgado-Floody, Pedro; Martinez-Martinez, Jesus",,,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,FEB 2021,2021,18.0,4.0,,,,,,2129.0,10.3390/ijerph18042129,,,61,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,16,17,4
CHILDREN'S PHYSICAL ACTIVITY LEVELS MEASURED BY ACCELEROMETER: ALL DAY PHYSICAL ACTIVITY VS PHYSICAL EDUCATION CLASSES,"Martinez Martinez, Jesus; Contreras Jordan, Onofre Ricardo; Aznar Lain, Susana; Lera Navarro, Angela",,,,REVISTA DE PSICOLOGIA DEL DEPORTE,2012,2012,21.0,1.0,,,,117,123,,,,,52,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5,5,2,5,4,12,9,2,1,2,0
Results From Spain's 2018 Report Card on Physical Activity for Children and Youth,"Roman-Vinas, Blanca; Zazo, Fabio; Martinez-Martinez, Jesus; Aznar-Lain, Susana; Serra-Majem, Lluis",,,,JOURNAL OF PHYSICAL ACTIVITY & HEALTH,NOV 2018,2018,15.0,,,2.0,,S411,S412,,10.1123/jpah.2018-0464,,,41,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,13,5,1,9,5,0
THE RECESS SCHOOL SPACE AND TIME AS A HEALTHY OPPORTUNITY,"Martinez, J.; Aznar, S.; Contreras, O.",,,,REVISTA INTERNACIONAL DE MEDICINA Y CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE,SEP 2015,2015,15.0,59.0,,,,419,432,,,,,23,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,9,3,1,0,0,0
Physical Activity and Commuting to School in Spanish Nine-Year-Old Children: Differences by Gender and by Geographical Environment,"Martinez-Martinez, Jesus; Aznar, Susana; Gonzalez-Villora, Sixto; Lopez-Sanchez, Guillermo E.",,,,SUSTAINABILITY,DEC 2 2019,2019,11.0,24.0,,,,,,7104.0,10.3390/su11247104,,,15,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,5,2,1
EXTRACURRICULAR SCHOOL INTERVENTIONS AIMED AT THE EFFECTS OF PHYSICAL ACTIVITY ON 1ST OF ESO CHILDREN WITH OVERWEIGHT AND OBESITY,"Pastor Vicedo, Juan Carlos; Gil Madrona, Pedro; Tortosa Martinez, Miguel; Martinez Martinez, Jesus",,,,REVISTA DE PSICOLOGIA DEL DEPORTE,2012,2012,21.0,2.0,,,,379,385,,,,,14,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,1,1,1,1,0,1,0
Active Breaks and Cognitive Performance in Pupils: A Systematic Review,"Pastor-Vicedo, Juan Carlos; Prieto-Ayuso, Alejandro; Perez, Sergio Lopez; Martinez-Martinez, Jesus",,,,APUNTS EDUCACION FISICA Y DEPORTES,OCT-DEC 2021,2021,,146.0,,,,11,23,,10.5672/apunts.2014-0983.es.(2021/4).146.02,,,10,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1
How Does the Family Influence the Physical Condition and Health of Children in a Rural Environment?,"Martinez-Martinez, Jesus; Gonzalez-Villora, Sixto; Valcarcel, Javier Valenciano; Pastor-Vicedo, Juan Carlos",,,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,JUL 2020,2020,17.0,13.0,,,,,,4622.0,10.3390/ijerph17134622,,,4,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
Active recess as a strategy to promote physical activity: a systematic review,"Carlos Pastor-Vicedo, Juan; Martinez-Martinez, Jesus; Lopez-Polo, Maria; Prieto-Ayuso, Alejandro",,,,RETOS-NUEVAS TENDENCIAS EN EDUCACION FISICA DEPORTE Y RECREACION,2021,2021,,40.0,,,,135,144,,,,,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Convergent validity of the Physical Activity Questionnaire for Children (PAQ-C): assessing moderate-to-vigorous or total physical activity?,"Valenciano Valcarcel, Javier; Jimenez-Loaisa, Alejandro; Rieiro, Ignacio; Martinez-Martinez, Jesus",,,,MEASUREMENT IN PHYSICAL EDUCATION AND EXERCISE SCIENCE,JAN 2 2023,2023,27.0,1.0,,,,32,42,2062244.0,10.1080/1091367X.2022.2062244,,,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
