Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Multiobjective A* Search with Consistent Heuristics,"Mandow, Lawrence; Luis Perez De La Cruz, Jose",,,,JOURNAL OF THE ACM,JUN 2010,2010,57.0,5,,,,,,27.0,10.1145/1754399.1754400,,,67,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,4,2,2,4,5,3,8,7,8,7,5,1
Study of monolayer to multilayer adsorption of asphaltenes on reservoir rock minerals,"Mendoza de la Cruz, Jose L.; Castellanos-Ramirez, Ivan V.; Ortiz-Tapia, Arturo; Buenrostro-Gonzalez, Eduardo; Duran-Valencia, Cecilia de los A.; Lopez-Ramirez, Simon",,,,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,MAY 15 2009,2009,340.0,1-3,,,,149,154,,10.1016/j.colsurfa.2009.03.021,,,65,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,4,2,8,5,11,7,5,2,1,2,4,0
A New Approach to Multiobjective A* Search,"Mandow, L.; Perez de la Cruz, J. L.",,,"Kaelbling, LP; Saffotti, A",19TH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE (IJCAI-05),2005,2005,,,,,,218,223,,,19th International Joint Conference on Artificial Intelligence (IJCAI 05),"JUL 30-AUG 05, 2005",56,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,7,2,1,2,3,6,1,2,3,1,3,4,5,4,6,1
Asphaltene-Induced Precipitation and Deposition During Pressure Depletion on a Porous Medium: An Experimental Investigation and Modeling Approach,"Mendoza de la Cruz, Jose L.; Arguelles-Vivas, Francisco J.; Matias-Perez, Victor; Duran-Valencia, Cecilia de los A.; Lopez-Ramirez, Simon",,,,ENERGY & FUELS,NOV 2009,2009,23.0,11,,,,5611,5625,,10.1021/ef9006142,,,50,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,6,4,3,6,7,5,2,4,2,3
Predicting adsorption isotherms of asphaltenes in porous materials,"Castro, Martin; Mendoza de la Cruz, Jose L.; Buenrostro-Gonzalez, Eduardo; Lopez-Ramirez, Simon; Gil-Villegas, Alejandro",,,,FLUID PHASE EQUILIBRIA,DEC 15 2009,2009,286.0,2,,,,113,119,,10.1016/j.fluid.2009.08.009,,,48,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,6,4,2,4,3,6,4,4,5,1,2,1,0
Randomized clinical trial of the efficacy and safety of insulin glargine vs. NPH insulin as basal insulin for the treatment of glucocorticoid induced hyperglycemia using continuous glucose monitoring in hospitalized patients with type 2 diabetes and respiratory disease,"Ruiz de Adana, Maria S.; Colomo, Natalia; Maldonado-Araque, Cristina; Fontalba, Maria I.; Linares, Francisca; Garcia-Torres, Francisca; Fernandez, Rosario; Bautista, Carmen; Olveira, Gabriel; de la Cruz, Jose L.; Rojo-Martinez, Gemma; Valdes, Sergio",,,,DIABETES RESEARCH AND CLINICAL PRACTICE,NOV 2015,2015,110.0,2,,,,158,165,,10.1016/j.diabres.2015.09.015,,,31,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,2,5,9,2,3,0
Accurate Modeling of CO2 Solubility in Ionic Liquids Using a Cubic EoS,"Macias-Salinas, Ricardo; Adrian Chavez-Velasco, Jose; Aquino-Olivos, Marco A.; Mendoza de la Cruz, Jose Luis; Sanchez-Ochoa, Jesus C.",,,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,JUN 5 2013,2013,52.0,22,,,SI,7593,7601,,10.1021/ie400106g,,,23,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,2,3,1,4,2,1,0,0
Multiobjective shortest path problems with lexicographic goal-based preferences,"Javier Pulido, Francisco; Mandow, Lawrence; Perez de la Cruz, Jose Luis",,,,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,NOV 16 2014,2014,239.0,1,,,,89,101,,10.1016/j.ejor.2014.05.008,,,21,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1,0,2,3,0,2,2,2
Effect of non-ionic surfactants on the transport properties of an emulsified heavy oil,"Garcia Rojas, Deneb Zamora; Gallardo Rivas, Nohra Violeta; Mendoza de la Cruz, Jose Luis; Salazar Cruz, Beatriz Adriana; Paramo Garcia, Ulises",,,,FUEL,SEP 15 2021,2021,300.0,,,,,,,120934.0,10.1016/j.fuel.2021.120934,,,18,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,6,2
Patients With Hypertensive Crises Who Are Admitted to a Coronary Care Unit: Clinical Characteristics and Outcomes,"Gonzalez Pacheco, Hector; Morales Victorino, Neisser; Nunez Urquiza, Juan Pablo; Altamirano Castillo, Alfredo; Juarez Herrera, Ursulo; Arias Mendoza, Alexandra; Azar Manzur, Francisco; Briseno de la Cruz, Jose Luis; Martinez Sanchez, Carlos",,,,JOURNAL OF CLINICAL HYPERTENSION,MAR 2013,2013,15.0,3,,,,210,214,,10.1111/jch.12058,,,17,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,1,1,0,0,4,2,2,0
