Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Highly active Au-CeO2@ZrO2 yolk-shell nanoreactors for the reduction of 4-nitrophenol to 4-aminophenol,"Evangelista, Viridiana; Acosta, Brenda; Miridonov, Serguei; Smolentseva, Elena; Fuentes, Sergio; Simakov, Andrey",,,,APPLIED CATALYSIS B-ENVIRONMENTAL,MAY 2015,2015,166.0,,,,,518.0,528.0,,10.1016/j.apcatb.2014.12.006,,,117,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,21,14,16,11,10,12,6,4,3
Photoplethysmographic imaging of high spatial resolution,"Kamshilin, Alexei A.; Miridonov, Serguei; Teplov, Victor; Saarenheimo, Riku; Nippolainen, Ervin",,,,BIOMEDICAL OPTICS EXPRESS,APR 1 2011,2011,2.0,4,,,,996.0,1006.0,,10.1364/BOE.2.000996,,,109,7.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,19,13,12,11,5,8,12,3,4,2
LIGHT-DIFFRACTION AND NON-LINEAR IMAGE-PROCESSING IN ELECTROOPTIC BI12SIO20 CRYSTALS,"PETROV, MP; MIRIDONOV, SV; STEPANOV, SI; KULIKOV, VV",,,,OPTICS COMMUNICATIONS,1979,1979,31.0,3,,,,301.0,305.0,,10.1016/0030-4018(79)90201-3,,,74,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,2,1,5,5,4,6,4,4,8,4,4,0,7,2,2,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Variability of Microcirculation Detected by Blood Pulsation Imaging,"Kamshilin, Alexei A.; Teplov, Victor; Nippolainen, Ervin; Miridonov, Serguei; Giniatullin, Rashid",,,,PLOS ONE,FEB 19 2013,2013,8.0,2,,,,,,e57117,10.1371/journal.pone.0057117,,,46,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,10,4,3,4,1,1,7,2,4,0
Fiber Bragg grating sensor for petroleum hydrocarbon leak detection,"Spirin, VV; Shlyagin, MG; Miridonov, SV; Jiménez, FJM; Gutiérrez, RML",,,,OPTICS AND LASERS IN ENGINEERING,NOV 1999,1999,32.0,5,,,,497.0,503.0,,10.1016/S0143-8166(00)00021-X,,,46,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,2,1,2,0,0,4,0,1,1,2,2,2,2,2,1,6,2,2,1,1,1
Twin-grating fiber optic sensor demodulation,"Miridonov, SV; Shlyagin, MG; Tentori, D",,,,OPTICS COMMUNICATIONS,MAY 8 2001,2001,191.0,3-6,,,,253.0,262.0,,10.1016/S0030-4018(01)01160-9,,,39,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,1,0,1,1,2,0,1,2,0,1,2,2,0,2,3,3,2,2,1,1,0,0
Sub-kilohertz Brillouin fiber laser with stabilized self-injection locked DFB pump laser,"Spirin, V. V.; Escobedo, J. L. Bueno; Miridonov, S. V.; Sanchez, M. C. Maya; Lopez-Mercado, C. A.; Korobko, D. A.; Zolotovskii, I. O.; Fotiadi, A. A.",,,,OPTICS AND LASER TECHNOLOGY,SEP 2021,2021,141.0,,,,,,,107156,10.1016/j.optlastec.2021.107156,,,31,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,10,11,1
Temperature-insensitive strain measurement using differential double Bragg grating technique,"Spirin, VV; Shlyagin, MG; Miridonov, SV; Marquez, I",,,,OPTICS AND LASER TECHNOLOGY,FEB 2001,2001,33.0,1,,,,43.0,46.0,,10.1016/S0030-3992(00)00115-8,,,28,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,4,2,6,1,0,0,1,0,3,0,1,1,1,0,0,0,1,1,0,0,0
Synthesis of cerium oxide (IV) hollow nanospheres with tunable structure and their performance in the 4-nitrophenol adsorption,"Guzman, Mario; Estrada, Miguel; Miridonov, Serguei; Simakov, Andrey",,,,MICROPOROUS AND MESOPOROUS MATERIALS,APR 2019,2019,278.0,,,,,241.0,250.0,,10.1016/j.micromeso.2018.11.020,,,27,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,4,4,5,0
Alterations of blood pulsations parameters in carotid basin due to body position change,"Kamshilin, Alexei A.; Krasnikova, Tatiana V.; Volynsky, Maxim A.; Miridonov, Serguei V.; Mamontov, Oleg V.",,,,SCIENTIFIC REPORTS,SEP 12 2018,2018,8.0,,,,,,,13663,10.1038/s41598-018-32036-7,,,22,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,6,4,1,1
