Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Characterization of Modified Fischer-Tropsch Catalysts Promoted with Alkaline Metals for Higher Alcohol Synthesis,"Cosultchi, Ana; Perez-Luna, Miguel; Antonio Morales-Serna, Jose; Salmon, Manuel",,,,CATALYSIS LETTERS,MAR 2012,2012,142,3,,,,368,377,,10.1007/s10562-012-0765-9,,,27,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,6,2,1,2,1,2,1,0,0
Sulfur reduction in cracked naphtha by a commercial additive:: effect of feed and catalyst properties,"Hernández-Beltrán, F; Moreno-Mayorga, JC; Quintana-Solórzano, R; Sánchez-Valente, J; Pedraza-Archila, F; Pérez-Luna, M",,,,APPLIED CATALYSIS B-ENVIRONMENTAL,NOV 5 2001,2001,34,2,,,,137,148,,10.1016/S0926-3373(01)00213-2,,,19,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,1,2,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0
Highly dispersed Pt-Ir nanoparticles on titania nanotubes,"Toledo-Antonio, Jose A.; Angeles-Chavez, Carlos; Antonia Cortes-Jacome, Ma; Cuauhtemoc-Lopez, I.; Lopez-Salinas, E.; Perez-Luna, M.; Ferrat-Torres, G.",,,,APPLIED CATALYSIS A-GENERAL,SEP 26 2012,2012,437,,,,,155,165,,10.1016/j.apcata.2012.06.022,,,15,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,1,2,0,1,1,0,0,0
"1-Hexene Double Bond Isomerization Reaction Over SO4<SUP>=</SUP> Promoted NiO, Al2O3 and ZrO2 Acid Catalysts","Perez-Luna, M.; Cosultchi, A.; Toledo-Antonio, J. A.; Diaz-Garcia, L.",,,,CATALYSIS LETTERS,MAR 2009,2009,128,3-4,,,,290,296,,10.1007/s10562-008-9714-z,,,11,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,2,2,0,1,0
Catalytic conversion of propylene oxide on a super acid sulfonic clay (SASC) system,"Salmon, M; PerezLuna, M; LopezFranco, C; Hernandez, E; AlvarezRamirez, RA; LopezOrtega, A; Dominguez, JM",,,,JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL,AUG 1 1997,1997,122,2-3,,,,169,174,,10.1016/S1381-1169(97)00026-5,,,10,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
n-Pentane Isomerization Over Pt- and Ni-Pt-Promoted Sulfated Zirconia Catalysts Supported on Alumina,"Perez-Luna, M.; Cosultchi, A.; Toledo-Antonio, J. A.; Cortes-Jacome, M. A.",,,,CATALYSIS LETTERS,AUG 2009,2009,131,1-2,,,,285,293,,10.1007/s10562-009-0054-4,,,9,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,2,1,0,0,0,0
n-butane isomerization over SO4<SUP>=</SUP>/NiO/Al2O3/ZrO2 catalysts.: Effect of the reaction pressure and metal loading,"Perez-Luna, M; Toledo-Antonio, JA; Hernandez-Beltrán, F; Armendariz, H; Borquez, AG",,,,CATALYSIS LETTERS,NOV 2002,2002,83,3-4,,,,201,207,,10.1023/A:1021086014431,,,5,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Study of alumina-promoted SO<SUP>2-</SUP>4/NiO/ZrO2 catalyst performance,"Pérez-Luna, M; Cosultchi, A; Toledo-Antonio, J; Aree-Estrada, E",,,,CATALYSIS LETTERS,JUL 2005,2005,102,1-2,,,,33,38,,10.1007/s10562-005-5199-1,,,3,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
n-hexane Isomerization over NiO/SO4<SUP>2-</SUP>/ZrO2 catalysts.: Effect of nickel loading,"Perez-Luna, M; Antonio, JAT; Montoya, A; Rosas-Salas, R",,,,CATALYSIS LETTERS,AUG 2004,2004,97,1-2,,,,59,64,,10.1023/B:CATL.0000034288.48687.e9,,,3,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Effect of Pt incorporation into Ni/ZrO2-SO4 <SUP>=</SUP>/Al2O3 catalyst for n-butane isomerization,"Pérez-Luna, M; Cosultchi, A; Toledo-Antonio, JA; Angeles-Chavez, C; Arce-Estrada, EM",,,,CATALYSIS LETTERS,FEB 2006,2006,107,1-2,,,,103,110,,10.1007/s10562-005-9737-7,,,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
