Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Composition of the Essential Oil of Salvia ballotiflora (Lamiaceae) and Its Insecticidal Activity,"Cecilia Cardenas-Ortega, Norma; Martin Gonzalez-Chavez, Marco; Figueroa-Brito, Rodolfo; Flores-Macias, Antonio; Romo-Asuncion, Diana; Elizabeth Martinez-Gonzalez, Diana; Perez-Moreno, Victor; Angel Ramos-Lopez, Miguel",,,,MOLECULES,MAY 2015,2015,20,5,,,,8048,8059,,10.3390/molecules20058048,,,41,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,8,7,7,4,4,1
Comparison of a contactor catalytic membrane reactor with a conventional reactor:: example of wet air oxidation,"Miachon, S; Perez, V; Crehan, G; Torp, E; Ræder, H; Bredesen, R; Dalmon, JA",,,,CATALYSIS TODAY,JUL 30 2003,2003,82,1-4,,,,75,81,,10.1016/S0920-5861(03)00204-9,5th International Conference on Catalysis in Membrane Reactors (ICCMR-2002),"JUN 26-28, 2002",38,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,1,4,2,4,2,1,2,1,3,0,1,0,0,1,2,1,0,0,0,1
Highly active sulfided CoMo catalyst on nano-structured TiO2,"Escobar, J; Toledo, JA; Cortés, MA; Mosqueira, ML; Pérez, V; Ferrat, G; López-Salinas, E; Torres-García, E",,,,CATALYSIS TODAY,OCT 15 2005,2005,106,1-4,,,,222,226,,10.1016/j.cattod.2005.07.136,International Conference on Gas-Fuel 05,"NOV 14-16, 2005",33,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,3,3,1,1,1,1,2,5,1,0,1,3,0,1,1,0,0
Preparation and characterisation of a Pt/ceramic catalytic membrane,"Perez, V; Miachon, S; Dalmon, JA; Bredesen, R; Pettersen, G; Ræder, H; Simon, C",,,,SEPARATION AND PURIFICATION TECHNOLOGY,OCT 1 2001,2001,25,1-3,,,,33,38,,10.1016/S1383-5866(01)00088-0,6th International Conference on Inorganic Membranes (ICIM6-2000),2000,25,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,3,1,0,4,4,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0
HDS of straight-run gas oil at various nitrogen contents.: Comparison between different reaction systems,"Alvarez, A.; Escobar, J.; Toledo, J. A.; Perez, V.; Cortes, M. A.; Perez, M.; Rivera, E.",,,,FUEL,JUN 2007,2007,86,9,,,,1240,1246,,10.1016/j.fuel.2006.08.001,Mexican Congress on Chemical Reaction Engineering,"APR 19-21, 2006",16,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,4,1,1,1,1,0,1,0
"Vascular risk factors in patients with ischaemic stroke.: Distribution according to age, sex and stroke subtype","Moreno, V. P.; Garcia-Raso, A.; Garcia-Bueno, M. J.; Sanchez-Sanchez, C.; Meseguer, E.; Mata, R.; Llamas, P.",,,,REVISTA DE NEUROLOGIA,MAY 16 2008,2008,46,10,,,,593,598,,10.33588/rn.4610.2007646,,,15,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,4,0,0,1,0,0,1,0,2,0,0,0,0
Seawater Desalination Using Modified Ceramic Membranes,"Perez-Moreno, V.; Bonilla-Suarez, C. B.; Fortanell-Trejo, M.; Pedraza-Aboytes, G.",,,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,MAY 2 2012,2012,51,17,,,,5900,5904,,10.1021/ie2009313,1st International Congress and 32nd National Meeting of the Mexican Association for Research and Teaching in Chemical Engineering (AMIDIQ),"MAY 03-06, 2011",9,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,1,1,1,0,0,0,0
Characterization and preparation of porous membranes with a natural Mexican zeolite,"Moreno, VP; Arellano, JJC; Ramírez, HB",,,,JOURNAL OF PHYSICS-CONDENSED MATTER,JUN 9 2004,2004,16,22,,,SI,S2345,S2352,PII S0953-8984(04)76422-X,10.1088/0953-8984/16/22/037,2nd International Conference on Applied Statistical Physics - Molecular Engineering,"AUG 24-29, 2003",9,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0
HEAVY METALS IN SEAWATER ALONG THE MEXICAN PACIFIC COAST,"Perez-Moreno, Victor; Angel Ramos-Lopez, Miguel; Eduardo Zavala-Gomez, Carlos; Rico Rodriguez, Miguel Angel",,,,INTERCIENCIA,JUN 2016,2016,41,6,,,,419,423,,,,,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
EFFECT OF POTASSIUM NITRATE ON THE PRODUCTION OF RICININE BY Ricinus communis AND ITS INSECTICIDAL ACTIVITY AGAINST Spodoptera frugiperda,"Flores-Macias, Antonio; Vela-Correa, Gilberto; de Lourdes Rodriguez-Gamino, Ma.; Akhtar, Yasmin; Figueroa-Brito, Rodolfo; Perez-Moreno, Victor; Rico-Rodriguez, Miguel A.; Ramos-Lopez, Miguel A.",,,,REVISTA FITOTECNIA MEXICANA,JAN-MAR 2016,2016,39,1,,,,41,47,,,,,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
