Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Generating a 50-scroll chaotic attractor at 66 MHz by using FPGAs,"Tlelo-Cuautle, E.; Pano-Azucena, A. D.; Rangel-Magdaleno, J. J.; Carbajal-Gomez, V. H.; Rodriguez-Gomez, G.",,,,NONLINEAR DYNAMICS,SEP 2016,2016,85.0,4.0,,,,2143.0,2157,,10.1007/s11071-016-2820-3,,,80,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,17,11,4,2,3,1,0
A survey on the integrated design of chaotic oscillators,"Trejo-Guerra, R.; Tlelo-Cuautle, E.; Carbajal-Gomez, V. H.; Rodriguez-Gomez, G.",,,,APPLIED MATHEMATICS AND COMPUTATION,JAN 15 2013,2013,219.0,10.0,,,,5113.0,5122,,10.1016/j.amc.2012.11.021,,,78,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,7,9,11,12,11,2,6,4,2,3,1
Ground effect on rotorcraft unmanned aerial vehicles: a review,"Matus-Vargas, Antonio; Rodriguez-Gomez, Gustavo; Martinez-Carranza, Jose",,,,INTELLIGENT SERVICE ROBOTICS,MAR 2021,2021,14.0,1.0,,,,99.0,118,,10.1007/s11370-020-00344-5,,,44,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,15,13,2
FPGA-based implementation of chaotic oscillators by applying the numerical method based on trigonometric polynomials,"Pano-Azucena, A. D.; Tlelo-Cuautle, E.; Rodriguez-Gomez, G.; de la Fraga, L. G.",,,,AIP ADVANCES,JUL 2018,2018,8.0,7.0,,,,,,075217,10.1063/1.5038583,,,29,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,5,3,2,1,0
Nonlinear identification and cluster analysis of chaotic attractors from a real implementation of Chua's circuit,"Aguirre, LA; Rodrigues, GG; Mendes, EMAM",,,,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,JUN 1997,1997,7.0,6.0,,,,1411.0,1423,,10.1142/S0218127497001138,,,29,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,0,2,2,1,2,3,1,2,0,0,2,1,0,0,2,2,1,0,0,1,0,0
Node Adaptive Domain Decomposition Method by Radial Basis Functions,"Gonzalez-Casanova, Pedro; Antonio Munoz-Gomez, Jose; Rodriguez-Gomez, Gustavo",,,,NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS,NOV 2009,2009,25.0,6.0,,,,1482.0,1501,,10.1002/num.20410,,,14,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,3,0,0,2,0,0,0,0,0,3,0
Fuzzy Synchronization of Chaotic Systems with Hidden Attractors,"Zaqueros-Martinez, Jessica; Rodriguez-Gomez, Gustavo; Tlelo-Cuautle, Esteban; Orihuela-Espina, Felipe",,,,ENTROPY,MAR 2023,2023,25.0,3.0,,,,,,495,10.3390/e25030495,,,11,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2
Evolutionary Algorithms in the Optimal Sizing of Analog Circuits,"Tlelo-Cuautle, Esteban; Guerra-Gomez, Ivick; Gerardo de la Fraga, Luis; Flores-Becerra, Georgina; Polanco-Martagon, Said; Fakhfakh, Mourad; Alberto Reyes-Garcia, Carlos; Rodriguez-Gomez, Gustavo; Reyes-Salgado, Gerardo",,,"Koppen, M; Schaefer, G; Abraham, A",INTELLIGENT COMPUTATIONAL OPTIMIZATION IN ENGINEERING: TECHNIQUES AND APPLICATIONS,2011,2011,366.0,,,,,109.0,138,,,,,11,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,0,1,1,0,1,0,0,0,0
Extending a spherical robot for dealing with irregular surfaces: a sea urchin-like robot,"Ocampo-Jimenez, Jorge; Munoz-Melendez, Angelica; Rodriguez-Gomez, Gustavo",,,,ADVANCED ROBOTICS,NOV 17 2014,2014,28.0,22.0,,,,1475.0,1485,,10.1080/01691864.2014.968615,,,7,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,0
Domain decomposition by radial basis functions for time dependent partial differential equations,"Munoz-Gomez, Jose Antonio; Gonzalez-Casanova, Pedro; Rodriguez-Gomez, Gustavo",,,"Sahni, S",Proceedings of the IASTED International Conference on Advances in Computer Science and Technology,2006,2006,,,,,,105.0,109,,,IASTED International Conference on Advances in Computer Science and Technology,"JAN 23-25, 2006",6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Aerodynamic Disturbance Rejection Acting on a Quadcopter Near Ground,"Matus-Vargas, Antonio; Rodriguez-Gomez, Gustavo; Martinez-Carranza, Jose",,,,"2019 6TH INTERNATIONAL CONFERENCE ON CONTROL, DECISION AND INFORMATION TECHNOLOGIES (CODIT 2019)",2019,2019,,,,,,1516.0,1521,,,"6th International Conference on Control, Decision and Information Technologies (CoDIT)","APR 23-26, 2019",5,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0
Computing general companion matrices and stability regions of multirate methods,"Rodríguez-Gómez, G; González-Casanova, P; Martínez-Carballido, J",,,,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,SEP 14 2004,2004,61.0,2.0,,,,255.0,273,,10.1002/nme.1065,,,5,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0
QIST: One-dimensional quantum integer wavelet S-transform,"Chaurra-Gutierrez, Freddy Alejandro; Feregrino-Uribe, Claudia; Perez-Sansalvador, Julio Cesar; Rodriguez-Gomez, Gustavo",,,,INFORMATION SCIENCES,APR 2023,2023,622.0,,,,,999.0,1013,,10.1016/j.ins.2022.12.002,,,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
A Monocular SLAM-based Controller for Multirotors with Sensor Faults under Ground Effect,"Matus-Vargas, Antonio; Rodriguez-Gomez, Gustavo; Martinez-Carranza, Jose",,,,SENSORS,NOV 2019,2019,19.0,22.0,,,,,,4948,10.3390/s19224948,,,3,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
Design of Home Energy Management System Using IoT Data Flow,"Perez-Camacho, Blanca-Nydia; Gonzalez-Calleros, Juan-Manuel; Rodriguez-Gomez, Gustavo",,,"Agredo-Delgado, V; Ruiz, PH","HUMAN-COMPUTER INTERACTION, HCI-COLLAB 2019",2019,2019,1114.0,,,,,165.0,176,,10.1007/978-3-030-37386-3_13,5th Ibero-American Workshop on Human-Computer Interaction (HCI-Collab),"JUN 19-21, 2019",3,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
Multi-Session Key Management Scheme for Multimedia Group Communications,"Perez Cruz, Jose Roberto; Pomares Hernandez, Saul Eduardo; Rodriguez Gomez, Gustavo; Drira, Khalil; Diaz, Michel",,,,JOURNAL OF INTERNET TECHNOLOGY,JAN 2012,2012,13.0,1.0,,,,67.0,78,,,,,3,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Adaptive node refinement collocation method for partial differential equations,"Munoz-Gomez, Jose Antonio; Gonzalez-Casanova, Pedro; Rodriguez-Gomez, Gustavo",,,"Rajsbaum, S","SEVENTH MEXICAN INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE, PROCEEDINGS",2006,2006,,,,,,70.0,+,,,7th Mexican International Conference on Computer Science,"SEP 18-22, 2005-2006",3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuning, Control and Path Planning of a Spherical Robot using Stochastic Signals","Sanchez-Solar, Sergio-Daniel; Rodriguez-Gomez, Gustavo; Munoz-Melendez, Angelica; Martinez-Carranza, Jose",,,,"2021 18TH INTERNATIONAL CONFERENCE ON ELECTRICAL ENGINEERING, COMPUTING SCIENCE AND AUTOMATIC CONTROL (CCE 2021)",2021,2021,,,,,,,,,10.1109/CCE53527.2021.9633076,"18th International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)","NOV 10-12, 2021",2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Interpolated functional manifold for functional near-infrared spectroscopy analysis at group level,"Avila-Sansores, Shender-Maria; Rodriguez-Gomez, Gustavo; Tachtsidis, Ilias; Orihuela-Espina, Felipe",,,,NEUROPHOTONICS,OCT-DEC 2020,2020,7.0,4.0,,,,,,045009,10.1117/1.NPh.7.4.045009,,,2,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Control of a Spherical Robot Rolling Over Irregular Surfaces,"Sanchez-Solar, Sergio -Daniel; Rodriguez-Gomez, Gustavo; Martinez-Carranza, Jose",,,,JOURNAL OF UNIVERSAL COMPUTER SCIENCE,2023,2023,29.0,10.0,,,,1198.0,1216,,10.3897/jucs.89703,,,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
On the Verification for Realizing Multi-scroll Chaotic Attractors with High Maximum Lyapunov Exponent and Entropy,"Tlelo-Cuautle, E.; Sanchez-Sanchez, M.; Carbajal-Gomez, V. H.; Pano-Azucena, A. D.; de la Fraga, L. G.; Rodriguez-Gomez, G.",,,"Vaidyanathan, S; Volos, C",ADVANCES AND APPLICATIONS IN CHAOTIC SYSTEMS,2016,2016,636.0,,,,,311.0,336,,10.1007/978-3-319-30279-9_13,,,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
