Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Dynamic optimization of HIPS open-loop unstable polymerization reactors,"Flores-Tlacuahuac, A; Biegler, LT; Saldívar-Guerra, E",,,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,APR 13 2005,2005,44,8,,,,2659.0,2674.0,,10.1021/ie049534p,,,69,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,4,3,5,2,2,4,6,2,3,4,1,2,2,7,3,2,2,0
Full Molecular Weight Distribution in RAFT Polymerization. New Mechanistic Insight by Direct Integration of the Equations,"Zapata-Gonzalez, Ivan; Saldivar-Guerra, Enrique; Ortiz-Cisneros, Jose",,,,MACROMOLECULAR THEORY AND SIMULATIONS,JUL 19 2011,2011,20,6,,,,370.0,388.0,,10.1002/mats.201100023,,,46,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,2,6,5,6,2,2,1,2,4,0,1
Modification of chitosan with polystyrene and poly(n-butyl acrylate) via nitroxide-mediated polymerization and grafting from approach in homogeneous media,"Garcia-Valdez, O.; Champagne-Hartley, R.; Saldivar-Guerra, E.; Champagne, P.; Cunningham, M. F.",,,,POLYMER CHEMISTRY,2015,2015,6,15,,,,2827.0,2836.0,,10.1039/c5py00028a,,,45,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,4,3,2,11,7,2,2,1,0
Graphene oxide modification with graft polymers via nitroxide mediated radical polymerization,"Garcia-Valdez, Omar; Ledezma-Rodriguez, Raquel; Saldivar-Guerra, Enrique; Yate, Luis; Moya, Sergio; Ziolo, Ronald F.",,,,POLYMER,MAY 13 2014,2014,55,10,,,,2347.0,2355.0,,10.1016/j.polymer.2014.03.042,,,45,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,9,4,4,2,4,1,4,1,0
"Numerical Techniques for the Solution of the Molecular Weight Distribution in Polymerization Mechanisms, State of the Art","Saldivar-Guerra, Enrique",,,,MACROMOLECULAR REACTION ENGINEERING,AUG 2020,2020,14,4,,,,,,2000010.0,10.1002/mren.202000010,,,37,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,6,8,3,6
Chitosan modification via nitroxide-mediated polymerization and grafting to approach in homogeneous media,"Garcia-Valdez, Omar; George, Sean; Champagne-Hartley, Rachel; Saldivar-Guerra, Enrique; Champagne, Pascale; Cunningham, Michael F.",,,,POLYMER,JUN 12 2015,2015,67,,,,,139.0,147.0,,10.1016/j.polymer.2015.04.043,,,36,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,2,8,6,4,0,2,1,2
Optimal grade transitions in the high-impact polystyrene polymerization process,"Flores-Tlacuahuac, Antonio; Biegler, Lorenz T.; Saldivar-Guerra, Enrique",,,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,AUG 30 2006,2006,45,18,,,,6175.0,6189.0,,10.1021/ie051140q,,,30,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,3,7,1,4,0,2,0,0,0,1,1,1,2,1,0
Steady-state nonlinear bifurcation analysis of a high-impact polystyrene continuous stirred tank reactor,"Verazaluce-García, JC; Flores-Tlacuahuac, A; Saldívar-Guerra, E",,,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,JUN 2000,2000,39,6,,,,1972.0,1979.0,,10.1021/ie990560a,,,29,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,5,4,3,3,2,2,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0
Efficient numerical integration of stiff differential equations in polymerisation reaction engineering: Computational aspects and applications,"Zapata-Gonzalez, Ivan; Saldivar-Guerra, Enrique; Flores-Tlacuahuac, Antonio; Vivaldo-Lima, Eduardo; Ortiz-Cisneros, Jose",,,,CANADIAN JOURNAL OF CHEMICAL ENGINEERING,AUG 2012,2012,90,4,,,,804.0,823.0,,10.1002/cjce.21656,,,28,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,6,3,5,3,3,0,0,1,0,1
Returning to Basics: Direct Integration of the Full Molecular-Weight Distribution Equations in Addition Polymerization,"Saldivar-Guerra, Enrique; Infante-Martinez, Ramiro; Vivaldo-Lima, Eduardo; Flores-Tlacuahuac, Antonio",,,,MACROMOLECULAR THEORY AND SIMULATIONS,MAY 21 2010,2010,19,4,,,,151.0,157.0,,10.1002/mats.200900072,,,26,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,4,5,3,3,1,1,1,0,1
