Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
EXPLORING HIGH-ACHIEVING STUDENTS' IMAGES OF MATHEMATICIANS,"Sanchez Aguilar, Mario; Rosas, Alejandro; Molina Zavaleta, Juan Gabriel; Romo-Vazquez, Avenilde",,,,INTERNATIONAL JOURNAL OF SCIENCE AND MATHEMATICS EDUCATION,APR 2016,2016,14.0,3,,,,527.0,548.0,,10.1007/s10763-014-9586-1,,,17,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,2,4,1,1
What mathematical competencies does a citizen needs to interpret Mexico's official information about the COVID-19 pandemic?,"Aguilar, Mario Sanchez; Castaneda, Apolo",,,,EDUCATIONAL STUDIES IN MATHEMATICS,OCT 2021,2021,108.0,1-2,,,SI,227.0,248.0,,10.1007/s10649-021-10082-9,,,15,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,6,0
Replication Studies in Mathematics Education: What Kind of Questions Would Be Productive to Explore?,"Sanchez Aguilar, Mario",,,,INTERNATIONAL JOURNAL OF SCIENCE AND MATHEMATICS EDUCATION,MAY 2020,2020,18.0,SUPPL 1,,1.0,SI,37.0,50.0,,10.1007/s10763-020-10069-7,,,15,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,2,1,1
Beyond quality metrics: defying journal rankings as the philosopher's stone of mathematics education research,"Andrade-Molina, Melissa; Montecino, Alex; Sanchez Aguilar, Mario",,,,EDUCATIONAL STUDIES IN MATHEMATICS,MAR 2020,2020,103.0,3,,,,359.0,374.0,,10.1007/s10649-020-09932-9,,,12,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,1
Mathematical help-seeking: observing how undergraduate students use the Internet to cope with a mathematical task,"Aguilar, Mario Sanchez; Puga, Danelly Susana Esparza",,,,ZDM-MATHEMATICS EDUCATION,OCT 2020,2020,52.0,5,,,SI,1003.0,1016.0,,10.1007/s11858-019-01120-1,,,6,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0
Students' perspectives on using YouTube as a source of mathematical help: the case of 'julioprofe',"Esparza Puga, Danelly Susana; Sanchez Aguilar, Mario",,,,INTERNATIONAL JOURNAL OF MATHEMATICAL EDUCATION IN SCIENCE AND TECHNOLOGY,JUL 3 2023,2023,54.0,6,,,,1054.0,1066.0,,10.1080/0020739X.2021.1988165,,,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
A Foucauldian Analysis of Representations of Mathematicians in Lower Secondary Mexican Mathematics Textbooks,"Aguilar, Mario Sanchez; Castaneda, Apolo",,,,INTERNATIONAL JOURNAL OF SCIENCE AND MATHEMATICS EDUCATION,APR 2020,2020,18.0,4,,,,753.0,770.0,,10.1007/s10763-019-09986-z,,,4,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
Implementation-related research in mathematics education: the search for identity,"Koichu, Boris; Sanchez Aguilar, Mario; Misfeldt, Morten",,,,ZDM-MATHEMATICS EDUCATION,OCT 2021,2021,53.0,5,,,SI,975.0,989.0,,10.1007/s11858-021-01302-w,,,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Introduction to the papers of TWG23: Implementation of research findings in mathematics education,"Jankvist, Uffe Thomas; Sanchez Aguilar, Mario; Arleback, Jonas Bergman; Waege, Kjersti",,,"Dooley, T; Gueudet, G",PROCEEDINGS OF THE TENTH CONGRESS OF THE EUROPEAN SOCIETY FOR RESEARCH IN MATHEMATICS EDUCATION (CERME10),2017,2017,,,,,,3769.0,3775.0,,,10th Congress of the European-Society-for-Research-in-Mathematics-Education (CERME),"FEB 01-05, 2017",3,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
Socioepistemology of Prediction.,"Cantoral, Ricardo; Gabriel Molina, Juan; Sanchez, Mario",,,"Lezama, J; Sanchez, M; Molina, JG","ACTA LATINOAMERICANA DE MATEMATICA EDUCATIVA, VOL. 18",2005,2005,,,,,,463.0,468.0,,,,,3,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
