Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Mitochondrial dysfunction related to cell damage induced by 3-hydroxykynurenine and 3-hydroxyanthranilic acid: Non-dependent-effect of early reactive oxygen species production,"Reyes-Ocampo, J.; Ramirez-Ortega, D.; Vazquez Cervantes, G. I.; Pineda, B.; de Oca Balderas, Pavel Montes; Gonzalez-Esquivel, D.; Sanchez-Chapul, L.; Lugo-Huitron, R.; Silva-Adaya, D.; Rios, C.; Jimenez-Anguiano, A.; Perez-de la Cruz, V.",,,,NEUROTOXICOLOGY,SEP 2015,2015,50,,,,SI,81,91,,10.1016/j.neuro.2015.08.003,,,52,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,2,8,6,9,5,6,3
Relevance of Alternative Routes of Kynurenic Acid Production in the Brain,"Ramos-Chavez, L. A.; Lugo Huitron, R.; Gonzalez Esquivel, D.; Pineda, B.; Rios, C.; Silva-Adaya, D.; Sanchez-Chapul, L.; Roldan-Roldan, G.; Perez de la Cruz, V.",,,,OXIDATIVE MEDICINE AND CELLULAR LONGEVITY,2018,2018,2018,,,,,,,5272741.0,10.1155/2018/5272741,,,50,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,14,10,5,9,1
"Cell protection induced by beta-sitosterol:: inhibition of genotoxic damage, stimulation of lymphocyte production, and determination of its antioxidant capacity","Paniagua-Perez, R.; Madrigal-Bujaidar, E.; Reyes-Cadena, S.; Alvarez-Gonzalez, I.; Sanchez-Chapul, L.; Perez-Gallaga, J.; Hernandez, N.; Flores-Mondragon, G.; Velasco, O.",,,,ARCHIVES OF TOXICOLOGY,SEP 2008,2008,82,9.0,,,,615,622,,10.1007/s00204-007-0277-3,,,45,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,1,4,2,5,3,2,2,4,1,6,3,1,0
Low Serum Tryptophan Levels as an Indicator of Global Cognitive Performance in Nondemented Women over 50 Years of Age,"Ramos-Chavez, L. A.; Roldan-Roldan, G.; Garcia-Juarez, B.; Gonzalez-Esquivel, D.; Perez de la Cruz, G.; Pineda, B.; Ramirez-Ortega, D.; Garcia Munoz, I; Jimenez Herrera, B.; Rios, C.; Gomez-Manzo, S.; Marcial-Quino, J.; Sanchez Chapul, L.; Carrillo Mora, P.; Perez de la Cruz, V",,,,OXIDATIVE MEDICINE AND CELLULAR LONGEVITY,2018,2018,2018,,,,,,,8604718.0,10.1155/2018/8604718,,,30,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,12,1,2,2
"Antigenotoxic, Antioxidant and Lymphocyte Induction Effects Produced by Pteropodine","Paniagua-Perez, Rogelio; Madrigal-Bujaidar, Eduardo; Molina-Jasso, Dolores; Reyes-Cadena, Susana; Alvarez-Gonzalez, Isela; Sanchez-Chapul, Laura; Perez-Gallaga, Javier",,,,BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY,MAR 2009,2009,104,3.0,,,,222,227,,10.1111/j.1742-7843.2008.00366.x,,,30,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,1,0,4,0,1,3,2,4,2,4,0,2
Immunodetection analysis of muscular dystrophies in Mexico,"Gomez-Diaz, Benjamin; Rosas-Vargas, Haydee; Roque-Ramirez, Bladimir; Meza-Espinoza, Pedro; Ruano-Calderon, Luis A.; Fernandez-Valverde, Francisca; Escalante-Bautista, Deyanira; Escobar-Cedillo, Rosa E.; Sanchez-Chapul, Laura; Vargas-Canas, Steven; Lopez-Hernandez, Luz B.; Bahena-Martinez, Eliganty; Luna-Angulo, Alexandra B.; Canto, Patricia; Coral-Vazquez, Ramon M.",,,,MUSCLE & NERVE,MAR 2012,2012,45,3.0,,,,338,345,,10.1002/mus.22314,,,25,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,4,2,2,0,3,2,0,1,0
On the Antioxidant Properties of L-Kynurenine: An Efficient ROS Scavenger and Enhancer of Rat Brain Antioxidant Defense,"Ramirez Ortega, Daniela; Muniz, Perla Eugenia Ugalde; Blanco Ayala, Tonali; Cervantes, Gustavo Ignacio Vazquez; Huitron, Rafael Lugo; Pineda, Benjamin; Esquivel, Dinora Fabiola Gonzalez; de la Cruz, Gonzalo Perez; Chaverri, Jose Pedraza; Chapul, Laura Sanchez; Gomez-Manzo, Saul; de la Cruz, Veronica Perez",,,,ANTIOXIDANTS,JAN 2022,2022,11,1.0,,,,,,31.0,10.3390/antiox11010031,,,23,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,10,1
Antioxidant properties of xanthones from Calophyllum brasiliense: prevention of oxidative damage induced by FeSO4,"Blanco-Ayala, Tonali; Lugo-Huitron, Rafael; Serrano-Lopez, Elizabeth M.; Reyes-Chilpa, Ricardo; Rangel-Lopez, Edgar; Pineda, Benjamin; Noel Medina-Campos, Omar; Sanchez-Chapul, Laura; Pinzon, Enrique; Cristina, Trejo-Solis; Silva-Adaya, Daniela; Pedraza-Chaverri, Jose; Rios, Camilo; Perez de la Cruz, Veronica; Torres-Ramos, Monica",,,,BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE,OCT 11 2013,2013,13,,,,,,,262.0,10.1186/1472-6882-13-262,,,18,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,2,4,1,1,1,0,0,0
Serum Kynurenines Correlate With Depressive Symptoms and Disability in Poststroke Patients: A Cross-sectional Study,"Carrillo-Mora, Paul; Perez-De la Cruz, Veronica; Estrada-Cortes, Berenice; Toussaint-Gonzalez, Paola; Martinez-Cortez, Jose Antonio; Rodriguez-Barragan, Marlene; Quinzanos-Fresnedo, Jimena; Rangel-Caballero, Fernanda; Gamboa-Coria, Gabriela; Sanchez-Vazquez, Itzel; Barajas-Martinez, Karina; Franyutti-Prado, Kenia; Sanchez-Chapul, Laura; Ramirez-Ortega, Daniela; Ramos-Chavez, Lucio A.",,,,NEUROREHABILITATION AND NEURAL REPAIR,OCT 2020,2020,34,10.0,,,,936,944,1545968320953671.0,10.1177/1545968320953671,,,17,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,2,2,0
"Thallium-induced DNA damage, genetic, and epigenetic alterations","Sanchez-Chapul, Laura; Santamaria, Abel; Aschner, Michael; Ke, Tao; Tinkov, Alexey A.; Tunez, Isaac; Osorio-Rico, Laura; Galvan-Arzate, Sonia; Rangel-Lopez, Edgar",,,,FRONTIERS IN GENETICS,APR 20 2023,2023,14,,,,,,,1168713.0,10.3389/fgene.2023.1168713,,,14,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2
