Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Reactivation of tumor suppressor genes by the cardiovascular drugs hydralazine and procainamide and their potential use in cancer therapy,"Segura-Pacheco, B; Trejo-Becerril, C; Perez-Cardenas, E; Taja-Chayeb, L; Mariscal, I; Chavez, A; Acuña, C; Salazar, AM; Lizano, M; Dueñas-Gonzalez, A",,,,CLINICAL CANCER RESEARCH,MAY 2003,2003,9,5.0,,,,1596,1603,,,,,188,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,15,10,11,12,8,19,11,14,8,6,15,3,5,7,5,9,1,4,4,3
Histone acetylation and histone deacetylase activity of magnesium valproate in tumor and peripheral blood of patients with cervical cancer. A phase I study,"Chavez-Blanco, Alma; Segura-Pacheco, Blanca; Perez-Cardenas, Enrique; Taja-Chayeb, Lucia; Cetina, Lucely; Candelaria, Myrna; Cantu, David; Gonzalez-Fierro, Aurora; Garcia-Lopez, Patricia; Zambrano, Pilar; Perez-Plasencia, Carlos; Cabrera, Gustavo; Trejo-Becerril, Catalina; Angeles, Enrique; Duenas-Gonzalez, Alfonso",,,,MOLECULAR CANCER,JUL 7 2005,2005,4,,,,,,,22.0,10.1186/1476-4598-4-22,,,116,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,16,11,7,3,6,12,5,13,3,4,3,4,1,3,3,0,2,4,0
Antineoplastic effects of the DNA methylation inhibitor hydralazine and the histone deacetylase inhibitor valproic acid in cancer cell lines,"Chavez-Blanco, Alma; Perez-Plasencia, Carlos; Perez-Cardenas, Enrique; Carrasco-Legleu, Claudia; Rangel-Lopez, Edgar; Segura-Pacheco, Blanca; Taja-Chayeb, Lucia; Trejo-Becerril, Catalina; Gonzalez-Fierro, Aurora; Candelaria, Myrna; Cabrera, Gustavo; Duenas-Gonzalez, Alfonso",,,,CANCER CELL INTERNATIONAL,2006,2006,6,,,,,,,2.0,10.1186/1475-2867-6-2,,,108,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,8,6,9,11,2,7,5,5,7,4,5,4,8,3,3,5,0
Hydralazine target:: From blood vessels to the epigenome,"Arce, C; Segura-Pacheco, B; Perez-Cardenas, E; Taja-Chayeb, L; Candelaria, M; Dueñas-Gonzalez, A",,,,JOURNAL OF TRANSLATIONAL MEDICINE,FEB 28 2006,2006,4,,,,,,,10.0,10.1186/1479-5876-4-10,,,89,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,7,1,8,4,3,3,4,8,3,4,2,7,9,4,4,5,2
Global DNA hypermethylation-associated cancer chemotherapy resistance and its reversion with the demethylating agent hydralazine,"Segura-Pacheco, Blanca; Perez-Cardenas, Enrique; Taja-Chayeb, Lucia; Chavez-Blanco, Alma; Revilla-Vazquez, Alma; Benitez-Bribiesca, Luis; Duenas-Gonzalez, Alfonso",,,,JOURNAL OF TRANSLATIONAL MEDICINE,AUG 7 2006,2006,4,,,,,,,32.0,10.1186/1479-5876-4-32,,,71,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,9,2,9,5,5,2,5,2,3,5,3,3,2,2,3,1
Expression of AT1 and AT2 angiotensin receptors in astrocytomas is associated with poor prognosis,"Arrieta, O.; Pineda-Olvera, B.; Guevara-Salazar, P.; Hernandez-Pedro, N.; Morales-Espinosa, D.; Ceron-Lizarraga, T. L.; Gonzalez-De la Rosa, C. H.; Rembao, D.; Segura-Pacheco, B.; Sotelo, J.",,,,BRITISH JOURNAL OF CANCER,JUL 8 2008,2008,99,1.0,,,,160,166,,10.1038/sj.bjc.6604431,,,65,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,5,5,7,3,3,4,5,9,6,1,4,3,1
"Circulating nucleosomes and response to chemotherapy:: An in vitro, in vivo and clinical study on cervical cancer patients","Trejo-Becerril, C; Pérez-Cárdenas, E; Treviño-Cuevas, H; Taja-Chayeb, L; García-López, P; Segura-Pacheco, B; Chávez-Blanco, AC; Lizano-Soberon, M; González-Fierro, A; Mariscal, I; Wegman-Ostrosky, T; Dueñas-González, A",,,,INTERNATIONAL JOURNAL OF CANCER,MAY 10 2003,2003,104,6.0,,,,663,668,,10.1002/ijc.11003,,,56,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,2,3,4,3,3,4,4,2,4,4,3,2,1,0,3,2,2,1,0
Phase II trial of gemcitabine concurrent with radiation for locally advanced squamous cell carcinoma of the head and neck,"Aguilar-Ponce, JL; Granados-García, M; Villavicencio, V; Poitevin-Chacón, A; Green, D; Dueñas-González, A; Herrera-Gómez, A; Luna-Ortiz, K; Alvarado, A; Martínez-Said, H; Castillo-Henkel, C; Segura-Pacheco, B; De la Garza, J",,,,ANNALS OF ONCOLOGY,FEB 2004,2004,15,2.0,,,,301,306,,10.1093/annonc/mdh071,,,34,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,5,1,4,2,1,1,2,3,0,0,0,0,1,2,0,2,0
Determination of 5-methyl-cytosine and cytosine in tumor DNA of cancer patients,"Guerrero, KS; Vázquez, AR; Segura-Pacheco, B; Dueñas-Gonzalez, A",,,,ELECTROPHORESIS,MAR 2005,2005,26,6.0,,,,1057,1062,,10.1002/elps.200410040,,,20,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,2,0,2,2,0,3,0,2,0,0,1,0,0,0,0,1,0
Neuroendocrine marker expression in cervical carcinomas of non-small cell type,"Chavez-Blanco, A; Taja-Chayeb, L; Cetina, L; Chanona-Vilchis, G; Trejo-Becerril, C; Perez-Cardenas, E; Segura-Pacheco, B; Acuña-González, C; Dueñas-González, A",,,,INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY,OCT 2002,2002,21,4.0,,,,368,374,,10.1097/00004347-200210000-00006,Symposium of the International-Society-of-Gynecological-Pathologists,"FEB 04, 2002",17,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,2,2,0
