Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Conformal geometric algebra for robotic vision,"Bayro-Corrochano, E; Reyes-Lozano, L; Zamora-Esquivel, J",,,,JOURNAL OF MATHEMATICAL IMAGING AND VISION,JAN 2006,2006,24.0,1,,,,55.0,81,,10.1007/s10851-005-3615-1,,,37,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,1,3,3,3,4,0,3,2,2,4,2,0
Differential and inverse kinematics of robot devices using conformal geometric algebra,"Bayro-Corrochano, Eduardo; Zamora-Esquivel, Julio",,,,ROBOTICA,JAN-FEB 2007,2007,25.0,,1.0,,,43.0,61,,10.1017/S0263574706002980,,,27,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,0,4,3,2,6,5,0
Adaptive Convolutional Kernels,"Zamora-Esquivel, Julio; Cruz Vargas, Adan; Lopez Meyer, Paulo; Tickoo, Omesh",,,,2019 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION WORKSHOPS (ICCVW),2019,2019,,,,,,1998.0,2005,,10.1109/ICCVW.2019.00249,IEEE/CVF International Conference on Computer Vision (ICCV),"OCT 27-NOV 02, 2019",24,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,6,0
"G 6,3 Geometric Algebra; Description and Implementation","Zamora-Esquivel, Julio",,,,ADVANCES IN APPLIED CLIFFORD ALGEBRAS,JUN 2014,2014,24.0,2,,,SI,493.0,514,,10.1007/s00006-014-0442-8,,,17,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,3,1,1,2,1,2,0
Adaptive Activation Functions Using Fractional Calculus,"Zamora-Esquivel, Julio; Cruz Vargas, Adan; Rodigo Camacho-Perez, Jose; Lopez Meyer, Paulo; Cordourier, Hector; Tickoo, Omesh",,,,2019 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION WORKSHOPS (ICCVW),2019,2019,,,,,,2006.0,2013,,10.1109/ICCVW.2019.00250,IEEE/CVF International Conference on Computer Vision (ICCV),"OCT 27-NOV 02, 2019",14,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,2
Kinematics and diferential kinematics of binocular robot heads,"Zamora-Esquivel, Julio; Bayro-Corrochano, Eduardo",,,,"2006 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA), VOLS 1-10",2006,2006,,,,,,4130.0,+,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 15-19, 2006",14,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,4,1,1,0,0,2,0,0,0
Iterative inverse kinematics for robot manipulators using quaternion algebra and conformal geometric algebra,"Lechuga-Gutierrez, L.; Macias-Garcia, E.; Martinez-Teran, G.; Zamora-Esquivel, J.; Bayro-Corrochano, E.",,,,MECCANICA,JUN 2022,2022,57.0,6,,,,1413.0,1428,,10.1007/s11012-022-01512-w,,,9,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2
Parallel Forward Dynamics: a geometric approach,"Zamora-Esquivel, Julio; Bayro-Corrochano, Eduardo",,,,IEEE/RSJ 2010 INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS 2010),2010,2010,,,,,,2377.0,2382,,10.1109/IROS.2010.5652835,IEEE/RSJ International Conference on Intelligent Robots and Systems,"OCT 18-22, 2010",9,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,3,0,0,0
Robot Perception and Handling Actions Using the Conformal Geometric Algebra Framework,"Zamora-Esquivel, Julio; Bayro-Corrochano, Eduardo",,,,ADVANCES IN APPLIED CLIFFORD ALGEBRAS,OCT 2010,2010,20.0,3-4,,,,959.0,990,,10.1007/s00006-010-0232-x,8th International Conference on Clifford Algebras and their Applications in Mathematical Physics,"MAR 26-30, 2008",6,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0
Robot object manipulation using stereoscopic vision and conformal geometric algebra,"Zamora-Esquivel, Julio; Bayro-Corrochano, Eduardo",,,,APPLIED BIONICS AND BIOMECHANICS,2011,2011,8.0,3-4,,,,411.0,428,,10.1155/2011/728132,,,4,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
