Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Microbial consortium influence upon steel corrosion rate, using polarisation resistance and electrochemical noise techniques","Gayosso, MJH; Olivares, GZ; Ordaz, NR; Ramirez, CJ; Esquivel, RG; Viveros, AP",,,,ELECTROCHIMICA ACTA,OCT 1 2004,2004,49,25.0,,,,4295.0,4301.0,,10.1016/j.electacta.2004.03.038,,,50,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,2,1,4,3,2,2,5,2,7,4,2,3,2,1,0,2
Influence of turbulent flow on the localized corrosion process of mild steel with inhibited aqueous carbon dioxide systems,"Mora-Mendoza, JL; Chacon-Nava, JG; Zavala-Olivares, G; González-Nuñez, MA; Turgoose, S",,,,CORROSION,JUL 2002,2002,58,7.0,,,,608.0,619.0,,10.5006/1.3277652,,,31,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,1,2,1,0,2,3,2,1,2,3,1,1,0,2,0,2,0,0
Cathodic protection of XL 52 steel under the influence of sulfate reducing bacteria,"Garcia Esquivel, R.; Zavala Olivares, G.; Hernandez Gayosso, M. J.; Gayosso Trejo, A.",,,,MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION,JAN 2011,2011,62,1.0,,,,61.0,67.0,,10.1002/maco.200905426,,,19,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,2,1,5,2,3,1,0
Evaluation of a biocide effect upon microbiologically influenced corrosion of mild steel,"Gayosso, MJH; Olivares, GZ; Ordaz, NR; Esquivel, RG",,,,MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION,SEP 2005,2005,56,9.0,,,,624.0,629.0,,10.1002/maco.200503867,,,12,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,2,0,0,1,0,1,1,1,0,0,1,0
Alkylacrylic-carboxyalkylacrylic random bipolymers as demulsifiers for heavy crude oils,"Fuentes, Jessica V.; Zamora, Edgar B.; Li, Zuoli; Xu, Zhenghe; Chakraborty, Anirban; Zavala, Gerardo; Vazquez, Flavio; Flores, Cesar",,,,SEPARATION AND PURIFICATION TECHNOLOGY,FEB 1 2021,2021,256,,,,,,,117850.0,10.1016/j.seppur.2020.117850,,,11,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,2,0
"Novel silicon free defoaming agents, based on alkylacrylates, for petroleum: Effect of the molecular weight on their efficiency","Cevada, E.; Hernandez, E.; Flores, C.; Zavala, G.; alvarez, F.; Vazquez, F.",,,,FUEL,OCT 15 2020,2020,278,,,,,,,118401.0,10.1016/j.fuel.2020.118401,,,11,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,1,0
Corrosion of API XL 52 steel in presence of Clostridium celerecrescens,"Ramos Monroy, O. A.; Hernandez Gayosso, M. J.; Ruiz Ordaz, N.; Zavala Olivares, G.; Juarez Ramirez, C.",,,,MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION,SEP 2011,2011,62,9.0,,,,878.0,883.0,,10.1002/maco.200905582,,,11,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,2,0,2,0,1,0,0
Triblock copolymers functionalized with quaternary ammonium salts as dehydrating agents for heavy and extra-heavy crude oils,"Zamora, Edgar B.; Vazquez, Flavio; Hernandez, Edgar I.; Alvarez, Fernando; Zavala, Gerardo; Lopez, Alfonso; Flores-Sandoval, Cesar A.",,,,JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,2018,2018,39,10.0,,,,1502.0,1509.0,,10.1080/01932691.2017.1421078,,,8,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,0,0
"Microbial consortium influence upon steel corrosion rate, using the electrochemical impedance spectroscopy techniques","Hernández-Gayosso, MJ; Zavala-Olivares, G; Ruiz-Ordaz, N; García-Esquivel, R; Mora-Mendoza, JL",,,,MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION,SEP 2004,2004,55,9.0,,,,676.0,683.0,,10.1002/maco.200303791,,,6,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Characterisation and comparison of corrosion products originated in steel pipelines transporting sour gas and crude oil,"Hernandez Gayosso, M. J.; Nava, N.; Zavala Olivares, G.",,,,CORROSION ENGINEERING SCIENCE AND TECHNOLOGY,2016,2016,51,8.0,,,,626.0,634.0,,10.1080/1478422X.2016.1173421,,,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0
