Alfredo Aguilar-Elguezabal (Author)
Timespan: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"On the wide range of mechanical properties of ZTA and ATZ based dental ceramic composites by varying the Al2O3 and ZrO2 content","Nevarez-Rascon, A.; Aguilar-Elguezabal, A.; Orrantia, E.; Bocanegra-Bernal, M. H.","","","","INTERNATIONAL JOURNAL OF REFRACTORY METALS & HARD MATERIALS","NOV 2009","2009","27","6","","","","962","970","","10.1016/j.ijrmhm.2009.06.001","","","128","7.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","3","8","7","7","5","9","9","8","16","10","16","15","5"
"Characterization and HDS activity of mesoporous MoS2 catalysts prepared by in situ activation of tetraalkylammonium thiomolybdates","Alonso, G; Berhault, G; Aguilar, A; Collins, V; Ornelas, C; Fuentes, S; Chianelli, RR","","","","JOURNAL OF CATALYSIS","JUN 10 2002","2002","208","2","","","","359","369","","10.1006/jcat.2002.3553","","","125","5.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","6","9","8","10","8","5","8","11","3","8","4","2","7","3","4","6","5","4","1","0","0"
"Study of carbon nanotubes synthesis by spray pyrolysis and model of growth","Aguilar-Elguezabal, A.; Antunez, Wilber; Alonso, Gabriel; Delgado, F. Paraguay; Espinosa, Francisco; Miki-Yoshida, M.","","","","DIAMOND AND RELATED MATERIALS","SEP 2006","2006","15","9","","","","1329","1335","","10.1016/j.diamond.2005.10.011","","","98","4.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","7","7","5","5","8","3","11","8","8","4","6","4","5","3","4","1","0"
"A comparison of the effects of multi-wall and single-wall carbon nanotube additions on the properties of zirconia toughened alumina composites","Bocanegra-Bernal, M. H.; Echeberria, J.; Ollo, J.; Garcia-Reyes, A.; Dominguez-Rios, C.; Reyes-Rojas, A.; Aguilar-Elguezabal, A.","","","","CARBON","APR 2011","2011","49","5","","","","1599","1607","","10.1016/j.carbon.2010.12.042","","","73","4.87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","9","9","6","4","5","3","5","0","6","9","4","3"
"SELECTIVE OXIDATION OF TOLUENE OVER V2O5/TIO2 CATALYSTS - EFFECT OF VANADIUM LOADING AND OF MOLYBDENUM ADDITION ON THE CATALYTIC PROPERTIES","MATRALIS, HK; PAPADOPOULOU, C; KORDULIS, C; ELGUEZABAL, AA; CORBERAN, VC","","","","APPLIED CATALYSIS A-GENERAL","JUN 8 1995","1995","126","2","","","","365","380","","10.1016/0926-860X(95)00029-1","","","66","2.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","3","2","2","3","4","1","5","3","0","4","2","2","0","2","2","1","2","2","3","3","1","4","4","3","0","0","1","0"
"Doping of TiO2 with nitrogen to modify the interval of photocatalytic activation towards visible radiation","Silveyra, R; Sáenz, LDT; Flores, WA; Martínez, VC; Elguézabal, AA","","","","CATALYSIS TODAY","OCT 30 2005","2005","107-08","","","","","602","605","","10.1016/j.cattod.2005.07.023","19th Ibero American Catalysis Symposium","2004","64","3.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","7","5","3","5","6","5","5","5","5","2","1","0","2","2","2","0","3","1","0"
"Hard and tough carbon nanotube-reinforced zirconia-toughened alumina composites prepared by spark plasma sintering","Echeberria, J.; Rodriguez, N.; Vleugels, J.; Vanmeensel, K.; Reyes-Rojas, A.; Garcia-Reyes, A.; Dominguez-Rios, C.; Aguilar-Elguezabal, A.; Bocanegra-Bernal, M. H.","","","","CARBON","FEB 2012","2012","50","2","","","","706","717","","10.1016/j.carbon.2011.09.031","","","63","4.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","5","4","4","3","6","8","7","5","6","4","1"
"Structural analysis and growing mechanisms for long SnO2 nanorods synthesized by spray pyrolysis","Paraguay-Delgado, F; Antúnez-Flores, W; Miki-Yoshida, M; Aguilar-Elguezaba, A; Santiago, P; Diaz, R; Ascencio, JA","","","","NANOTECHNOLOGY","JUN 2005","2005","16","6","","","","688","694","","10.1088/0957-4484/16/6/011","","","63","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","7","3","0","2","4","4","7","9","1","2","3","3","3","2","4","1","2","0"
"Thin films of photocatalytic TiO2 and ZnO deposited inside a tubing by spray pyrolysis","Miki-Yoshida, M; Collins-Martínez, V; Amézaga-Madrid, P; Aguilar-Elguézabal, A","","","","THIN SOLID FILMS","NOV 1 2002","2002","419","1-2","","","","60","64","PII S0040-6090(02)00786-1","10.1016/S0040-6090(02)00786-1","","","62","2.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","2","4","4","4","11","6","5","3","2","3","3","4","2","2","1","0","0","1","0","0"
"Compressive strength, hardness and fracture toughness of Al2O3 whiskers reinforced ZTA and ATZ nanocomposites: Weibull analysis","Nevarez-Rascon, A.; Aguilar-Elguezabal, A.; Orrantia, E.; Bocanegra-Bernal, M. H.","","","","INTERNATIONAL JOURNAL OF REFRACTORY METALS & HARD MATERIALS","MAY 2011","2011","29","3","","","","333","340","","10.1016/j.ijrmhm.2010.12.008","","","60","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","4","4","3","10","6","0","4","8","6","4","5","3"
