alvarez-Contreras, Lorena (Author)
Timespan: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Development of Pd and Pd-Co catalysts supported on multi-walled carbon nanotubes for formic acid oxidation","Morales-Acosta, D.; Ledesma-Garcia, J.; Godinez, Luis A.; Rodriguez, H. G.; Alvarez-Contreras, L.; Arriaga, L. G.","","","","JOURNAL OF POWER SOURCES","JAN 15 2010","2010","195","2","","","","461","465","","10.1016/j.jpowsour.2009.08.014","","","142","8.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","11","21","18","7","13","16","9","4","8","7","5","6","8","3","0"
"Electrocatalytic evaluation of Co3O4 and NiCo2O4 rosettes-like hierarchical spinel as bifunctional materials for oxygen evolution (OER) and reduction (ORR) reactions in alkaline media","Bejar, Jose; Alvarez-Contreras, Lorena; Ledesma-Garcia, J.; Arjona, Noe; Arriaga, L. G.","","","","JOURNAL OF ELECTROANALYTICAL CHEMISTRY","AUG 15 2019","2019","847","","","","","","","113190","10.1016/j.jelechem.2019.113190","","","94","13.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","25","17","20","14","6"
"Tissue response to polypropylene meshes used in the repair of abdominal wall defects","Bellón, JM; Contreras, LA; Buján, J; Palomares, D; Carrera-San Martin, A","","","","BIOMATERIALS","APR-MAY 1998","1998","19","7-9","","","","669","675","","10.1016/S0142-9612(97)00162-2","","","78","2.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","2","5","5","5","9","4","2","5","2","5","3","5","0","2","4","2","2","3","2","1","2","3","0"
"Comparative study of MoS2 and Co/MoS2 catalysts prepared by ex situ in situ activation of ammonium and tetraalkylammonium thiomolybdates","Alvarez, L; Espino, J; Ornelas, C; Rico, JL; Cortez, MT; Berhault, G; Alonso, G","","","","JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL","MAR 1 2004","2004","210","1-2","","","","105","117","","10.1016/j.molcata.2003.09.002","","","74","3.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","9","4","6","2","4","7","5","4","5","4","1","5","3","2","1","3","5","0","0","0"
"An advanced three-dimensionally ordered macroporous NiCo2O4 spinel as a bifunctional electrocatalyst for rechargeable Zn-air batteries","Bejar, Jose; Alvarez-Contreras, Lorena; Ledesma-Garcia, Janet; Arjona, Noe; Gerardo Arriaga, Luis","","","","JOURNAL OF MATERIALS CHEMISTRY A","MAY 7 2020","2020","8","17","","","","8554","8565","","10.1039/d0ta00874e","","","56","9.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","22","9","7","4"
"Development of Pt and Pt-Fe catalysts supported on multiwalled carbon nanotubes for oxygen reduction in direct methanol fuel cells","Baglio, V.; Di Blasi, A.; D'Urso, C.; Antonucci, V.; Arico, A. S.; Ornelas, R.; Morales-Acosta, D.; Ledesma-Garcia, J.; Godinez, L. A.; Arriaga, L. G.; Alvarez-Contreras, L.","","","","JOURNAL OF THE ELECTROCHEMICAL SOCIETY","2008","2008","155","8","","","","B829","B833","","10.1149/1.2938368","","","51","2.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","5","8","4","3","2","5","1","1","4","2","0","2","1","1","0"
"PdCo supported on multiwalled carbon nanotubes as an anode catalyst in a microfluidic formic acid fuel cell","Morales-Acosta, D.; Morales-Acosta, M. D.; Godinez, L. A.; Alvarez-Contreras, L.; Duron-Torres, S. M.; Ledesma-Garcia, J.; Arriaga, L. G.","","","","JOURNAL OF POWER SOURCES","NOV 15 2011","2011","196","22","","","","9270","9275","","10.1016/j.jpowsour.2011.07.064","","","50","3.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","9","5","7","4","2","1","1","7","2","3","1","1"
"Three-Dimensional-Order Macroporous AB2O4 Spinets (A, B =Co and Mn) as Electrodes in Zn-Air Batteries","Bejar, Jose; Espinosa-Magana, Francisco; Guerra-Balcazar, Minerva; Ledesma-Garcia, Janet; Alvarez-Contreras, Lorena; Arjona, Noe; Gerardo Arriaga, Luis","","","","ACS APPLIED MATERIALS & INTERFACES","DEC 2 2020","2020","12","48","","","","53760","53773","","10.1021/acsami.0c14920","","","48","8.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","8","13","12","3"
"Effect of sulfidation on Mo-W-Ni trimetallic catalysts in the HDS of DBT","Gochi, Y; Ornelas, C; Paraguay, E; Fuentes, S; Alvarez, L; Rico, JL; Alonso-Núñez, G","","","","CATALYSIS TODAY","OCT 30 2005","2005","107-08","","","","","531","536","","10.1016/j.cattod.2005.07.068","19th Ibero American Catalysis Symposium","2004","46","2.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","1","2","1","4","5","4","5","3","0","6","3","1","4","1","1","0"
"Glycerol electro-oxidation in alkaline media using Pt and Pd catalysts electrodeposited on three-dimensional porous carbon electrodes","Arjona, N.; Rivas, S.; Alvarez-Contreras, L.; Guerra-Balcazar, M.; Ledesma-Garcia, J.; Kjeang, Erik; Arriaga, L. G.","","","","NEW JOURNAL OF CHEMISTRY","FEB 21 2017","2017","41","4","","","","1854","1863","","10.1039/c6nj03739a","","","45","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","6","13","3","6","4","2","1"
"Copper-palladium core-shell as an anode in a multi-fuel membraneless nanofluidic fuel cell: toward a new era of small energy conversion devices","Maya-Cornejo, J.; Ortiz-Ortega, E.; Alvarez-Contreras, L.; Arjona, N.; Guerra-Balcazar, M.; Ledesma-Garcia, J.; Arriaga, L. G.","","","","CHEMICAL COMMUNICATIONS","2015","2015","51","13","","","","2536","2539","","10.1039/c4cc08529a","","","44","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","7","6","7","6","7","2","1","1","0"
