Jose Angel Alvarez Perez (Author)
Timespan: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"World Squid Fisheries","Arkhipkin, Alexander I.; Rodhouse, Paul G. K.; Pierce, Graham J.; Sauer, Warwick; Sakai, Mitsuo; Allcock, Louise; Arguelles, Juan; Bower, John R.; Castillo, Gladis; Ceriola, Luca; Chen, Chih-Shin; Chen, Xinjun; Diaz-Santana, Mariana; Downey, Nicola; Gonzalez, Angel F.; Granados Amores, Jasmin; Green, Corey P.; Guerra, Angel; Hendrickson, Lisa C.; Ibanez, Christian; Ito, Kingo; Jereb, Patrizia; Kato, Yoshiki; Katugin, Oleg N.; Kawano, Mitsuhisa; Kidokoro, Hideaki; Kulik, Vladimir V.; Laptikhovsky, Vladimir V.; Lipinski, Marek R.; Liu, Bilin; Mariategui, Luis; Marin, Wilbert; Medina, Ana; Miki, Katsuhiro; Miyahara, Kazutaka; Moltschaniwskyj, Natalie; Moustahfid, Hassan; Nabhitabhata, Jaruwat; Nanjo, Nobuaki; Nigmatullin, Chingis M.; Ohtani, Tetsuya; Pecl, Gretta; Perez, J. Angel A.; Piatkowski, Uwe; Saikliang, Pirochana; Salinas-Zavala, Cesar A.; Steer, Michael; Tian, Yongjun; Ueta, Yukio; Vijai, Dharmamony; Wakabayashi, Toshie; Yamaguchi, Tadanori; Yamashiro, Carmen; Yamashita, Norio; Zeidberg, Louis D.","","","","REVIEWS IN FISHERIES SCIENCE & AQUACULTURE","2015","2015","23","2","","","SI","92","252","","10.1080/23308249.2015.1026226","","","248","22.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","16","20","27","25","36","28","37","37","10"
"A global biogeographic classification of the mesopelagic zone","Sutton, Tracey T.; Clark, Malcolm R.; Dunn, Daniel C.; Halpin, Patrick N.; Rogers, Alex D.; Guinotte, John; Bograd, Steven J.; Angel, Martin V.; Perez, Jose Angel A.; Wishner, Karen; Haedrich, Richard L.; Lindsay, Dhugal J.; Drazen, Jeffrey C.; Vereshchaka, Alexander; Piatkowski, Uwe; Morato, Telmo; Blachowiak-Samolyk, Katarzyna; Robison, Bruce H.; Gjerde, Kristina M.; Pierrot-Bults, Annelies; Bernal, Patricio; Reygondeau, Gabriel; Heino, Mikko","","","","DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS","AUG 2017","2017","126","","","","","85","102","","10.1016/j.dsr.2017.05.006","","","211","23.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16","20","31","33","29","37","35","9"
"Elevated cardiac troponin is an independent risk factor for short- and long-term mortality in medical intensive care unit patients","Babuin, Luciano; Vasile, Vlad C.; Perez, Jose A. Rio; Alegria, Jorge R.; Chai, High-Seng; Afessa, Bekele; Jaffe, Allan S.","","","","CRITICAL CARE MEDICINE","MAR 2008","2008","36","3","","","","759","765","","10.1097/CCM.0B013E318164E2E4","","","116","6.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","6","10","14","7","8","4","9","6","5","8","9","3","5","6","6","1"
"The Study of Deep-Sea Cephalopods","Hoving, Henk-Jan T.; Perez, Jose Angel A.; Bolstad, Kathrin S. R.; Braid, Heather E.; Evans, Aaron B.; Fuchs, Dirk; Judkins, Heather; Kelly, Jesse T.; Marian, Jose E. A. R.; Nakajima, Ryuta; Piatkowski, Uwe; Reid, Amanda; Vecchione, Michael; Xavier, Jose C. C.","","","Vidal, EAG","ADVANCES IN CEPHALOPOD SCIENCE: BIOLOGY, ECOLOGY, CULTIVATION AND FISHERIES","2014","2014","67","","","","","235","359","","10.1016/B978-0-12-800287-2.00003-2","","","97","8.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","11","9","8","13","18","7","10","9","3"
"A strategy for the conservation of biodiversity on mid-ocean ridges from deep-sea mining","Dunn, Daniel C.; Van Dover, Cindy L.; Etter, Ron J.; Smith, Craig R.; Levin, Lisa A.; Morato, Telmo; Colaco, Ana; Dale, Andrew C.; Gebruk, Andrey V.; Gjerde, Kristina M.; Halpin, Patrick N.; Howell, Kerry L.; Johnson, David; Perez, Jose Angel A.; Ribeiro, Marta Chantal; Stuckas, Heiko; Weaver, Philip","SEMPIA Workshop Participants","","","SCIENCE ADVANCES","JUL 2018","2018","4","7","","","","","","eaar4313","10.1126/sciadv.aar4313","","","83","10.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","22","13","13","17","3","12","1"
"Microscopic images of intraspheroidal pH by <SUP>1</SUP>H magnetic resonance chemical shift imaging of pH sensitive indicators","Alvarez-Pérez, J; Ballesteros, P; Cerdán, S","","","","MAGNETIC RESONANCE MATERIALS IN PHYSICS BIOLOGY AND MEDICINE","DEC 2005","2005","18","6","","","","293","301","","10.1007/s10334-005-0013-z","","","65","3.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","3","2","1","1","0","2","2","5","6","5","8","6","7","6","3","2"
"Deep-sea whale fall fauna from the Atlantic resembles that of the Pacific Ocean","Sumida, Paulo Y. G.; Alfaro-Lucas, Joan M.; Shimabukuro, Mauricio; Kitazato, Hiroshi; Perez, Jose A. A.; Soares-Gomes, Abilio; Toyofuku, Takashi; Lima, Andre O. S.; Ara, Koichi; Fujiwara, Yoshihiro","","","","SCIENTIFIC REPORTS","FEB 24 2016","2016","6","","","","","","","22139","10.1038/srep22139","","","61","6.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","7","8","8","3","6","9","9","2"
"Deep-water fisheries in Brazil: history, status and perspectives","Alvarez Perez, Jose Angel; Pezzuto, Paulo Ricardo; Wahrlich, Robeto; de Souza Soares, Ana Luisa","","","","LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH","2009","2009","37","3","","","","513","541","","10.3856/vol37-issue3-fulltext-18","","","59","3.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","2","5","5","3","12","1","3","3","3","3","1","6","5","2"
"COASTAL CEPHALOPOD FAUNA OF SOUTHERN BRAZIL","HAIMOVICI, M; PEREZ, JAA","","","","BULLETIN OF MARINE SCIENCE","SEP 1991","1991","49","1-2","","","","221","230","","","GILBERT L VOSS INTERNATIONAL SYMP AT THE 1990 ANNUAL MEETING OF THE AMERICAN MALACOLOGICAL UNION","JUN 03-07, 1990","57","1.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","2","0","0","1","3","0","2","3","1","2","1","0","3","1","2","1","2","2","2","0","4","8","4","2","0","1","4","0"
"A bycatch assessment of the gillnet monkfish Lophius gastrophysus fishery off southern Brazil","Perez, JAA; Wahrlich, R","","","","FISHERIES RESEARCH","APR 2005","2005","72","1","","","","81","95","","10.1016/j.fishres.2004.10.011","","","56","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","3","4","2","2","3","3","3","3","7","1","2","0","0","6","1","8","5","0"
"Biology and population dynamics of the long-finned squid Loligo plei (Cephalopoda: Loliginidae) in southern Brazilian waters","Perez, JAA; de Aguiar, DC; Oliveira, UC","","","","FISHERIES RESEARCH","NOV 30 2002","2002","58","3","","","","267","279","PII S0165-7836(01)00397-6","10.1016/S0165-7836(01)00397-6","","","49","2.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","0","4","0","2","2","2","2","0","3","4","2","4","2","2","1","3","1"
"Long-term prognostic significance of elevated cardiac troponin levels in critically ill patients with acute gastrointestinal bleeding","Vasile, Vlad C.; Babuin, Luciano; Perez, Jose A. Rio; Alegria, Jorge R.; Song, Louis M. Wong Kee; Chai, High-Seng; Afessa, Bekele; Jaffe, Allan S.","","","","CRITICAL CARE MEDICINE","JAN 2009","2009","37","1","","","","140","147","","10.1097/CCM.0b013e318192faa3","","","41","2.41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","6","1","4","5","3","3","7","0","0","1","2","1","0","1","0"
