Canton, Eric Campos (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Association between levels of fine particulate and emergency visits for pneumonia and other respiratory illnesses among children in Santiago, Chile","Ilabaca, M; Olaeta, I; Campos, E; Villaire, J; Tellez-Rojo, MM; Romieu, I","","","","JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION","SEP 1999","1999","49","","","","SI","154","163","","10.1080/10473289.1999.10463879","Air-and-Waste-Management-Assoication International Specialty Conference on PM25 - A Fine Particle Standard (A&WMA)","JAN 28-30, 1998","82","3.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","5","1","6","2","3","7","3","5","2","1","4","1","4","3","6","5","2","4","4","5","3","1","1","0"
"Multiscroll attractors by switching systems","Campos-Canton, E.; Barajas-Ramirez, J. G.; Solis-Perales, G.; Femat, R.","","","","CHAOS","MAR 2010","2010","20","1","","","","","","013116","10.1063/1.3314278","","","70","4.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","4","4","4","7","7","3","10","7","4","6","4","1"
"Changes in peripheral blood leukocyte populations in pigs with natural postweaning multisystemic wasting syndrome (PMWS)","Segalés, J; Alonso, F; Rosell, C; Pastor, J; Chianini, F; Campos, E; López-Fuertes, L; Quintana, J; Rodríguez-Arrioja, G; Calsamiglia, M; Pujols, J; Domínguez, J; Domingo, M","","","","VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY","AUG 30 2001","2001","81","1-2","","","","37","44","","10.1016/S0165-2427(01)00326-9","","","67","2.68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","10","5","3","5","5","5","2","4","2","5","3","5","1","1","2","1","1","1","0","1","1","0","0"
"Generation of Dynamical S-Boxes for Block Ciphers via Extended Logistic Map","Cassal-Quiroga, B. B.; Campos-Canton, E.","","","","MATHEMATICAL PROBLEMS IN ENGINEERING","MAR 19 2020","2020","2020","","","","","","","2702653","10.1155/2020/2702653","","","66","11.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","16","15","18","9","4"
"Hyperchaotic encryption based on multi-scroll piecewise linear systems","Garcia-Martinez, M.; Ontanon-Garcia, L. J.; Campos-Canton, E.; Celikovsky, S.","","","","APPLIED MATHEMATICS AND COMPUTATION","NOV 1 2015","2015","270","","","","","413","424","","10.1016/j.amc.2015.08.037","","","55","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","5","5","6","11","6","7","4","1"
"Is comprehensive education really free?: a case-study of the effects of secondary school admissions policies on house prices in one local area","Leech, D; Campos, E","","","","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","2003","2003","166","","1","","","135","154","","10.1111/1467-985X.00263","","","55","2.39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","4","6","2","3","4","2","4","3","1","0","4","4","2","1","3","2","3","1","0"
"Pseudo-random bit generator based on multi-modal maps","Garcia-Martinez, M.; Campos-Canton, E.","","","","NONLINEAR DYNAMICS","DEC 2015","2015","82","4","","","","2119","2131","","10.1007/s11071-015-2303-y","","","50","4.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","9","3","10","4","9","4","1"
"Attractors generated from switching unstable dissipative systems","Campos-Canton, Eric; Femat, Ricardo; Chen, Guanrong","","","","CHAOS","SEP 2012","2012","22","3","","","","","","033121","10.1063/1.4742338","","","46","3.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","3","4","6","5","3","6","3","2","3","3","1"
"Blood constituents of the newborn Nelore cattle (Bos indicus), Holstein cattle (Bos taurus), and Murrah buffalo (Bubalus bubalis)","Fagliari, JJ; Santana, AE; Lucas, FA; Campos, E; Curi, PR","","","","ARQUIVO BRASILEIRO DE MEDICINA VETERINARIA E ZOOTECNIA","JUN 1998","1998","50","3","","","","253","262","","","","","46","1.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","2","0","1","0","7","2","2","0","5","0","6","3","0","2","1","2","7","2"
"Chaos generation in fractional-order switched systems and its digital implementation","Zambrano-Serrano, E.; Munoz-Pacheco, J. M.; Campos-Canton, E.","","","","AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS","2017","2017","79","","","","","43","52","","10.1016/j.aeue.2017.05.032","","","44","4.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","7","13","6","4","6","2","2"
