Cortes-Jacome, Maria A. (Author)
Timespan: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"TiO2 thin films - Influence of annealing temperature on structural, optical and photocatalytic properties","Mathews, N. R.; Morales, Erik R.; Cortes-Jacome, M. A.; Antonio, J. A. Toledo","","","","SOLAR ENERGY","SEP 2009","2009","83","9","","","","1499","1508","","10.1016/j.solener.2009.04.008","","","291","17.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","20","14","22","32","19","29","21","25","18","17","18","17","19","3"
"Antibacterial activity of montmorillonites modified with silver","Magana, S. M.; Quintana, P.; Aguilar, D. H.; Toledo, J. A.; Angeles-Chavez, C.; Cortes, M. A.; Leon, L.; Freile-Pelegrin, Y.; Lopez, T.; Torres Sanchez, R. M.","","","","JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL","FEB 18 2008","2008","281","1-2","","","SI","192","199","","10.1016/j.molcata.2007.10.024","4th San Luis Symposium on Surfaces, Interfaces and Catalysis","APR 14-23, 2007","239","13.28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","13","17","14","25","23","16","14","21","16","8","22","15","9","10","8","0"
"Synthesis of pyrite FeS2 nanorods by simple hydrothermal method and its photocatalytic activity","Morales-Gallardo, M. V.; Ayala, A. M.; Pal, Mou; Cortes Jacome, M. A.; Toledo Antonio, J. A.; Mathews, N. R.","","","","CHEMICAL PHYSICS LETTERS","SEP 1 2016","2016","660","","","","","93","98","","10.1016/j.cplett.2016.07.046","","","118","11.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","7","11","20","22","11","15","22","5"
"Tin Sulfide Thin Films by Pulse Electrodeposition: Structural, Morphological, and Optical Properties","Mathews, N. R.; Anaya, Hiran B. M.; Cortes-Jacome, M. A.; Angeles-Chavez, C.; Toledo-Antonio, J. A.","","","","JOURNAL OF THE ELECTROCHEMICAL SOCIETY","2010","2010","157","3","","","","H337","H341","","10.1149/1.3289318","","","117","7.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","7","10","6","10","20","13","8","15","7","3","4","2","6","0"
"Ni/Ce-MCM-41 mesostructured catalysts for simultaneous production of hydrogen and nanocarbon via methane decomposition","Guevara, J. C.; Wang, J. A.; Chen, L. F.; Valenzuela, M. A.; Salas, P.; Garcia-Ruiz, A.; Toledo, J. A.; Cortes-Jacome, M. A.; Angeles-Chavez, C.; Novaro, O.","","","","INTERNATIONAL JOURNAL OF HYDROGEN ENERGY","APR 2010","2010","35","8","","","","3509","3521","","10.1016/j.ijhydene.2010.01.068","","","101","6.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","6","7","8","5","10","10","5","5","6","10","6","7","6","1"
"Migration and oxidation of tungsten species at the origin of acidity and catalytic activity on WO3-ZrO2 catalysts","Cortes-Jacome, M. A.; Angeles-Chavez, C.; Lopez-Salinas, E.; Navarrete, J.; Toribio, P.; Toledo, J. A.","","","","APPLIED CATALYSIS A-GENERAL","FEB 20 2007","2007","318","","","","","178","189","","10.1016/j.apcata.2006.11.019","","","100","5.26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","5","2","6","12","8","4","5","9","8","6","6","6","5","7","4","2","1"
"Comprehending the Thermal Decomposition and Reconstruction Process of Sol-Gel MgAl Layered Double Hydroxides","Valente, Jaime S.; Lima, Enrique; Toledo-Antonio, Jose A.; Cortes-Jacome, Maria A.; Lartundo-Rojas, Luis; Montiel, Ramon; Prince, Julia","","","","JOURNAL OF PHYSICAL CHEMISTRY C","FEB 11 2010","2010","114","5","","","","2089","2099","","10.1021/jp910538r","","","89","5.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","4","6","7","8","4","3","2","5","5","7","8","8","12","2"
"In situ thermo-Raman study of titanium oxide nanotubes","Cortes-Jacome, M. A.; Ferrat-Torres, G.; Ortiz, L. F. Flores; Angeles-Chavez, C.; Lopez-Salinas, E.; Escobar, J.; Mosqueira, M. L.; Toledo-Antonio, J. A.","","","","CATALYSIS TODAY","AUG 15 2007","2007","126","1-2","","","","248","255","","10.1016/j.cattod.2007.02.012","2nd International Congress on Operando Spectroscopy","APR 23-27, 2006","85","4.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","9","12","4","4","6","6","5","2","4","3","5","11","3","1","3","3","0"
"WOx/TiO2 catalysts via titania nanotubes for the oxidation of dibenzothiophene","Cortes-Jacome, M. A.; Chavez, C. Angeles; Ramirez-Verduzco, L. F.; Lopez-Salinas, E.; Toledo-Antonio, J. A.","","","","CHEMISTRY OF MATERIALS","DEC 25 2007","2007","19","26","","","","6605","6614","","10.1021/cm702010k","","","62","3.26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","9","5","4","4","5","4","5","3","3","2","2","3","1","1","1","1"
"Low-temperature FTIR study of CO adsorption on titania nanotubes","Toledo-Antonio, Jose A.; Capula, Selene; Cortes-Jacome, M. Antonia; Angeles-Chavez, Carlos; Lopez-Salinas, Esteban; Ferrat, Gerardo; Navarrete, Juan; Escobar, Jose","","","","JOURNAL OF PHYSICAL CHEMISTRY C","JUL 26 2007","2007","111","29","","","","10799","10805","","10.1021/jp0717443","","","60","3.16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","6","10","4","3","4","5","5","5","2","2","3","3","2","1","0","0","1"
