De la Cruz-Cordero, Ricardo (Author)
Timespan: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"4-Hydroxyisoleucine from Fenugreek (Trigonella foenum-graecum): Effects on Insulin Resistance Associated with Obesity","Avalos-Soriano, Anaguiven; De la Cruz-Cordero, Ricardo; Rosado, Jorge L.; Garcia-Gasca, Teresa","","","","MOLECULES","NOV 2016","2016","21","11","","","","","","1596","10.3390/molecules21111596","","","50","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","7","2","9","4","10","6","7","2"
"Preparation of (R)- and (S)-γ-amino-β-hydroxypropylphosphonic acid from glycine","Ordóñez, M; González-Morales, A; Ruiz, C; De la Cruz-Cordero, R; Fernández-Zertuche, M","","","","TETRAHEDRON-ASYMMETRY","JUL 4 2003","2003","14","13","","","","1775","1779","","10.1016/S0957-4166(03)00371-9","","","31","1.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","4","5","0","2","3","1","1","0","4","0","0","0","0","0","0","2","0","0","1","0"
"Diastereoselective reduction of dimethyl γ-[(N-p-toluenesulfonyl)amino]-β-ketophosphonates derived from amino acids","Ordóñez, M; De la Cruz-Cordero, R; Fernández-Zertuche, M; Muñoz-Hernández, MA; García-Barradas, O","","","","TETRAHEDRON-ASYMMETRY","OCT 4 2004","2004","15","19","","","","3035","3043","","10.1016/j.tetasy.2004.08.012","","","22","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","3","2","4","1","1","0","1","1","0","1","0","0","1","0","0","1","0","0"
"Highly diastereoselective synthesis of anti-γ-N-benzylamino-β-hydroxyphosphonates","Ordóñez, M; de la Cruz-Cordero, R; Quiñónes, C; González-Morales, A","","","","CHEMICAL COMMUNICATIONS","MAR 21 2004","2004","","6","","","","672","673","","10.1039/b316262a","","","15","0.68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","2","1","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Behavioral and chemical analysis of venom gland secretion of queens of the ant Solenopsis geminata","Cruz-López, L; Rojas, JC; De la Cruz-Cordero, R; Morgan, ED","","","","JOURNAL OF CHEMICAL ECOLOGY","DEC 2001","2001","27","12","","","","2437","2445","","10.1023/A:1013671330253","","","15","0.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","2","0","1","2","0","2","1","0","1","0","2"
"Effect of protamine in obesity induced by high-fat diets in rats","Duarte-Vazquez, M. A.; Garcia-Padilla, S.; Olvera-Ochoa, L.; Gonzalez-Romero, K. E.; Acosta-Iniguez, J.; De la Cruz-Cordero, R.; Rosado, J. L.","","","","INTERNATIONAL JOURNAL OF OBESITY","JUN 2009","2009","33","6","","","","687","692","","10.1038/ijo.2009.78","","","10","0.59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","1","1","0","0","0","1","1","0","1","1","0"
"Preparation of phosphostatine and phosphoepistatine from L-leucine via high diastereoselective reduction of 3-amino-2-ketophosphonates","De la Cruz-Cordero, R; Hernándes-Núñez, E; Fernández-Zertuche, M; Muñoz-Hernández, MA; Ordóñez, M","","","","ARKIVOC","2005","2005","","","6","","","277","286","","10.3998/ark.5550190.0006.623","","","7","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pharmacological Evaluation of a β-Hydroxyphosphonate Analogue of L-Carnitine in Obese Zucker fa/fa Rats","Reyes-Esparza, Jorge; Mendoza-Rivera, Brissa; De la Cruz-Cordero, Ricardo; Rosado, Jorge L.; Duarte-Vazquez, Miguel A.; Solis, Mario G.; Vite-Vallejo, Odon; Rodriguez-Fragoso, Lourdes","","","","BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY","APR 2013","2013","112","4","","","","222","228","","10.1111/bcpt.12019","","","6","0.46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","2","1","0","0"
"Efficacy and Safety of Two Analogs of L-Carnitine on Rats Made Insulin Resistant by a High-Fructose Diet","Gomez-Solis, Antonieta; De la Cruz-Cordero, Ricardo; Avalos-Soriano, Anaguiven; Angel Duarte-Vazquez, Miguel; Reyes-Esparza, Jorge; Rodriguez-Fragoso, Lourdes","","","","PHARMACOLOGY","2011","2011","88","1-2","","","","10","17","","10.1159/000328772","","","5","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","1","0","0"
"Effect of a β-Hydroxyphosphonate Analogue of L-Carnitine on Insulin-Sensitive and Insulin-Resistant 3T3-L1 Adipocytes","Avalos-Soriano, Anaguiven; De la Cruz-Cordero, Ricardo; Josue Lopez-Martinez, Francisco; Rosado, Jorge L.; Angel Duarte-Vazquez, Miguel; Garcia-Gasca, Teresa","","","","PHARMACOLOGY","2015","2015","96","3-4","","","","99","106","","10.1159/000430919","","","3","0.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0"
