JesÃºs GarcÃ­a-DÃ­az (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Antioxidants in Plants: A Valorization Potential Emphasizing the Need for the Conservation of Plant Biodiversity in Cuba","Llaurado Maury, Gabriel; Mendez Rodriguez, Daniel; Hendrix, Sophie; Escalona Arranz, Julio Cesar; Fung Boix, Yilan; Pacheco, Ania Ochoa; Garcia Diaz, Jesus; Morris-Quevedo, Humberto J.; Ferrer Dubois, Albys; Aleman, Elizabeth Isaac; Beenaerts, Natalie; Mendez-Santos, Isidro E.; Orbera Raton, Teresa; Cos, Paul; Cuypers, Ann","","","","ANTIOXIDANTS","NOV 2020","2020","9","11","","","","","","1048","10.3390/antiox9111048","","","54","9.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","10","18","17","6"
"Antimicrobial activity of leaf extracts and isolated constituents of Croton linearis","Garcia Diaz, Jesus; Tuenter, Emmy; Escalona Arranz, Julio Cesar; Llaurado Maury, Gabriel; Cos, Paul; Pieters, Luc","","","","JOURNAL OF ETHNOPHARMACOLOGY","MAY 23 2019","2019","236","","","","","250","257","","10.1016/j.jep.2019.01.049","","","29","4.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","4","5","4","5","2"
"Development, larvicide activity, and toxicity in nontarget species of the Croton linearis Jacq essential oil nanoemulsion","Rodriguez Amado, Jesus Rafael; Lafourcade Prada, Ariadna; Garcia Diaz, Jesus; Picanco Souto, Raimundo Nonato; Escalona Arranz, Julio Cesar; de Souza, Tatiane Pereira","","","","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","MAR 2020","2020","27","9","","","SI","9410","9423","","10.1007/s11356-020-07608-8","","","25","4.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","5","6","6","1","0"
"Antileishmanial Potentialities of Croton linearis Leaf Essential Oil","Garcia Diaz, Jesus; Escalona Arranz, Julio Cesar; Jaen Batista, Denise da Gama; Monzote Fidalgo, Lianet; de la Vega Acosta, Jorge; Bidar de Macedo, Maira; Cos, Paul","","","","NATURAL PRODUCT COMMUNICATIONS","MAY 2018","2018","13","5","","","","629","634","","","","","14","1.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","6","2","0","0"
"An ethnobotanical survey of medicinal plants used by inhabitants of Holguin, Eastern Region, Cuba","Heredia-Diaz, Yamile; Garcia-Diaz, Jesus; Lopez-Gonzalez, Tania; Chil-Nunez, Idelsys; Arias-Ramos, Daily; Escalona-Arranz, Julio C.; Gonzalez-Fernandez, Rosalia; Costa-Acosta, Jainer; Suarez-Cruz, Dianelis; Sanchez-Torres, Miguel; Martinez-Figueredo, Yaquelin","","","","BOLETIN LATINOAMERICANO Y DEL CARIBE DE PLANTAS MEDICINALES Y AROMATICAS","MAR 2018","2018","17","2","","","","160","196","","","","","12","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","2","2","1","0"
"Effect of Tamarindus indica L. leaves' fluid extract on human blood cells","Escalona-Arranz, J. C.; Garcia-Diaz, J.; Perez-Roses, R.; De la Vega, J.; Rodriguez-Amado, J.; Morris-Quevedo, H. J.","","","","NATURAL PRODUCT RESEARCH","2014","2014","28","18","","","","1485","1488","","10.1080/14786419.2014.911296","","","8","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","3","1","1","0","0","0"
"Trypanocidal potentialities of skimmianine an alkaloid isolated from Zanthoxylum pistaciifolium griseb leaves","Diaz, Yamile Heredia; Escalona Arranz, Julio Cesar; Fernandez, Rosalia Gonzalez; Pacheco, Ania Ochoa; Diaz, Jesus Garcia; Fidalgo, Lianet Monzote; Batista, Denise da Gama Jaen; da Silva, Cristiane Franca; Cos, Paul","","","","PHARMACOGNOSY RESEARCH","JUL-SEP 2020","2020","12","3","","","","322","327","","10.4103/pr.pr_44_19","","","6","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","1","0"
"Inhibitory Effect on Nitric Oxide Release in LPS-Stimulated Macrophages and Free Radical Scavenging Activity of Croton Linearis Jacq. Leaves","Garcia Diaz, Jesus; Gonzalez Fernandez, Rosalia; Escalona Arranz, Julio Cesar; Llaurado Maury, Gabriel; Mendez Rodriguez, Daniel; De Vooght, Linda; Molina, Enrique; Tuenter, Emmy; Pieters, Luc; Cos, Paul","","","","ANTIOXIDANTS","OCT 2022","2022","11","10","","","","","","1915","10.3390/antiox11101915","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1"
"Antiplasmodial activity of alkaloids from Croton linearis leaves","Garcia Diaz, Jesus; Tuenter, Emmy; Escalona Arranz, Julio Cesar; Maury, Gabriel Llaurado; Cos, Paul; Pieters, Luc","","","","EXPERIMENTAL PARASITOLOGY","MAY-JUN 2022","2022","236","","","","","","","108254","10.1016/j.exppara.2022.108254","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","0"
"Chemical Composition and In Vitro and In Silico Antileishmanial Evaluation of the Essential Oil from Croton linearis Jacq. Stems","Garcia-Diaz, Jesus; Cesar Escalona-Arranz, Julio; Ochoa-Pacheco, Ania; Dos Santos, Socrates Golzio; Gonzalez-Fernandez, Rosalia; Alberto Rojas-Vargas, Julio; Monzote, Lianet; Setzer, William N.","","","","ANTIBIOTICS-BASEL","DEC 2022","2022","11","12","","","","","","1712","10.3390/antibiotics11121712","","","4","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0"
