Garcia-Feria, Luis (Author)
Timespan: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"In and out of Mesoamerica: temporal divergence of Amazilia hummingbirds pre-dates the orthodox account of the completion of the Isthmus of Panama","Francisco Ornelas, Juan; Gonzalez, Clementina; Espinosa de los Monteros, Alejandro; Rodriguez-Gomez, Flor; Garcia-Feria, Luis M.","","","","JOURNAL OF BIOGEOGRAPHY","JAN 2014","2014","41","1","","","","168","181","","10.1111/jbi.12184","","","28","2.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","4","3","4","2","2","3","2","4","0","0"
"Contrasting time-based and weight-based estimates of protein and energy intake of black howler monkeys (Alouatta pigra)","Aristizabal, John F.; Rothman, Jessica M.; Garcia-Feria, Luis M.; Carlos Serio-Silva, Juan","","","","AMERICAN JOURNAL OF PRIMATOLOGY","APR 2017","2017","79","4","","","SI","","","e22611","10.1002/ajp.22611","","","20","2.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","4","2","2","4","2","3","0"
"Biochemical and hematological evaluations of black howler monkeys (Alouatta pigra) in highly degraded landscapes in Mexico","Garcia-Feria, Luis M.; Chapman, Colin A.; Pastor-Nieto, Rosalia; Carlos Serio-Silva, Juan","","","","JOURNAL OF MEDICAL PRIMATOLOGY","DEC 2017","2017","46","6","","","","304","310","","10.1111/jmp.12286","","","15","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","3","2","1","2"
"Cascading impacts of anthropogenically driven habitat loss: deforestation, flooding, and possible lead poisoning in howler monkeys (Alouatta pigra)","Carlos Serio-Silva, Juan; Olguin, Eugenia J.; Garcia-Feria, Luis; Tapia-Fierro, Karla; Chapman, Colin A.","","","","PRIMATES","JAN 2015","2015","56","1","","","","29","35","","10.1007/s10329-014-0445-z","","","11","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","0","0","3","2","1","0"
"Combining morphological and molecular data to reconstruct the phylogeny of avian Haemosporida","Hernandez-Lara, Carolina; Espinosa de los Monteros, Alejandro; Napoleon Ibarra-Cerdena, Carlos; Garcia-Feria, Luis; Santiago-Alarcon, Diego","","","","INTERNATIONAL JOURNAL FOR PARASITOLOGY","DEC 2018","2018","48","14","","","","1137","1148","","10.1016/j.ijpara.2018.10.002","","","8","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","1","0","0","1"
"Organochlorine Pesticides in the Ferruginous Pygmy Owl (Glaucidium brasilianum) in Chiapas, Mexico","Arrona-Rivera, Alicia E.; Enriquez, Paula L.; Garcia-Feria, Luis M.; Alvarado Orellana, Sergio; Rendon von Osten, Jaime","","","","BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","SEP 2016","2016","97","3","","","","337","345","","10.1007/s00128-016-1861-0","","","7","0.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","1","0","1","1","0"
"Noninvasive Collection of Fresh Hairs From Free-Ranging Howler Monkeys for DNA Extraction","Amendola-Pimenta, Monica; Garcia-Feria, Luis; Carlos Serio-Silva, Juan; Rico-Gray, Victor","","","","AMERICAN JOURNAL OF PRIMATOLOGY","APR 2009","2009","71","4","","","","359","363","","10.1002/ajp.20658","","","7","0.41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","2","0","0","1","0","0","0","0"
"MHC class II DRB variability in wild black howler monkeys (Alouatta pigra), an endangered New World primate","Arguello-Sanchez, L. E.; Arguello, J. R.; Garcia-Feria, L. M.; Garcia-Sepulveda, C. A.; Santiago-Alarcon, D.; Espinosa de los Monteros, A.","","","","ANIMAL BIODIVERSITY AND CONSERVATION","2018","2018","41","2","","","","389","404","","10.32800/abc.2018.41.0389","","","6","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","0","0"
"Factors affecting the selection of and displacement within core areas by female mule deer (Odocoileus hemionus) in the Chihuahuan Desert, Mexico","Adriana Perez-Solano, Luz; Garcia-Feria, Luis M.; Gallina-Tessaro, Sonia","","","","MAMMALIAN BIOLOGY","NOV 2017","2017","87","","","","","152","159","","10.1016/j.mambio.2017.08.005","","","4","0.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","1","0","0","0"
"Contribution of wildlife management units to the conservation of terrestrial mammals in southeastern Mexico","Gallina, Sonia; Contreras, Armando; Alvarez-Peredo, Carolina; Saucedo-Castillo, Eli; Garcia-Feria, Luis; Flores-Romero, Carlos; Tejeda-Cruz, Carlos; Ortega-Argueta, Alejandro; Pineda-Vazquez, Mariana","","","","MAMMALIAN BIOLOGY","FEB 2022","2022","102","1","","","","205","220","","10.1007/s42991-021-00220-4","","","1","0.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
