Garcia Lopez, Guadalupe (Author)
Timespan: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"300-GHz-band Wireless Transmission at 50 Gbit/s over 100 Meters","Nagatsuma, Tadao; Oogimoto, Kazuki; Yasuda, Yu; Fujita, Yusuke; Inubushi, Yuki; Hisatake, Shintaro; Martinez Agoues, Aitor; Crespo Lopez, Gonzalo","","","","2016 41ST INTERNATIONAL CONFERENCE ON INFRARED, MILLIMETER, AND TERAHERTZ WAVES (IRMMW-THZ)","2016","2016","","","","","","","","","","41st International Conference on Infrared, Millimeter, and Terahertz Waves (IRMMW-THz)","SEP 25-30, 2016","34","3.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4","3","2","2","7","5","6","2"
"INDUCTION OF SOMATIC MUTATIONS IN TRADESCANTIA CLONE-4430 BY 3 PHENYLENEDIAMINE ISOMERS AND THE ANTIMUTAGENIC MECHANISMS OF DIETHYLDITHIOCARBAMATE AND AMMONIUM META-VANADATE","GICHNER, T; LOPEZ, GC; WAGNER, ED; PLEWA, MJ","","","","MUTATION RESEARCH","APR 15 1994","1994","306","2","","","","165","172","","10.1016/0027-5107(94)90027-2","","","34","1.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","4","7","4","2","2","2","1","0","1","0","2","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0"
"A topological substructural molecular design approach for predicting mutagenesis end-points of α, β-unsaturated carbonyl compounds","Perez-Garrido, Alfonso; Morales Helguera, Aliuska; Caravaca Lopez, Gabriel; Cordeiro, M. Natalia D. S.; Garrido Escudero, Amalio","","","","TOXICOLOGY","JAN 31 2010","2010","268","1-2","","","","64","77","","10.1016/j.tox.2009.11.023","","","23","1.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","6","1","2","2","0","1","0","1","0","2","0","2","1","0"
"Laurinoxylon chalatenangensis sp nov from the Miocene Chalatenango Formation, El Salvador","Cevallos-Ferriz, Sergio R. S.; Ceren Lopez, Gabriel; Flores Rocha, Luis A.","","","","REVIEW OF PALAEOBOTANY AND PALYNOLOGY","OCT 2016","2016","233","","","","","186","192","","10.1016/j.revpalbo.2016.04.003","","","6","0.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","2","0"
"Photoacoustic Spectroscopy and Hyperglycemia in Experimental Type 1 Diabetes","Olvera Cano, Lilia, I; Villanueva Lopez, Guadalupe C.; Romero Mateos, Evelyn; Cruz Orea, Alfredo","","","","APPLIED SPECTROSCOPY","DEC 2021","2021","75","12","","","","1465","1474","00037028211047257","10.1177/00037028211047257","","","5","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0"
"Maria Cristina Garcia-Sancho y Alvarez-Tostado: first female neurosurgeon in Latin America","Castaneda Lopez, Gabriela; Cecilia Rodriguez de Romo, Ana","","","","SALUD MENTAL","MAR-APR 2010","2010","33","2","","","","111","121","","","","","5","0.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","1","0"
"Performance of a submerged membrane bioreactor for wastewater mimicking fish meal processing effluent","Lopez, Guadalupe; Almendariz, Francisco J.; Heran, Marc; Lesage, Geoffroy; Perez, Sergio","","","","MEMBRANE WATER TREATMENT","JUL 2018","2018","9","4","","","","263","271","","10.12989/mwt.2018.9.4.263","","","3","0.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0"
"Prolonged Computer Use by Office Workers Induces Ocular Symptoms Associated With Tear Film Alterations and Overexpression of Mucin 5 AC and Catalase","Morales, Alejandra Saavedra; Diaz, Cesar Antonio Gonzalez; Lopez, Guadalupe Cleva Villanueva; Juarez, Omar Padilla; Torres, Ana Laura Luna; Monroy, Virginia Sanchez","","","","JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE","JAN 2023","2023","65","1","","","","34","38","","10.1097/JOM.0000000000002653","","","2","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"Design and rapid fabrication of a microfluidic fraction collector","Yang, B; Lopez, GC; Rosenbloom, AJ; Lin, Q","","","","INTERNATIONAL JOURNAL OF NONLINEAR SCIENCES AND NUMERICAL SIMULATION","2002","2002","3","3-4","","","SI","267","272","","","International Conference on Micro and Nano Systems (ICMNS 2002)","AUG 11-14, 2002","1","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Evaluation methods for decellularized tissues: A focus on human amniotic membrane","Salgado Garcia, Miriam Guadalupe; Fabian Diaz, Nestor; Garcia Lopez, Guadalupe; Alvarez Maya, Ikuri; Hernandez Jimenez, Claudia; Roman Maldonado, Yvonne; Mendoza Aguayo, David Jose; Diaz Martinez, Nestor Emmanuel","","","","JOURNAL OF BIOSCIENCE AND BIOENGINEERING","FEB 2025","2025","139","2","","","","85","94","","10.1016/j.jbiosc.2024.10.009","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
