Paez, Fernando Grover (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Changes in the costs of antihypertensive medications in a developing country -: A study in Mexico comparing 1990 and 1996","Calvo-Vargas, CG; Carrillo, JZP; Páez, FG; Reyes, SF","","","","AMERICAN JOURNAL OF HYPERTENSION","APR 1998","1998","11","4","1","","","487","493","","10.1016/S0895-7061(97)00459-7","","","9","0.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0"
"Attenuation of Coda Waves in the Central Region of the Gulf of California, Mexico","Rodriguez-Lozoya, Hector E.; Dominguez R, Tonatiuh; Quintanar Robles, Luis; Aguilar Melendez, Armando; Rodriguez-Leyva, Hector E.; Plata Rocha, Wenseslao; Garcia Paez, Fernando","","","","GEOFISICA INTERNACIONAL","APR-JUN 2017","2017","56","2","","","","137","145","","","","","4","0.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Empagliflozin and Dapagliflozin Improve Endothelial Function in Mexican Patients with Type 2 Diabetes Mellitus: A Double-Blind Clinical Trial","Alejandri, Luis Ricardo Balleza; Paez, Fernando Grover; Campos, Erick Gonzalez; Becerra, Carlos G. Ramos; Munoz, Ernesto German Cardona; Gonzalez, Sara Pascoe; Zavala, Maria Guadalupe Ramos; Roa, Africa Samantha Reynoso; Rico, Daniel Osmar Suarez; Ramirez, Alberto Beltran; Galindo, Jesus Jonathan Garcia; Mueller, David Cardona; Ruiz, Claudia Yanette Galan","","","","JOURNAL OF CARDIOVASCULAR DEVELOPMENT AND DISEASE","JUN 2024","2024","11","6","","","","","","182","10.3390/jcdd11060182","","","2","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Balleza Alejandri et al. Empagliflozin and Dapagliflozin Improve Endothelial Function in Mexican Patients with Type 2 Diabetes Mellitus: A Double-Blind Clinical Trial (vol 11,182,2024)","Alejandri, Luis Ricardo Balleza; Paez, Fernando Grover; Campos, Erick Gonzalez; Becerra, Carlos G. Ramos; Munoz, Ernesto German Cardona; Gonzalez, Sara Pascoe; Zavala, Maria Guadalupe Ramos; Roa, Africa Samantha Reynoso; Rico, Daniel Osmar Suarez; Ramirez, Alberto Beltran; Galindo, Jesus Jonathan Garcia; Mueller, David Cardona; Ruiz, Claudia Yanette Galan","","","","JOURNAL OF CARDIOVASCULAR DEVELOPMENT AND DISEASE","OCT 2024","2024","11","10","","","","","","314","10.3390/jcdd11100314","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EVALUATION OF ENALAPRIL ON ARTERIAL STIFFNESS IN RHEUMATOID ARTHRITIS IN A RANDOMISED CLINICAL TRIAL","Perez-Vazquez, Felipe; Duran Barragan, Sergio; Gomez-Banuelos, Eduardo; Chavarria Avila, Efrain; Ramos Becerra, Carlos; Diaz-Rubio, Gustavo-Ignacio; Salazar-Paramo, Mario; Grover Paez, Fernando; Hernan Nava-Zavala, Arnulfo; Cardona-Munoz, Ernesto G.; Cardona Mueller, David; Navarro-Hernandez, Rosa E.; Mera-Riofrio, Valeria-Nicole; Prado-Bachega, Natalia; Vazquez-Del-Mercado, Monica","","","","ANNALS OF THE RHEUMATIC DISEASES","JUN 2019","2019","78","","","2","","2091","2091","","10.1136/annrheumdis-2019-eular.8241","Annual European Congress of Rheumatology (EULAR)","JUN 12-15, 2019","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HEMODYNAMIC MEASUREMENTS AND ARTERIAL STIFFNESS IN PATIENTS WITH JUVENILE IDIOPATIC ARTHRITIS COMPARED TO CHILDREN WITHOUT JUVENILE IDIOPATIC ARTHRITIS","Rubio Silveira, E. Jorge; Arellano Valdez, C. Araceli; Ramos Becerra, Carlos; Mendez Nunez, Myriam; Cardona Mueller, David; Mares Flores, Oscar; Vega Garcia, Priscila; Grover Paez, Fernando; Tlacuilo Parra, Alberto","","","","ANNALS OF THE RHEUMATIC DISEASES","JUN 2019","2019","78","","","2","","967","967","","10.1136/annrheumdis-2019-eular.4549","Annual European Congress of Rheumatology (EULAR)","JUN 12-15, 2019","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CORRELATION OF HEMODYNAMIC AND ARTERIAL STIFFNESS PARAMETERS WITH METABOLIC AND ANTHROPOMETRIC VARIABLES IN HYPERTENSIVE PATIENTS WITH AND WITHOUT DIABETES MELLITUS TYPE 2","Grover Paez, F.; Cardona Munoz, E. G.; Cardona Mueller, D.; Ramos Becerra, C. G.; Trujillo Quiros, J.; Chavez Guzman, A. N.; Barocio Pantoja, M.; Jimenez Cazarez, M. B.; Lizardi Salcedo, A. L.; Gonzalez Bonilla, N. G.; Cardenas Rodriguez, J.; Castaneda Zaragoza, D. A.","","","","JOURNAL OF HYPERTENSION","JUN 2018","2018","36","","","1","","E213","E213","","10.1097/01.hjh.0000539602.54522.b8","28th European Meeting of Hypertension and Cardiovascular Protection of the European-Society-of-Hypertension (ESH)","JUN 08-11, 2018","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CENTRAL BLOOD PRESSURE VALUES IN A HEALTHY MEXICAN SAMPLE","Cardona Munoz, E.; Alanis Sanchez, G.; Grover Paez, F.; Cardona Muller, D.; Totsuka Sutto, S.; Macias Chumacera, A.; Ramos Becerra, C.","","","","JOURNAL OF HYPERTENSION","SEP 2016","2016","34","","","2","","E115","E115","","10.1097/01.hjh.0000491632.90225.ec","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RELATIONSHIP OF CAROTID FEMORAL PULSE WAVE VELOCITY WITH AGE AND TIME OF EVOLUTION IN PATIENTS WITH RHEUMATOID ARTHRITIS","Ramos Becerra, C.; Cardona Muller, D.; Vazquez Del Mercado, M.; Gonzalez Banuelos, E.; Perez Vazquez, E.; Valadez Soto, J.; Macias Chumacera, A.; Chavarria Avila, E.; Grover Paez, F.; Jimenez Cazarez, M.; Garcia Aguilar, C.; Totsuka Sutto, S.; Cardona Munoz, E.","","","","JOURNAL OF HYPERTENSION","SEP 2016","2016","34","","","2","","E344","E345","","10.1097/01.hjh.0000492355.10822.e8","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ANKLE-BRACHIAL INDEX AND BRACHIAL-ANKLE PULSE WAVE VELOCITY IN A MEXICAN POPULATION OF HEALTHY INDIVIDUALS. A REPRODUCIBILITY RESEARCH","Ramos Becerra, C.; Alanis Sanchez, A.; Garcia Magana, G.; Beas Lozano, E.; Totsuka Suto, S.; Cardona Muller, D.; Garcia Aguilar, C.; Grover Paez, F.; Cardona Munoz, E.","","","","JOURNAL OF HYPERTENSION","JUN 2015","2015","33","","","1","","E188","E188","","10.1097/01.hjh.0000467911.24276.be","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
