Alberto Garcia Quiroz (Author)
Timespan: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Soil characterisation using X-ray diffraction, photoacoustic spectroscopy and electron paramagnetic resonance","Manhaes, RST; Auler, LT; Sthel, MS; Alexandre, J; Massunaga, MSO; Carrió, JG; dos Santos, DR; da Silva, EC; Garcia-Quiroz, A; Vargas, H","","","","APPLIED CLAY SCIENCE","AUG 2002","2002","21","5-6","","","","303","311","PII S0169-1317(02)00092-3","10.1016/S0169-1317(02)00092-3","","","34","1.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","1","1","3","3","1","1","1","2","1","2","1","1","2","1","1","2","3","1","0","0"
"Modeling and simulation of the adsorption and storage of hydrogen in calcite rock oil fields","Lopez-Chavez, Ernesto; Garcia-Quiroz, Alberto; Pena-Castaneda, Yesica A.; Diaz-Gongora, Jose A., I; de Landa Castillo-Alvarado, Fray; Ramirez Carbellido, Williams","","","","JOURNAL OF MOLECULAR MODELING","AUG 22 2020","2020","26","9","","","","","","248","10.1007/s00894-020-04494-2","","","22","3.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","6","9","1"
"Physical and chemical analysis of dielectric properties and differential scanning calorimetry techniques on buriti oil","Garcia-Quiroz, A; Moreira, SGC; de Morais, AV; Silva, AS; da Rocha, GN; Alcantara, P","","","","INSTRUMENTATION SCIENCE & TECHNOLOGY","2003","2003","31","1","","","","93","101","","10.1081/CI-120018411","","","20","0.87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","2","2","2","0","2","0","2","0","0","1","1","0","2","1","1","0","0","1","0","0"
"Dissociative mechanism of oxygen reduction reaction (ORR) on Pd-Cu disordered binary alloy metal surfaces: A theoretical study","Lopez-Chavez, Ernesto; Garcia-Quiroz, Alberto; Gonzalez-Garcia, Gerardo; Pena-Castaneda, Yesica A.; Diaz-Gongora, Jose A. I.; de Landa Castillo-Alvarado, Fray","","","","INTERNATIONAL JOURNAL OF HYDROGEN ENERGY","DEC 28 2016","2016","41","48","","","","23281","23286","","10.1016/j.ijhydene.2016.09.001","15th International Congress of the Mexican-Hydrogen-Society","SEP 22-25, 2015","19","1.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","0","2","2","5","2","0"
"Quantum chemistry of the oxygen reduction reaction (ORR) on Fe-G iron doped graphene for fuel cells","Lopez-Chavez, Ernesto; Garcia-Quiroz, Alberto; Jimenez-Gonzalez, Lucy J.; Diaz-Gongora, Jose A. I.; Pena-Castaneda, Yesica A.","","","","INTERNATIONAL JOURNAL OF HYDROGEN ENERGY","MAY 9 2019","2019","44","24","","","SI","12439","12445","","10.1016/j.ijhydene.2018.09.062","17th International Congress of the Mexican-Hydrogen-Society (SMH)","SEP 19-22, 2017","17","2.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","4","3","2","1","1"
"Ti-decorated C120 nanotorus: A new molecular structure for hydrogen storage","Lopez-Chavez, E.; Pena-Castaneda, Y.; Garcia-Quiroz, A.; Castillo-Alvarado, F.; Diaz-Gongora, J.; Jimenez-Gonzalez, L.","","","","INTERNATIONAL JOURNAL OF HYDROGEN ENERGY","DEC 21 2017","2017","42","51","","","","30237","30241","","10.1016/j.ijhydene.2017.08.095","16th International Congress of the Mexican-Hydrogen-Society (CSMH)","SEP 26-30, 2016","16","1.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","2","0","3","1","4","0"
"Quantum chemical characterization of zwitterionic structures: Supramolecular complexes for modifying the wettability of oil-water-limestone system","Lopez-Chavez, Ernesto; Garcia-Quiroz, Alberto; Gonzalez-Garcia, Gerardo; Orozco-Duran, Gabriela E.; Zamudio-Rivera, Luis S.; Martinez-Magadan, Jose M.; Buenrostro-Gonzalez, Eduardo; Hernandez-Altamirano, Raul","","","","JOURNAL OF MOLECULAR GRAPHICS & MODELLING","JUN 2014","2014","51","","","","","128","136","","10.1016/j.jmgm.2014.04.013","","","14","1.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","4","1","1","1","1","0"
"Thermal Characterization of Edible Oils by Using Photopyroelectric Technique","Lara-Hernandez, G.; Suaste-Gomez, E.; Cruz-Orea, A.; Mendoza-Alvarez, J. G.; Sanchez-Sinencio, F.; Valcarcel, J. P.; Garcia-Quiroz, A.","","","","INTERNATIONAL JOURNAL OF THERMOPHYSICS","MAY 2013","2013","34","5","","","","962","971","","10.1007/s10765-013-1419-x","","","13","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","2","1","1","2","2","1","0"
"Thermal Characterization, Using the Photopyroelectric Technique, of Liquids Used in the Automobile Industry","Cervantes-Espinosa, L. M.; Castillo-Alvarado, F. de L.; Lara-Hernandez, G.; Cruz-Orea, A.; Mendoza-Alvarez, J. G.; Valcarcel, J. P.; Garcia-Quiroz, A.","","","","INTERNATIONAL JOURNAL OF THERMOPHYSICS","NOV 2012","2012","33","10-11","","","SI","1916","1923","","10.1007/s10765-012-1317-7","16th International Conference on Photothermal and Photoacoustic Phenomena (ICPPP)","NOV 27-DEC 01, 2011","13","0.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3","2","2","2","0","1","0","0","0"
"Density Functional Theoretical Study of the Interaction of Geminal Zwitterionic Liquids with Limestone, Regarding the Behavior of the Wettability Parameter","Lopez-Chavez, Ernesto; Garcia-Quiroz, Alberto; Munoz-Vega, Rodrigo; Benitez-Puebla, Jorge I.; Zamudio-Rivera, Luis S.; Martinez-Magadan, Jose-Manuel; Buenrostro-Gonzalez, Eduardo; Hernandez-Altamirano, Raul","","","","JOURNAL OF CHEMICAL AND ENGINEERING DATA","DEC 2012","2012","57","12","","","","3538","3542","","10.1021/je300687s","","","12","0.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","0","1","3","0","0","0","0","1","0"
