Rafael Garcia (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Engineering DNA-based functional materials","Roh, Young Hoon; Ruiz, Roanna C. H.; Peng, Songming; Lee, Jong Bum; Luo, Dan","","","","CHEMICAL SOCIETY REVIEWS","2011","2011","40","12","","","","5730","5744","","10.1039/c1cs15162b","","","252","16.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","18","23","23","18","22","24","25","17","20","20","19","9","6"
"Design, implementation and validation of a novel open framework for agile development of mobile health applications","Banos, Oresti; Villalonga, Claudia; Garcia, Rafael; Saez, Alejandro; Damas, Miguel; Holgado-Terriza, Juan A.; Lee, Sungyong; Pomares, Hector; Rojas, Ignacio","","","","BIOMEDICAL ENGINEERING ONLINE","AUG 13 2015","2015","14","","","2","","","","S6","10.1186/1475-925X-14-S2-S6","","","200","18.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","16","16","25","19","36","36","25","19","1"
"Radio-Frequency Interference Mitigation for the Soil Moisture Active Passive Microwave Radiometer","Piepmeier, Jeffrey R.; Johnson, Joel T.; Mohammed, Priscilla N.; Bradley, Damon; Ruf, Christopher; Aksoy, Mustafa; Garcia, Rafael; Hudson, Derek; Miles, Lynn; Wong, Mark","","","","IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING","JAN 2014","2014","52","1","2","","","761","775","","10.1109/TGRS.2013.2281266","","","142","11.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","13","19","12","14","13","27","16","11","11","0"
"Hydrodeoxygenation of guaiacol over carbon-supported molybdenum nitride catalysts: Effects of nitriding methods and support properties","Tyrone Ghampson, I.; Sepulveda, Catherine; Garcia, Rafael; Radovic, Ljubisa R.; Garcia Fierro, J. L.; DeSisto, William J.; Escalona, Nestor","","","","APPLIED CATALYSIS A-GENERAL","OCT 10 2012","2012","439","","","","","111","124","","10.1016/j.apcata.2012.06.047","","","135","9.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","11","10","9","15","12","9","18","10","14","12","5","1"
"Comparison of alumina- and SBA-15-supported molybdenum nitride catalysts for hydrodeoxygenation of guaiacol","Tyrone Ghampson, I.; Sepulveda, Catherine; Garcia, Rafael; Garcia Fierro, J. L.; Escalona, Nestor; DeSisto, William J.","","","","APPLIED CATALYSIS A-GENERAL","SEP 5 2012","2012","435","","","","","51","60","","10.1016/j.apcata.2012.05.039","","","116","8.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","7","7","14","12","14","8","17","9","7","8","6","1"
"Novel DNA materials and their applications","Yang, Dayong; Campolongo, Michael J.; Tran, Thua Nguyen Nhi; Ruiz, Roanna C. H.; Kahn, Jason S.; Luo, Dan","","","","WILEY INTERDISCIPLINARY REVIEWS-NANOMEDICINE AND NANOBIOTECHNOLOGY","NOV-DEC 2010","2010","2","6","","","","648","669","","10.1002/wnan.111","","","88","5.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","11","7","8","6","5","7","7","8","5","10","2","4","1","0"
"Point-of-care nucleic acid detection using nanotechnology","Hartman, Mark R.; Ruiz, Roanna C. H.; Hamada, Shogo; Xu, Chuanying; Yancey, Kenneth G.; Yu, Yan; Han, Wei; Luo, Dan","","","","NANOSCALE","2013","2013","5","21","","","","10141","10154","","10.1039/c3nr04015a","","","74","5.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","8","9","10","6","4","3","10","1","3","0"
"DNA Microgels as a Platform for Cell-Free Protein Expression and Display","Kahn, Jason S.; Ruiz, Roanna C. H.; Sureka, Swati; Peng, Songming; Derrien, Thomas L.; An, Duo; Luo, Dan","","","","BIOMACROMOLECULES","JUN 2016","2016","17","6","","","","2019","2026","","10.1021/acs.biomac.6b00183","","","49","4.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","3","4","14","3","7","6","4","1"
"Last three millennia Earth's Magnetic field strength in Mesoamerica and southern United States: Implications in geomagnetism and archaeology","Goguitchaichvili, Avto; Garcia Ruiz, Rafael; Javier Pavon-Carrasco, F.; Morales Contreras, Juan Julio; Soler Arechalde, Ana Maria; Urrutia-Fucugauchi, Jaime","","","","PHYSICS OF THE EARTH AND PLANETARY INTERIORS","JUN 2018","2018","279","","","","","79","91","","10.1016/j.pepi.2018.04.003","","","27","3.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","4","10","1","0","2","0"
"A fast algorithm for the linear canonical transform","Campos, Rafael G.; Figueroa, Jared","","","","SIGNAL PROCESSING","JUN 2011","2011","91","6","","","SI","1444","1447","","10.1016/j.sigpro.2010.07.007","","","24","1.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1","5","2","3","3","0","1","3","3","0","0"
