Gevorgyan, Gor A. (Author)
Timespan: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"First report about toxic cyanobacterial bloom occurrence in Lake Sevan, Armenia","Gevorgyan, Gor; Rinke, Karsten; Schultze, Martin; Mamyan, Armine; Kuzmin, Anton; Belykh, Olga; Sorokovikova, Ekaterina; Hayrapetyan, Armine; Hovsepyan, Anahit; Khachikyan, Termine; Aghayan, Sargis; Fedorova, Galina; Krasnopeev, Andrey; Potapov, Sergey; Tikhonova, Irina","","","","INTERNATIONAL REVIEW OF HYDROBIOLOGY","NOV 2020","2020","105","5-6","","","","131","142","","10.1002/iroh.202002060","","","19","3.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","7","3","6","0"
"Environmental Risk Assessment of Heavy Metal Pollution in Armenian River Ecosystems: Case Study of Lake Sevan and Debed River Catchment Basins","Gevorgyan, Gor A.; Mamyan, Armine S.; Hambaryan, Lusine R.; Khudaverdyan, Surik Kh; Vaseashta, Ashok","","","","POLISH JOURNAL OF ENVIRONMENTAL STUDIES","2016","2016","25","6","","","","2387","2399","","10.15244/pjoes/63734","","","11","1.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","1","3","0","2","0"
"Simulating thermal dynamics of the largest lake in the Caucasus region: The mountain Lake Sevan","Shikhani, Muhammed; Mi, Chenxi; Gevorgyan, Artur; Gevorgyan, Gor; Misakyan, Amalya; Azizyan, Levon; Barfus, Klemens; Schulze, Martin; Shatwell, Tom; Rinke, Karsten","","","","JOURNAL OF LIMNOLOGY","2022","2022","81","","","1","","","","2024","10.4081/jlimnol.2021.2024","","","8","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","2","1"
"Heavy Metal Contamination in an Industrially Affected River Catchment Basin: Assessment, Effects, and Mitigation","Gevorgyan, Gor; Mamyan, Armine; Boshyan, Tatevik; Vardanyan, Tigran; Vaseashta, Ashok","","","","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH","MAR 2021","2021","18","6","","","","","","2881","10.3390/ijerph18062881","","","7","1.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","1"
"Ecological Characterization and Bio-Mitigation Potential of Heavy Metal Contamination in Metallurgically Affected Soil","Hovhannisyan, Varuzhan; Vaseashta, Ashok; Avanesyan, Lyudmila; Sadoyan, Ruzanna; Gasparyan, Armen; Shogheryan, Sirine; Harutyunova, Laura; Mirumyan, Lyudmila; Gevorgyan, Gor","","","","APPLIED SCIENCES-BASEL","JUL 2022","2022","12","13","","","","","","6312","10.3390/app12136312","","","3","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0"
"Lake-wide assessment of trace elements in surface sediments and water of Lake Sevan","Gevorgyan, Gor; von Tuempling, Wolf; Shahnazaryan, Gayane; Friese, Kurt; Schultze, Martin","","","","JOURNAL OF LIMNOLOGY","2022","2022","81","","","1","","","","","10.4081/jlimnol.2022.2096","","","3","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1"
"Synthesis and Antibacterial Activity of 2-[2,2-Dimethyl-4(3-Trifluoromethylphenyl)-Tetrahydropyran-4-Yl]Arylamine Oxalates","Arutyunyan, N. S.; Akopyan, L. A.; Papoyan, O. A.; Paronikyan, R. V.; Stepanyan, G. M.; Panosyan, G. A.; Gevorgyan, G. A.","","","","PHARMACEUTICAL CHEMISTRY JOURNAL","JUN 2015","2015","49","3","","","","171","174","","10.1007/s11094-015-1247-3","","","3","0.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0"
"Effect of Azo Compounds on the Structure and Mechanical Properties of a Copper Coating Electrodeposited on Oxidized Aluminum Alloys","Belov, D., V; Maximov, M., V; Belyaev, S. N.; Devyatkina, T., I; Gevorgyan, G. A.","","","","INORGANIC MATERIALS-APPLIED RESEARCH","SEP 2021","2021","12","5","","","","1386","1399","","10.1134/S2075113321050051","","","2","0.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"Satellite-Based Detection of Algal Blooms in Large Alpine Lake Sevan: Can Satellite Data Overcome the Unavoidable Limitations in Field Observations?","Asmaryan, Shushanik; Khlghatyan, Anahit; Hovsepyan, Azatuhi; Muradyan, Vahagn; Avetisyan, Rima; Gevorgyan, Gor; Hayrapetyan, Armine; Eissa, Mayada Mohamed Alshahat Arafat; Bernert, Hendrik; Schultze, Martin; Rinke, Karsten","","","","REMOTE SENSING","OCT 2024","2024","16","19","","","","","","3734","10.3390/rs16193734","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"SYNTHESIS AND BIOLOGICAL PROPERTIES OF 1-(4-SUBSTITUTED PHENYL)-1-ALKYL(ARYL)-2-PHENYL-3-PIPERIDINOPROPAN-1-OLS","Gasparyan, N. K.; Vardevanyan, L. A.; Egiazaryan, D. E.; Malakyan, M. N.; Badzhinyan, S. A.; Avakimyan, D. A.; Panosyan, G. A.; Gevorgyan, G. A.","","","","PHARMACEUTICAL CHEMISTRY JOURNAL","JUL 2011","2011","45","4","","","","224","227","","","","","1","0.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
