Gonzalez-Cordova, Aaron F. (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Postbiotics: An evolving term within the functional foods field","Aguilar-Toala, J. E.; Garcia-Varela, R.; Garcia, H. S.; Mata-Haro, V.; Gonzalez-Cordova, A. F.; Vallejo-Cordoba, B.; Hernandez-Mendoza, A.","","","","TRENDS IN FOOD SCIENCE & TECHNOLOGY","MAY 2018","2018","75","","","","","105","114","","10.1016/j.tifs.2018.03.009","","","558","69.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","40","90","99","94","95","121","18"
"Dietary fiber and phenolic compounds as functional ingredients: interaction and possible effect after ingestion","Quiros-Sauceda, A. E.; Palafox-Carlos, H.; Sayago-Ayerdi, S. G.; Ayala-Zavala, J. F.; Bello-Perez, L. A.; Alvarez-Parrilla, E.; de la Rosa, L. A.; Gonzalez-Cordova, A. F.; Gonzalez-Aguilar, G. A.","","","","FOOD & FUNCTION","JUN 2014","2014","5","6","","","","1063","1072","","10.1039/c4fo00073k","","","216","18.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","18","18","25","25","28","29","26","27","3"
"Assessment of multifunctional activity of bioactive peptides derived from fermented milk by specific Lactobacillus plantarum strains","Aguilar-Toala, J. E.; Santiago-Lopez, L.; Peres, C. M.; Peres, C.; Garcia, H. S.; Vallejo-Cordoba, B.; Gonzalez-Cordova, A. F.; Hernandez-Mendoza, A.","","","","JOURNAL OF DAIRY SCIENCE","JAN 2017","2017","100","1","","","","65","75","","10.3168/jds.2016-11846","","","157","17.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","13","20","20","24","29","13","30","4"
"Invited review: Bioactive compounds produced during cheese ripening and health effects associated with aged cheese consumption","Santiago-Lopez, Lourdes; Aguilar-Toala, Jose E.; Hernandez-Mendoza, Adrian; Vallejo-Cordoba, Belinda; Liceaga, Andrea M.; Gonzalez-Cordova, Aaron F.","","","","JOURNAL OF DAIRY SCIENCE","MAY 2018","2018","101","5","","","","3742","3757","","10.3168/jds.2017-13465","","","147","18.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","17","27","29","22","24","25","1"
"Invited review: Fermented milk as antihypertensive functional food","Beltran-Barrientos, L. M.; Hernandez-Mendoza, A.; Torres-Llanez, M. J.; Gonzalez-Cordova, A. F.; Vallejo-Cordoba, B.","","","","JOURNAL OF DAIRY SCIENCE","JUN 2016","2016","99","6","","","","4099","4110","","10.3168/jds.2015-10054","","","116","11.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","13","7","16","9","21","23","13","7","4"
"Potential role of natural bioactive peptides for development of cosmeceutical skin products","Aguilar-Toala, J. E.; Hernandez-Mendoza, A.; Gonzalez-Cordova, A. F.; Vallejo-Cordoba, B.; Liceaga, A. M.","","","","PEPTIDES","DEC 2019","2019","122","","","","","","","170170","10.1016/j.peptides.2019.170170","","","97","13.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","13","15","20","28","7"
"Insects as an Alternative Protein Source","Liceaga, Andrea M.; Eleazar Aguilar-Toala, Jose; Vallejo-Cordoba, Belinda; Gonzalez-Cordova, Aaron F.; Hernandez-Mendoza, Adrian","","","","ANNUAL REVIEW OF FOOD SCIENCE AND TECHNOLOGY","2022","2022","13","","","","","19","34","","10.1146/annurev-food-052720-112443","","","85","21.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","20","48","10"
"Postbiotics - when simplification fails to clarify","Aguilar-Toala, Jose Eleazar; Arioli, Stefania; Behare, Pradip; Belzer, Clara; Berni Canani, Roberto; Chatel, Jean-Marc; D'Auria, Enza; de Freitas, Monica Queiroz; Elinav, Eran; Esmerino, Erick Almeida; Garcia, Hugo S.; da Cruz, Adriano Gomes; Gonzalez-Cordova, Aaron F.; Guglielmetti, Simone; de Toledo Guimaraes, Jonas; Hernandez-Mendoza, Adrian; Langella, Philippe; Liceaga, Andrea M.; Magnani, Marciane; Martin, Rebeca; Mohamad Lal, Mohammad Tamrin; Mora, Diego; Moradi, Mehran; Morelli, Lorenzo; Mosca, Fabio; Nazzaro, Filomena; Pimentel, Tatiana Colombo; Ran, Chao; Ranadheera, Chaminda Senaka; Rescigno, Maria; Salas, Azucena; Sant'Ana, Anderson S.; Sivieri, Katia; Sokol, Harry; Taverniti, Valentina; Vallejo-Cordoba, Belinda; Zelenka, Jaroslav; Zhou, Zhigang","","","","NATURE REVIEWS GASTROENTEROLOGY & HEPATOLOGY","NOV 2021","2021","18","11","","","","825","826","","10.1038/s41575-021-00521-6","","","75","15.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","23","25","20","4"
"Antimicrobial activity and partial characterization of bacteriocin-like inhibitory substances produced by Lactobacillus spp. isolated from artisanal Mexican cheese","Heredia-Caitro, Priscilia Y.; Mendez-Romero, Jose I.; Hernandez-Mendoza, Adrian; Acedo-Felix, Evelia; Gonzalez-Cordova, Aaron F.; Vallejo-Cordoba, Belinda","","","","JOURNAL OF DAIRY SCIENCE","DEC 2015","2015","98","12","","","","8285","8293","","10.3168/jds.2015-10104","","","74","6.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","7","4","10","10","16","12","11","0"
"Invited review: Artisanal Mexican cheeses","Gonzalez-Cordova, Aaron F.; Yescas, Carlos; Martin Ortiz-Estrada, Angel; de los Angeles De la Rosa-Alcaraz, Maria; Hernandez-Mendoza, Adrian; Vallejo-Cordoba, Belinda","","","","JOURNAL OF DAIRY SCIENCE","MAY 2016","2016","99","5","","","","3250","3262","","10.3168/jds.2015-10103","","","71","7.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","6","10","11","13","9","11","6","0"
