MANUEL GUTIERREZ NAVA (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Synthesis of amphiphilic fullerene derivatives and their incorporation in Langmuir and Langmuir-Blodgett films","Felder, D; Nava, MG; Carreón, MD; Eckert, JF; Luccisano, M; Schall, C; Masson, P; Gallani, JL; Heinrich, B; Guillon, D; Nierengarten, JF","","","","HELVETICA CHIMICA ACTA","2002","2002","85","1","","","","288","319","","10.1002/1522-2675(200201)85:1<288::AID-HLCA288>3.0.CO;2-I","","","73","3.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","8","14","7","5","5","7","1","3","2","1","3","1","1","2","1","1","0","0","0","1","0","0"
"Polarity effects on the photophysics of dendrimers with an oligophenylenevinylene core and peripheral fullerene units","Gutierrez-Nava, M; Accorsi, G; Masson, P; Armaroli, N; Nierengarten, JF","","","","CHEMISTRY-A EUROPEAN JOURNAL","OCT 11 2004","2004","10","20","","","","5076","5086","","10.1002/chem.200400157","","","67","3.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","20","10","7","7","2","4","3","0","2","2","1","2","0","1","0","0","0","0","0","0"
"A supramolecular oligophenylenevinylene-C60 conjugate","Gutiérrez-Nava, M; Nierengarten, H; Masson, P; Van Dorsselaer, A; Nierengarten, JF","","","","TETRAHEDRON LETTERS","APR 7 2003","2003","44","15","","","","3043","3046","","10.1016/S0040-4039(03)00561-6","","","31","1.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","6","4","2","0","0","2","2","0","0","0","1","0","0","2","1","1","0","0","0","0"
"Fullerene-functionalized polyesters: synthesis, characterization and incorporation in photovoltaic cells","Nava, MG; Setayesh, S; Rameau, A; Masson, P; Nierengarten, JF","","","","NEW JOURNAL OF CHEMISTRY","NOV 2002","2002","26","11","","","","1584","1589","","10.1039/b205493k","","","27","1.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","4","3","3","0","0","1","2","0","1","2","1","2","0","1","0","0","1","0","0","1"
"Alkali cation induced liquid crystalline properties of an oligophenylenevinylene-benzocrown ether conjugate","Gutiérrez-Nava, M; Jaeggy, M; Nierengarten, H; Masson, P; Guillon, D; Van Dorsselaer, A; Nierengarten, JF","","","","TETRAHEDRON LETTERS","APR 7 2003","2003","44","15","","","","3039","3042","","10.1016/S0040-4039(03)00560-4","","","15","0.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","1","1","2","3","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Synthesis of copolymers alternating oligophenylenevinylene subunits and fullerene moieties","Gutiérrez-Nava, M; Masson, P; Nierengarten, JF","","","","TETRAHEDRON LETTERS","JUN 9 2003","2003","44","24","","","","4487","4490","","10.1016/S0040-4039(03)00991-2","","","10","0.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Preparation and characterization of grafted polyethylene based azo-polymer films","del Pilar Carreon-Castro, Maria; Rivera, Ernesto; de Jesus Cruz, Jose; Zavaleta, Gerardo; Gutierrez-Nava, Manuel","","","","THIN SOLID FILMS","MAY 31 2010","2010","518","15","","","","4136","4141","","10.1016/j.tsf.2009.11.066","","","7","0.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","1","0","0","2","1","0","0","0"
"Synthesis and incorporation in Langmuir films of oligophenylenevinylene dendrimers bearing a polar head group and different dendritic poly(benzyl ether) branches","Alvarez-Venicio, Violeta; Jimenez-Nava, Baldemar; Carreon-Castro, Maria del Pilar; Rivera, Ernesto; Mendez, Irene Audelo; Huerta, Alejandrina Acosta; Gutierrez-Nava, Manuel","","","","POLYMER","AUG 26 2008","2008","49","18","","","","3911","3922","","10.1016/j.polymer.2008.06.049","","","7","0.39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","1","0","1","0","0","1","0","0","0","0","0"
"Synthesis of fluorescent dendrimers with an oligo(phenylenevinylene) core","Dominguez-Chavez, J. G.; Lijanova, I.; Moggio, I.; Arias, E.; Vazquez-Garcia, R. A.; Ma, I. Reyes-Valderrama; Klimova, T.; Gutierrez-Nava, M.; Martinez-Garcia, M.","","","","JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY","AUG 2007","2007","7","8","","","","2758","2766","","10.1166/jnn.2007.616","","","7","0.37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Chain-End Functional di-Sorbitan Oleate Monomer Obtained from Renewable Resources as Precursors for Bio-Based Polyurethanes","Valencia-Bermudez, Susana; Hernandez-Lopez, Susana; Gutierrez-Nava, Manuel; Rojas-Garcia, Jose-Manuel; Lugo-Uribe, Luis-Edmundo","","","","JOURNAL OF POLYMERS AND THE ENVIRONMENT","MAY 2020","2020","28","5","","","","1406","1419","","10.1007/s10924-020-01692-0","","","5","0.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1"
