Daniel HernÃ¡ndez (Author)
Timespan: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Analysis of real-time control strategies in a corridor with multiple bus services","Hernandez, Daniel; Carlos Munoz, Juan; Giesen, Ricardo; Delgado, Felipe","","","","TRANSPORTATION RESEARCH PART B-METHODOLOGICAL","AUG 2015","2015","78","","","","","83","105","","10.1016/j.trb.2015.04.011","","","67","6.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","4","6","15","10","12","4","3","6","1"
"Flood Detection Using Real-Time Image Segmentation from Unmanned Aerial Vehicles on Edge-Computing Platform","Hernandez, Daniel; Cecilia, Jose M.; Cano, Juan-Carlos; Calafate, Carlos T.","","","","REMOTE SENSING","JAN 2022","2022","14","1","","","","","","223","10.3390/rs14010223","","","29","7.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","14","3"
"Querying Wikidata: Comparing SPARQL, Relational and Graph Databases","Hernandez, Daniel; Hogan, Aidan; Riveros, Cristian; Rojas, Carlos; Zerega, Enzo","","","Groth, P; Simperl, E; Gray, A; Sabou, M; Krotzsch, M; Lecue, F; Flock, F; Gil, Y","SEMANTIC WEB - ISWC 2016, PT II","2016","2016","9982","","","","","88","103","","10.1007/978-3-319-46547-0_10","15th International Semantic Web Conference (ISWC)","OCT 17-21, 2016","29","2.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","3","5","2","4","2","2","4","0"
"The Proteomic Landscape of Triple-Negative Breast Cancer (vol 11, pg 630, 2015)","Lawrence, Robert T.; Perez, Elizabeth M.; Hernandez, Daniel; Miller, Chris P.; Haas, Kelsey M.; Irie, Hanna Y.; Lee, Su-In; Blau, C. Anthony; Villen, Judit","","","","CELL REPORTS","MAY 12 2015","2015","11","6","","","","990","990","","10.1016/j.celrep.2015.04.059","","","21","1.91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","5","6","1","1","4","0"
"Learning Socially Appropriate Robot Approaching Behavior Toward Groups using Deep Reinforcement Learning","Gao, Yuan; Yang, Fangkai; Frisk, Martin; Hernandez, Daniel; Peters, Christopher; Castellano, Ginevra","","","","2019 28TH IEEE INTERNATIONAL CONFERENCE ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (RO-MAN)","2019","2019","","","","","","","","","10.1109/ro-man46459.2019.8956444","28th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)","OCT 14-18, 2019","19","2.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","7","1","4","1"
"AI-Enabled Autonomous Drones for Fast Climate Change Crisis Assessment","Hernandez, Daniel; Cano, Juan-Carlos; Silla, Federico; Calafate, Carlos T.; Cecilia, Jose M.","","","","IEEE INTERNET OF THINGS JOURNAL","MAY 15 2022","2022","9","10","","","","7286","7297","","10.1109/JIOT.2021.3098379","","","16","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","1"
"Short-Term Wind Power Forecast Based on Cluster Analysis and Artificial Neural Networks","Lorenzo, Javier; Mendez, Juan; Castrillon, Modesto; Hernandez, Daniel","","","Cabestany, J; Rojas, I; Joya, G","ADVANCES IN COMPUTATIONAL INTELLIGENCE, IWANN 2011, PT I","2011","2011","6691","","","","","191","198","","","11th International Work-Conference on Artificial Neural Networks (IWANN)","JUN 08-10, 2011","12","0.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","3","1","1","2","0","1","1","1","0","0"
"Computing How-Provenance for SPARQL Queries via Query Rewriting","Hernandez, Daniel; Galarraga, Luis; Hose, Katja","","","","PROCEEDINGS OF THE VLDB ENDOWMENT","SEP 2021","2021","14","13","","","","3389","3401","","10.14778/3484224.3484235","","","9","1.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","3","0"
"The Kuhn-Munkres algorithm for efficient vertical takeoff of UAV swarms","Hernandez, Daniel; Cecilia, Jose M.; Calafate, Carlos T.; Cano, Juan-Carlos; Manzoni, Pietro","","","","2021 IEEE 93RD VEHICULAR TECHNOLOGY CONFERENCE (VTC2021-SPRING)","2021","2021","","","","","","","","","10.1109/VTC2021-Spring51267.2021.9448873","IEEE 93rd Vehicular Technology Conference (VTC-Spring)","APR 25-28, 2021","6","1.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","2"
"Combination of multi-agent systems and embedded hardware for the monitoring and analysis of diuresis","Villarrubia, Gabriel; Hernandez, Daniel; De Paz, Juan F.; Bajo, Javier","","","","INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS","JUL 27 2017","2017","13","7","","","","","","","10.1177/1550147717722154","","","6","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","3","0","0"
