Hernandez-Onate, Miguel Angel (Author)
Timespan: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Comparative genome sequence analysis underscores mycoparasitism as the ancestral life style of Trichoderma","Kubicek, Christian P.; Herrera-Estrella, Alfredo; Seidl-Seiboth, Verena; Martinez, Diego A.; Druzhinina, Irina S.; Thon, Michael; Zeilinger, Susanne; Casas-Flores, Sergio; Horwitz, Benjamin A.; Mukherjee, Prasun K.; Mukherjee, Mala; Kredics, Laszlo; Alcaraz, Luis D.; Aerts, Andrea; Antal, Zsuzsanna; Atanasova, Lea; Cervantes-Badillo, Mayte G.; Challacombe, Jean; Chertkov, Olga; McCluskey, Kevin; Coulpier, Fanny; Deshpande, Nandan; von Doehren, Hans; Ebbole, Daniel J.; Esquivel-Naranjo, Edgardo U.; Fekete, Erzsebet; Flipphi, Michel; Glaser, Fabian; Gomez-Rodriguez, Elida Y.; Gruber, Sabine; Han, Cliff; Henrissat, Bernard; Hermosa, Rosa; Hernandez-Onate, Miguel; Karaffa, Levente; Kosti, Idit; Le Crom, Stephane; Lindquist, Erika; Lucas, Susan; Luebeck, Mette; Luebeck, Peter S.; Margeot, Antoine; Metz, Benjamin; Misra, Monica; Nevalainen, Helena; Omann, Markus; Packer, Nicolle; Perrone, Giancarlo; Uresti-Rivera, Edith E.; Salamov, Asaf; Schmoll, Monika; Seiboth, Bernhard; Shapiro, Harris; Sukno, Serenella; Tamayo-Ramos, Juan Antonio; Tisch, Doris; Wiest, Aric; Wilkinson, Heather H.; Zhang, Michael; Coutinho, Pedro M.; Kenerley, Charles M.; Monte, Enrique; Baker, Scott E.; Grigoriev, Igor V.","","","","GENOME BIOLOGY","2011","2011","12","4","","","","","","R40","10.1186/gb-2011-12-4-r40","","","484","32.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","25","36","49","31","37","31","41","28","40","38","43","40","32","7"
"Genome and transcriptome analysis of the Mesoamerican common bean and the role of gene duplications in establishing tissue and temporal specialization of genes","Vlasova, Anna; Capella-Gutierrez, Salvador; Rendon-Anaya, Martha; Hernandez-Onate, Miguel; Minoche, Andre E.; Erb, Ionas; Camara, Francisco; Prieto-Barja, Pablo; Corvelo, Andre; Sanseverino, Walter; Westergaard, Gaston; Dohm, Juliane C.; Pappas, Georgios J., Jr.; Saburido-Alvarez, Soledad; Kedra, Darek; Gonzalez, Irene; Cozzuto, Luca; Gomez-Garrido, Jessica; Aguilar-Moron, Maria A.; Andreu, Nuria; Mario Aguilar, O.; Garcia-Mas, Jordi; Zehnsdorf, Maik; Vazquezi, Martin P.; Delgado-Salinas, Alfonso; Delaye, Luis; Lowy, Ernesto; Mentaberry, Alejandro; Vianello-Brondani, Rosana P.; Luis Garcia, Jose; Alioto, Tyler; Sanchez, Federico; Himmelbauer, Heinz; Santalla, Marta; Notredame, Cedric; Gabaldon, Toni; Herrera-Estrella, Alfredo; Guigo, Roderic","","","","GENOME BIOLOGY","FEB 25 2016","2016","17","","","","","","","32","10.1186/s13059-016-0883-6","","","145","14.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","23","14","14","15","28","25","10","7","0"
"The Genomes of Three Uneven Siblings: Footprints of the Lifestyles of Three Trichoderma Species","Schmoll, Monika; Dattenboeck, Christoph; Carreras-Villasenor, Nohemi; Mendoza-Mendoza, Artemio; Tisch, Doris; Ivan Aleman, Mario; Baker, Scott E.; Brown, Christopher; Guadalupe Cervantes-Badillo, Mayte; Cetz-Chel, Jose; Rosa Cristobal-Mondragon, Gema; Delaye, Luis; Ulises Esquivel-Naranjo, Edgardo; Frischmann, Alexa; de Jesus Gallardo-Negrete, Jose; Garcia-Esquivel, Monica; Yazmin Gomez-Rodriguez, Elida; Greenwood, David R.; Hernandez-Onate, Miguel; Kruszewska, Joanna S.; Lawry, Robert; Mora-Montes, Hector M.; Munoz-Centeno, Tania; Nieto-Jacobo, Maria Fernanda; Lopez, Guillermo Nogueira; Olmedo-Monfil, Vianey; Osorio-Concepcion, Macario; Pilsyk, Sebastian; Pomraning, Kyle R.; Rodriguez-Iglesias, Aroa; Teresa Rosales-Saavedra, Maria; Alejandro Sanchez-Arreguin, J.; Seidl-Seiboth, Verena; Stewart, Alison; Elena Uresti-Rivera, Edith; Wang, Chih-Li; Wang, Ting-Fang; Zeilinger, Susanne; Casas-Flores, Sergio; Herrera-Estrella, Alfredo","","","","MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS","MAR 2016","2016","80","1","","","","205","327","","10.1128/MMBR.00040-15","","","124","12.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","17","22","20","12","10","16","13","8","2"
"An injury-response mechanism conserved across kingdoms determines entry of the fungus Trichoderma atroviride into development","Hernandez-Onate, Miguel A.; Esquivel-Naranjo, Edgardo U.; Mendoza-Mendoza, Artemio; Stewart, Alison; Herrera-Estrella, Alfredo H.","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","SEP 11 2012","2012","109","37","","","","14918","14923","","10.1073/pnas.1209396109","","","90","6.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","10","7","3","6","6","9","12","8","9","5","6","3"
"Quercetin reduces adhesion and inhibits biofilm development by Listeria monocytogenes by reducing the amount of extracellular proteins","Vazquez-Armenta, F. J.; Bernal-Mercado, A. T.; Tapia-Rodriguez, M. R.; Gonzalez-Aguilar, G. A.; Lopez-Zavala, A. A.; Martinez-Tellez, M. A.; Hernandez-Onate, M. A.; Ayala-Zavala, J. F.","","","","FOOD CONTROL","AUG 2018","2018","90","","","","","266","273","","10.1016/j.foodcont.2018.02.041","","","60","7.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","15","12","10","8","5"
"Transcriptome Analysis of Mango (Mangifera indica L.) Fruit Epidermal Peel to Identify Putative Cuticle-Associated Genes","Tafolla-Arellano, Julio C.; Zheng, Yi; Sun, Honghe; Jiao, Chen; Ruiz-May, Eliel; Hernandez-Onate, Miguel A.; Gonzalez-Leon, Alberto; Baez-Sanudo, Reginaldo; Fei, Zhangjun; Domozych, David; Rose, Jocelyn K. C.; Tiznado-Hernandez, Martin E.","","","","SCIENTIFIC REPORTS","APR 20 2017","2017","7","","","","","","","46163","10.1038/srep46163","","","52","5.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","10","5","6","11","9","8","1"
"Damage response involves mechanisms conserved across plants, animals and fungi","Hernandez-Onate, M. A.; Herrera-Estrella, A.","","","","CURRENT GENETICS","AUG 2015","2015","61","3","","","","359","372","","10.1007/s00294-014-0467-5","","","42","3.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","5","7","6","3","2","3","4","2","2"
"Quercetin repressed the stress response factor (sigB) and virulence genes (prfA, actA, inlA, and inlC), lower the adhesion, and biofilm development of L. monocytogenes","Vazquez-Armenta, F. J.; Hernandez-Onate, M. A.; Martinez-Tellez, M. A.; Lopez-Zavala, A. A.; Gonzalez-Aguilar, G. A.; Gutierrez-Pacheco, M. M.; Ayala-Zavala, J. F.","","","","FOOD MICROBIOLOGY","MAY 2020","2020","87","","","","","","","103377","10.1016/j.fm.2019.103377","","","40","6.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","12","10","6","4"
"The Trichoderma atroviride cryptochrome/photolyase genes regulate the expression of blr1-independent genes both in red and blue light","Garcia-Esquivel, Monica; Esquivel-Naranjo, Edgardo U.; Hernandez-Onate, Miguel A.; Ibarra-Laclette, Enrique; Herrera-Estrella, Alfredo","","","","FUNGAL BIOLOGY","APR 2016","2016","120","4","","","","500","512","","10.1016/j.funbio.2016.01.007","","","37","3.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","4","8","3","6","4","0"
"An Adult Zebrafish Model Reveals that Mucormycosis Induces Apoptosis of Infected Macrophages","Lopez-Munoz, Azucena; Nicolas, Francisco E.; Garcia-Moreno, Diana; Perez-Oliva, Ana B.; Navarro-Mendoza, Maria I.; Hernandez-Onate, Miguel A.; Herrera-Estrella, Alfredo; Torres-Martinez, Santiago; Ruiz-Vazquez, Rosa M.; Garre, Victoriano; Mulero, Victoriano","","","","SCIENTIFIC REPORTS","AUG 24 2018","2018","8","","","","","","","12802","10.1038/s41598-018-30754-6","","","32","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","6","4","5","5","6","0"
