Jimenez-Cruz, Federico (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Ultra-deep oxidative desulfurization of diesel fuel by the Mo/Al2O3-H2O2 system:: The effect of system parameters on catalytic activity","Garcia-Gutierrez, Jose Luis; Fuentes, Gustavo A.; Hernandez-Teran, Maria Eugenia; Garcia, Ponciano; Murrieta-Guevara, Florentino; Jimenez-Cruz, Federico","","","","APPLIED CATALYSIS A-GENERAL","JAN 2008","2008","334","1-2","","","","366","373","","10.1016/j.apcata.2007.10.024","","","231","12.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","10","14","12","7","11","12","14","17","24","16","18","18","16","13","17","8","1"
"Ultra-deep oxidative desulfurization of diesel fuel with H2O2 catalyzed under mild conditions by polymolybdates supported on Al2O3","Garcia-Gutierrez, Jos Luis; Fuentes, Gustavo A.; Hernádez-Teran, Maria Eugenia; Murrieta, Florentino; Navarrete, Juan; Jimenez-Cruz, Federico","","","","APPLIED CATALYSIS A-GENERAL","MAY 17 2006","2006","305","1","","","","15","20","","10.1016/j.apcata.2006.01.027","","","167","8.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","7","12","9","8","11","11","6","8","13","15","25","12","13","4","2","3","5","0"
"Corrosion inhibitor activity of 1,3-diketone malonates for mild steel in aqueous hydrochloric acid solution","Fragoza-Mar, Lubanski; Olivares-Xometl, Octavio; Dominguez-Aguilar, Marco A.; Flores, Eugenio A.; Arellanes-Lozada, Paulina; Jimenez-Cruz, Federico","","","","CORROSION SCIENCE","AUG 2012","2012","61","","","","","171","184","","10.1016/j.corsci.2012.04.031","","","128","9.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","18","21","10","10","6","8","7","11","13","6","7","2"
"CHARACTERIZATION AND GENE CLONING OF NEUROTACTIN, A DROSOPHILA TRANSMEMBRANE PROTEIN RELATED TO CHOLINESTERASES","DELAESCALERA, S; BOCKAMP, EO; MOYA, F; PIOVANT, M; JIMENEZ, F","","","","EMBO JOURNAL","NOV 1990","1990","9","11","","","","3593","3601","","10.1002/j.1460-2075.1990.tb07570.x","","","126","3.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","4","9","11","7","7","2","6","8","7","3","5","5","4","2","3","4","0","3","3","1","5","5","0","2","2","0","1","0","1","2","1","1","2","0"
"BACILLUS-SUBTILIS PHAGE PHI-29 - CHARACTERIZATION OF GENE PRODUCTS AND FUNCTIONS","CARRASCOSA, JL; CAMACHO, A; MORENO, F; JIMENEZ, F; MELLADO, RP; VINUELA, E; SALAS, M","","","","EUROPEAN JOURNAL OF BIOCHEMISTRY","1976","1976","66","2","","","","229","241","","10.1111/j.1432-1033.1976.tb10512.x","","","124","2.48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","4","5","3","7","7","4","5","5","8","5","5","6","3","2","2","2","6","3","1","3","1","0","3","2","0","2","5","0","0","3","0","2","1","0","4","0","0","2","1","0","0","0","0","2","0","1","1","0"
"DROSOPHILA NEUROTACTIN MEDIATES HETEROPHILIC CELL-ADHESION","BARTHALAY, Y; HIPEAUJACQUOTTE, R; DELAESCALERA, S; JIMENEZ, F; PIOVANT, M","","","","EMBO JOURNAL","NOV 1990","1990","9","11","","","","3603","3609","","10.1002/j.1460-2075.1990.tb07571.x","","","89","2.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","5","8","6","6","3","5","5","4","4","3","5","2","1","2","1","1","2","1","1","2","1","0","0","1","2","0","0","1","4","2","0","0","0"
"Oxidative desulfurization of diesel using promising heterogeneous tungsten catalysts and hydrogen peroxide","Luis Garcia-Gutierrez, Jose; Laredo, Georgina C.; Garcia-Gutierrez, Ponciano; Jimenez-Cruz, Federico","","","","FUEL","DEC 15 2014","2014","138","","","","","118","125","","10.1016/j.fuel.2014.07.049","","","67","5.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","9","12","10","6","9","1","8","5","0","2"
"ASSEMBLY OF BACILLUS-SUBTILIS PHAGE-PHI29 .2. MUTANTS IN CISTRONS CODING FOR NON-STRUCTURAL PROTEINS","JIMENEZ, F; CAMACHO, A; DELATORRE, J; VINUELA, E; SALAS, M","","","","EUROPEAN JOURNAL OF BIOCHEMISTRY","1977","1977","73","1","","","","57","72","","10.1111/j.1432-1033.1977.tb11291.x","","","57","1.16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","5","4","4","2","3","3","2","0","1","3","0","1","1","1","1","0","0","2","0","2","2","1","2","4","0","2","2","1","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ASSEMBLY OF BACILLUS-SUBTILIS PHAGE-PHI-29 .1. MUTANTS IN CISTRONS CODING FOR STRUCTURAL PROTEINS","CAMACHO, A; JIMENEZ, F; DELATORRE, J; CARRASCOSA, JL; MELLADO, RP; VASQUEZ, C; VINUELA, E; SALAS, M","","","","EUROPEAN JOURNAL OF BIOCHEMISTRY","1977","1977","73","1","","","","39","55","","10.1111/j.1432-1033.1977.tb11290.x","","","55","1.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","4","3","2","3","3","1","1","2","2","2","0","3","2","1","1","2","0","1","3","0","1","3","1","0","0","0","1","0","2","1","1","1","1","0","0","0","0","0","0","0","2","0","0","0","0"
"Molecular size evaluation of linear and branched paraffins from the gasoline pool by DFT quantum chemical calculations","Jiménez-Cruz, F; Laredo, GC","","","","FUEL","NOV 2004","2004","83","16","","","","2183","2188","","10.1016/j.fuel.2004.06.010","","","50","2.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","2","4","2","1","4","1","1","3","1","3","5","6","4","3","5","0"
