Likhanova, Natalya, V (Author)
Timespan: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Quantum chemical study of the inhibitive properties of 2-pyridyl-azoles","Gómez, B; Likhanova, NV; Domínguez-Aguilar, MA; Martínez-Palou, R; Vela, A; Gázquez, JL","","","","JOURNAL OF PHYSICAL CHEMISTRY B","MAY 11 2006","2006","110","18","","","","8928","8934","","10.1021/jp057143y","","","313","15.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","6","7","9","16","4","7","5","19","24","22","19","14","15","31","34","42","25","8"
"Electrochemical and XPS studies of decylamides of α-amino acids adsorption on carbon steel in acidic environment","Olivares, O; Likhanova, NV; Gómez, B; Navarrete, J; Llanos-Serrano, ME; Arce, E; Hallen, JM","","","","APPLIED SURFACE SCIENCE","FEB 15 2006","2006","252","8","","","","2894","2909","","10.1016/j.apsusc.2005.04.040","","","313","15.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","8","12","21","24","16","22","21","16","23","16","27","20","14","22","18","14","11","5"
"The effect of ionic liquids with imidazolium and pyridinium cations on the corrosion inhibition of mild steel in acidic environment","Likhanova, Natalya V.; Dominguez-Aguilar, Marco A.; Olivares-Xometl, Octavio; Nava-Entzana, Noel; Arce, Elsa; Dorantes, Hector","","","","CORROSION SCIENCE","JUN 2010","2010","52","6","","","","2088","2097","","10.1016/j.corsci.2010.02.030","","","243","15.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","5","9","18","18","15","26","19","25","23","26","26","12","14","1"
"Influence of the alkyl chain length of 2 amino 5 alkyl 1,3,4 thiadiazole compounds on the corrosion inhibition of steel immersed in sulfuric acid solutions","Palomar-Pardave, M.; Romero-Romo, M.; Herrera-Hernandez, H.; Abreu-Quijano, M. A.; Likhanova, Natalya V.; Uruchurtu, J.; Juarez-Garcia, J. M.","","","","CORROSION SCIENCE","JAN 2012","2012","54","","","","","231","243","","10.1016/j.corsci.2011.09.020","","","132","9.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","8","13","11","7","8","8","15","7","19","16","7","2"
"Adsorption and performance of ammonium-based ionic liquids as corrosion inhibitors of steel","Arellanes-Lozada, Paulina; Olivares-Xometl, Octavio; Likhanova, Natalya V.; Lijanova, Irina V.; Vargas-Garcia, Jorge R.; Hernandez-Ramirez, Raquel E.","","","","JOURNAL OF MOLECULAR LIQUIDS","SEP 1 2018","2018","265","","","","","151","163","","10.1016/j.molliq.2018.04.153","","","115","14.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","25","20","14","17","16","4"
"Surface analysis of inhibitor films formed by imidazolines and amides on mild steel in an acidic environment","Olivares-Xometl, O; Likhanova, NV; Domínguez-Aguilar, MA; Hallen, JM; Zamudio, LS; Arce, E","","","","APPLIED SURFACE SCIENCE","JAN 15 2006","2006","252","6","","","","2139","2152","","10.1016/j.apsusc.2005.03.178","","","111","5.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","4","7","4","6","3","6","3","5","11","5","6","11","3","6","6","10","10","0"
"Synthesis and corrosion inhibition of α-amino acids alkylamides for mild steel in acidic environment","Olivares-Xometl, O.; Likhanova, N. V.; Dominguez-Aguilar, M. A.; Arce, E.; Dorantes, H.; Arellanes-Lozada, P.","","","","MATERIALS CHEMISTRY AND PHYSICS","AUG 15 2008","2008","110","2-3","","","","344","351","","10.1016/j.matchemphys.2008.02.010","","","106","5.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","9","6","11","7","6","3","4","7","4","8","7","6","12","9","0"
"Synthesis of Selected Vinylimidazolium Ionic Liquids and Their Effectiveness as Corrosion Inhibitors for Carbon Steel in Aqueous Sulfuric Acid","Guzman-Lucero, Diego; Olivares-Xometl, Octavio; Martinez-Palou, Rafael; Likhanova, Natalya V.; Dominguez-Aguilar, Marco A.; Garibay-Febles, Vicente","","","","INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH","JUN 15 2011","2011","50","12","","","","7129","7140","","10.1021/ie1024744","","","94","6.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","1","5","13","8","6","11","4","10","11","8","4","6","1"
"Sodium phthalamates as corrosion inhibitors for carbon steel in aqueous hydrochloric acid solution","Flores, Eugenio A.; Olivares, Octavio; Likhanova, Natalya V.; Dominguez-Aguilar, Marco A.; Nava, Noel; Guzman-Lucero, Diego; Corrales, Monica","","","","CORROSION SCIENCE","DEC 2011","2011","53","12","","","","3899","3913","","10.1016/j.corsci.2011.07.023","","","84","5.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","9","6","5","8","8","6","4","12","7","4","5","0"
"Theoretical study of a new group of corrosion inhibitors","Gómez, B; Likhanova, NV; Aguilar, MAD; Olivares, O; Hallen, JM; Martínez-Magadán, JA","","","","JOURNAL OF PHYSICAL CHEMISTRY A","OCT 6 2005","2005","109","39","","","","8950","8957","","10.1021/jp052188k","","","82","3.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","5","7","4","3","7","5","5","3","4","4","3","7","6","3","5","4","0"
