Bernardo LÃ³pez Sosa (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"A Prospective Study of the Exploitation of Pelagic Sargassum spp. as a Solid Biofuel Energy Source","Bernardo Lopez-Sosa, Luis; Juan Alvarado-Flores, Jose; Carlos Corral-Huacuz, Juan; Aguilera-Mandujano, Arturo; Rodriguez-Martinez, Rosa E.; Jose Guevara-Martinez, Santiago; Victor Alcaraz-Vera, Jorge; Guadalupe Rutiaga-Quinones, Jose; Zarate-Medina, Juan; Liliana Avalos-Rodriguez, Maria; Morales-Maximo, Mario","","","","APPLIED SCIENCES-BASEL","DEC 2020","2020","10","23","","","","","","8706","10.3390/app10238706","","","24","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","4","10","1"
"Exploitation of Wood Waste of Pinus spp for Briquette Production: A Case Study in the Community of San Francisco Pichataro, Michoacan, Mexico","Morales-Maximo, M.; Ruiz-Garcia, V. M.; Lopez-Sosa, L. B.; Rutiaga-Quinones, J. G.","","","","APPLIED SCIENCES-BASEL","FEB 2020","2020","10","8","","","","","","2933","10.3390/app10082933","","","19","3.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","6","3","5","0"
"Rural Solar Cookers, an alternative to reduce the timber resource extraction through the use of renewable energy sources: technology transfer and monitoring project","Lopez Sosa, Luis Bernardo; Gonzalez Aviles, Mauricio; Gonzalez Perez, Dante; Solis Gutierrez, Yuritzi","","","Lentz, A; Renne, D","2013 ISES SOLAR WORLD CONGRESS","2014","2014","57","","","","","1593","1602","","10.1016/j.egypro.2014.10.151","ISES Solar World Congress (SWC)","NOV 03-07, 2013","19","1.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","4","1","1","7","0","1","1"
"Ecological solar absorber coating: A proposal for the use of residual biomass and recycled materials for energy conversion","Bernardo Lopez-Sosa, Luis; Gonzalez-Aviles, Mauricio; Mariano Hernandez-Ramirez, Luis; Medina-Flores, Ariosto; Lopez-Luke, Tzarara; Bravo-Sanchez, Mariela; Zarate-Medina, Juan","","","","SOLAR ENERGY","MAY 15 2020","2020","202","","","","","238","248","","10.1016/j.solener.2020.03.102","","","17","2.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","1","3","3"
"A New Methodology for the Development of Appropriate Technology: A Case Study for the Development of a Wood Solar Dryer","Bernardo Lopez-Sosa, Luis; Nunez-Gonzalez, Jose; Beltran, Alberto; Morales-Maximo, Mario; Morales-Sanchez, Mario; Serrano-Medrano, Montserrat; Garcia, Carlos A.","","","","SUSTAINABILITY","OCT 2 2019","2019","11","20","","","","","","5620","10.3390/su11205620","","","16","2.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","7","2","2","1"
"Characterization of Agricultural Residues of Zea mays for Their Application as Solid Biofuel: Case Study in San Francisco Pichataro, Michoacan, Mexico","Nereida Morales-Maximo, Cindy; Bernardo Lopez-Sosa, Luis; Guadalupe Rutiaga-Quinones, Jose; Carlos Corral-Huacuz, Juan; Aguilera-Mandujano, Arturo; Fernando Pintor-Ibarra, Luis; Lopez-Miranda, Armando; Nicolas Delgado-Dominguez, Sharbaal; del Carmen Rodriguez-Magallon, Maria; Morales-Maximo, Mario","","","","ENERGIES","OCT 2022","2022","15","19","","","","","","6870","10.3390/en15196870","","","12","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","7","0"
"Analysis of Pyrolysis Kinetic Parameters Based on Various Mathematical Models for More than Twenty Different Biomasses: A Review","Alvarado Flores, Jose Juan; Alcaraz Vera, Jorge Victor; Avalos Rodriguez, Maria Liliana; Lopez Sosa, Luis Bernardo; Rutiaga Quinones, Jose Guadalupe; Pintor Ibarra, Luis Fernando; Montesino, Francisco Marquez; Zarraga, Roberto Aguado","","","","ENERGIES","SEP 2022","2022","15","18","","","","","","6524","10.3390/en15186524","","","11","2.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","5","3"
"COVID-19 Pandemic Effect on Energy Consumption in State Universities: Michoacan, Mexico Case Study","Bernardo Lopez-Sosa, Luis; Juan Alvarado-Flores, Jose; Jesus Marin-Aguilar, Teresita del Nino; Carlos Corral-Huacuz, Juan; Aguilera-Mandujano, Arturo; Manuel Rodriguez-Torres, Gerardo; Morales-Maximo, Mario; del Carmen Rodriguez-Magallon, Maria; Victor Alcaraz-Vera, Jorge; Liliana Avalos-Rodriguez, Maria; Guadalupe Rutiaga-Quinones, Jose; Eloisa Rodriguez-Olalde, Nancy; del Carmen Flores-Armenta, Magaly; Garcia, Carlos A.","","","","ENERGIES","NOV 2021","2021","14","22","","","","","","7642","10.3390/en14227642","","","11","2.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","2","4","0"
"Towards the construction of a sustainable rural energy system: Case study of an indigenous community in Mexico","Bernardo Lopez-Sosa, Luis; Garcia, Carlos A.","","","","ENERGY FOR SUSTAINABLE DEVELOPMENT","OCT 2022","2022","70","","","","","524","536","","10.1016/j.esd.2022.08.022","","","10","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","7","0"
"A comprehensive analysis of the optical and thermal performance of solar absorber coatings under concentrated flux conditions","Martinez-Manuel, Leopoldo; Gonzalez-Canche, Nancy G.; Lopez-Sosa, Luis B.; Carrillo, Jose G.; Wang, Wujun; Pineda-Arellano, Carlos A.; Cervantes, Fernando; Gil, Juan Jose Alvarado; Pena-Cruz, Manuel I.","","","","SOLAR ENERGY","JUN 2022","2022","239","","","","","319","336","","10.1016/j.solener.2022.05.015","","","8","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","2","0"
