Jose-Manuel Martinez-Magadan (Author)
Timespan: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Asphaltene aggregation under vacuum at different temperatures by molecular dynamics","Pacheco-Sánchez, JH; Zaragoza, IP; Martínez-Magadán, JM","","","","ENERGY & FUELS","SEP-OCT 2003","2003","17","5","","","","1346","1355","","10.1021/ef020226i","","","124","5.39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","3","0","2","3","6","0","4","4","7","9","9","7","11","9","16","14","9","5","1"
"Morphology of aggregated asphaltene structural models","Pacheco-Sánchez, JH; Alvarez-Ramírez, F; Martínez-Magadán, JM","","","","ENERGY & FUELS","NOV-DEC 2004","2004","18","6","","","","1676","1686","","10.1021/ef049911a","","","93","4.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","1","4","4","5","1","6","3","6","4","7","8","11","4","7","3","8","3","0"
"Theoretical study of a new group of corrosion inhibitors","Gómez, B; Likhanova, NV; Aguilar, MAD; Olivares, O; Hallen, JM; Martínez-Magadán, JA","","","","JOURNAL OF PHYSICAL CHEMISTRY A","OCT 6 2005","2005","109","39","","","","8950","8957","","10.1021/jp052188k","","","82","3.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","5","7","4","3","7","5","5","3","4","4","3","7","6","3","5","4","0"
"Deep oxidative desulfurization with simultaneous oxidative denitrogenation of diesel fuel and straight run gas oil","Palomeque-Santiago, Jorge F.; Lopez-Medina, Ricardo; Oviedo-Roa, Raul; Navarrete-Bolanos, Juan; Mora-Vallejo, Rodolfo; Ascencion Montoya-de la Fuente, J.; Manuel Martinez-Magadan, Jose","","","","APPLIED CATALYSIS B-ENVIRONMENTAL","NOV 15 2018","2018","236","","","","","326","337","","10.1016/j.apcatb.2018.04.079","","","80","10.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","16","14","13","12","11","9","3"
"Dissipative particle dynamics study of order-order phase transition of BCC, HPC, OBDD, and LAM structures of the poly(styrene)-poly(isoprene) diblock copolymer","Soto-Figueroa, Cesar; Rodriguez-Hidalgo, Maria-del-Rosario; Martinez-Magadan, Jose-Manuel; Vicente, Luis","","","","MACROMOLECULES","MAY 13 2008","2008","41","9","","","","3297","3304","","10.1021/ma7028264","","","55","3.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","1","4","3","11","0","2","6","0","4","5","2","0","4","1","3","0"
"On the geometric structure of the (0001)hematite surface","Alvarez-Ramírez, F; Martínez-Magadán, JM; Gomes, JRB; Illas, F","","","","SURFACE SCIENCE","JUN 1 2004","2004","558","1-3","","","","4","14","","10.1016/j.susc.2004.04.009","","","49","2.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","3","1","2","4","2","3","2","2","2","8","5","1","3","3","3","1","0","0"
"DFT study of the interaction between ethanethiol and Fe-containing ionic liquids for desulfuration of natural gasoline","Martinez-Magadan, Jose-Manuel; Oviedo-Roa, Raul; Garcia, Paloma; Martinez-Palou, Rafael","","","","FUEL PROCESSING TECHNOLOGY","MAY 2012","2012","97","","","","","24","29","","10.1016/j.fuproc.2012.01.007","","","46","3.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","8","4","1","3","4","3","2","3","2","4","5","1"
"Self-organization process of ordered structures in linear and star poly(styrene)-poly(isoprene) block copolymers:: Gaussian models and mesoscopic parameters of polymeric systems","Soto-Figueroa, Cesar; Vicente, Luis; Martinez-Magadan, Jose-Manuel; Rodriguez-Hidalgo, Maria-del-Rosario","","","","JOURNAL OF PHYSICAL CHEMISTRY B","OCT 11 2007","2007","111","40","","","","11756","11764","","10.1021/jp074122q","","","44","2.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","2","5","3","5","3","1","4","2","2","3","1","2","3","0","0","0"
"Application of molecular simulation to calculate miscibility of a model asphaltene molecule","Vicente, L; Soto, C; Pacheco-Sánchez, H; Hernández-Trujillo, J; Martinez-Magadán, JM","","","","FLUID PHASE EQUILIBRIA","JAN 5 2006","2006","239","1","","","","100","106","","10.1016/j.fluid.2005.11.001","","","42","2.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","4","3","4","1","3","2","1","1","1","3","3","1","2","3","2","3","0"
"Theoretical studies of ionic conductivity of crosslinked chitosan membranes","Chavez, Ernesto Lopez; Oviedo-Roa, R.; Contreras-Perez, Gustavo; Manuel Martinez-Magadan, Jose; Castillo-Alvarado, F. L.","","","","INTERNATIONAL JOURNAL OF HYDROGEN ENERGY","NOV 2010","2010","35","21","","","SI","12141","12146","","10.1016/j.ijhydene.2009.06.083","","","40","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","3","5","2","5","1","3","6","4","1","3","3","0"
