antonio martinez-richa (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"USE OF 4-BIPHENYLMETHANOL, 4-BIPHENYLACETIC ACID, AND 4-BIPHENYLCARBOXYLIC ACID TRIPHENYLMETHANE AS INDICATORS IN THE TITRATION OF LITHIUM ALKYLS - STUDY OF THE DIANION OF 4-BIPHENYLMETHANOL","JUARISTI, E; MARTINEZRICHA, A; GARCIARIVERA, A; CRUZSANCHEZ, JS","","","","JOURNAL OF ORGANIC CHEMISTRY","1983","1983","48","15","","","","2603","2606","","10.1021/jo00163a038","","","99","2.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","3","3","4","4","6","2","5","2","5","2","7","7","7","1","6","8","5","0","3","3","0","2","1","0","0","3","0","2","1","0","0","0","1","0","2","0","0","1","0"
"One-step route to α-hydroxyl-ω-(carboxylic acid) polylactones using catalysis by decamolybdate anion","Báez, JE; Martínez-Richa, A; Marcos-Fernández, A","","","","MACROMOLECULES","MAR 8 2005","2005","38","5","","","","1599","1608","","10.1021/ma0491098","","","51","2.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","2","1","3","6","1","1","2","2","4","6","2","2","1","3","3","2","3","2"
"Ring-opening polymerization of lactones catalyzed by decamolybdate anion","Báez, JE; Martínez-Rosales, M; Martínez-Richa, A","","","","POLYMER","OCT 2003","2003","44","22","","","","6767","6772","","10.1016/j.polymer.2003.08.027","","","42","1.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","0","0","0","2","8","2","1","2","3","2","4","0","5","0","1","1","1","1","1"
"A solid-state <SUP>13</SUP>C NMR analysis of ambers","Martínez-Richa, A; Vera-Graziano, R; Rivera, A; Joseph-Nathan, P","","","","POLYMER","JAN 2000","2000","41","2","","","","743","750","","10.1016/S0032-3861(99)00195-0","","","39","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","3","2","0","2","0","5","3","1","3","2","2","2","2","2","0","3","1","2","1","0"
"A novel route to α,ω-telechelic poly(ε-caprolactone) diols, precursors of biodegradable polyurethanes, using catalysis by decamolybdate anion","Baez, Jose E.; Marcos-Fernandez, Angel; Lebron-Aguilar, Rosa; Martinez-Richa, Antonio","","","","POLYMER","DEC 8 2006","2006","47","26","","","","8420","8429","","10.1016/j.polymer.2006.10.023","","","37","1.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","3","2","2","0","5","1","2","0","4","2","4","2","1","2","2"
"Comparative study of bone cements prepared with either HA or α-TCP and functionalized methacrylates","Canul-Chuil, A; Vargas-Coronado, R; Cauich-Rodríguez, JV; Martínez-Richa, A; Fernandez, E; Nazhat, SN","","","","JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS","2003","2003","64B","1","","","","27","37","","10.1002/jbm.b.10486","","","37","1.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","4","3","1","2","5","2","2","5","2","0","0","0","2","0","1","2","2","0"
"Electrical conductivity of an all-natural and biocompatible semi-interpenetrating polymer network containing a deep eutectic solvent","Gachuz, Edwin J.; Castillo-Santillan, Martin; Juarez-Moreno, Karla; Maya-Cornejo, Jose; Martinez-Richa, Antonio; Andrio, Andreu; Compan, Vicente; Mota-Morales, Josue D.","","","","GREEN CHEMISTRY","SEP 7 2020","2020","22","17","","","","5785","5797","","10.1039/d0gc02274h","","","36","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","7","13","4","2"
"Enzymatic ring-opening polymerization of ε-caprolactone by a new lipase from Yarrowia lipolytica","Barrera-Rivera, Karla A.; Flores-Carreon, Arturo; Martinez-Richa, Antonio","","","","JOURNAL OF APPLIED POLYMER SCIENCE","JUL 15 2008","2008","109","2","","","","708","719","","10.1002/app.28116","","","36","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","3","2","2","2","5","2","3","4","2","4","1","0","0","1","0"
"Characterization of bone cements prepared with functionalized methacrylates and hydroxyapatite","Islas-Blancas, ME; Cervantes-Uc, JM; Vargas-Coronado, R; Cauich-Rodríguez, JV; Vera-Graziano, R; Martinez-Richa, A","","","","JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION","2001","2001","12","8","","","","893","910","","10.1163/156856201753113088","","","32","1.28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","1","2","3","3","2","0","2","3","1","1","0","1","0","2","1","1","2","1","0","0"
"TiO2 Photocatalytic Degradation of Diclofenac: Intermediates and Total Reaction Mechanism","Moctezuma, Edgar; Leyva, Elisa; Lara-Perez, Carmen; Noriega, Saul; Martinez-Richa, Antonio","","","","TOPICS IN CATALYSIS","AUG 2020","2020","63","5-6","","","SI","601","615","","10.1007/s11244-020-01262-7","","","31","5.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","6","4","13","4"
