Martinez-Sanchez, Jose Luis (Author)
Timespan: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Nitrogen and phosphorus resorption in a neotropical rain forest of a nutrient-rich soil","Martínez-Sánchez, JL","","","","REVISTA DE BIOLOGIA TROPICAL","SEP-DEC 2005","2005","53","3-4","","","","353","359","","","","","15","0.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","1","1","0","1","3","2","1","0","0","1","1","1","0","0","0"
"Diversity, structure and carbon of the arboreal vegetation on cocoa agroforestry systems","Salvador-Morales, Pedro; del Carmen Camara-Cabrales, Luisa; Luis Martinez-Sanchez, Jose; Sanchez-Hernandez, Rufo; Valdes-Velarde, Eduardo","","","","MADERA Y BOSQUES","SPR 2019","2019","25","1","","","","","","e2511638","10.21829/myb.2019.2511638","","","10","1.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","2","3","1"
"Species-specific or generic allometric equations: which option is better when estimating the biomass of Mexican tropical humid forests?","Martinez-Sanchez, Jose Luis; Martinez-Garza, Cesar; Camara, Luisa; Castillo, Ofelia","","","","CARBON MANAGEMENT","MAY 3 2020","2020","11","3","","","","241","249","","10.1080/17583004.2020.1738823","","","9","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","1","2","1"
"Relationship between structural diversity and carbon stocks in humid and sub-humid tropical forest of Mexico","Martinez-Sanchez, Jose L.; Tigar, Barbara J.; Camara, Luisa; Castillo, Ofelia","","","","ECOSCIENCE","2015","2015","22","2-4","","","","125","131","","10.1080/11956860.2016.1169384","","","8","0.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","2","0","0","2","0","0"
"Comparison of the structural diversity between a humid and subhumid tropical forest in Tabasco, Mexico","Luis Martinez-Sanchez, Jose","","","","MADERA Y BOSQUES","2016","2016","22","2","","","","29","40","","10.21829/myb.2016.2221322","","","6","0.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","1","0","0","0","1"
"Effect of hurricane Dean on the structural dynamics of rain forest under forest management in Quintana Roo, Mexico","Pat-Ake, Ismael; del Carmen Camara-Cabrales, Luisa; Ward, Sheyla; Martinez-Zurimendi, Pablo; Luis Martinez-Sanchez, Jose; Negreros-Castillo, Patricia; Sorensen, NaDine","","","","MADERA Y BOSQUES","SUM 2018","2018","24","2","","","","","","UNSP e2421585","10.21829/myb.2018.2421585","","","3","0.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0"
"Genetic diversity of the red cedar (Cedrela odorata) in the state of Tabasco, Mexico","Lesher-Gordillo, Julia Ma; Luis Martinez-Sanchez, Jose; Orduna-Rodas, Patricia; Isabel Hernandez-Carreta, Ana","","","","BOSQUE","2018","2018","39","3","","","","411","417","","10.4067/S0717-92002018000300411","","","3","0.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0"
"Light-related variation in sapling architecture of three shade-tolerant tree species of the Mexican rain forest","Martinez-Sanchez, Jose Luis; Meave, Jorge A.; Bongers, Frans","","","","REVISTA CHILENA DE HISTORIA NATURAL","SEP 2008","2008","81","3","","","","361","371","","","","","3","0.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0"
"Nitrogen and phosphorus resorption in trees of a neotropical rain forest","Martínez-Sánchez, JL","","","","JOURNAL OF TROPICAL ECOLOGY","JUL 2003","2003","19","","4","","","465","468","","10.1017/S026646740300350X","","","3","0.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Structure and specific carbon in a chronosequence of Teobroma cocoa L. agroforestry systems in Tabasco, Mexico","Salvador-Morales, Pedro; Luis Martinez-Sanchez, Jose; Camara Cabrales, Luisa; Zequeira Ramos, Carolina","","","","MADERA Y BOSQUES","FAL 2020","2020","26","3","","","","","","e2632131","10.21829/myb.2020.2632131","","","2","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
