marco a moreno v (Author)
Timespan: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"A Mobile Information System Based on Crowd-Sensed and Official Crime Data for Finding Safe Routes: A Case Study of Mexico City","Mata, Felix; Torres-Ruiz, Miguel; Guzman, Giovanni; Quintero, Rolando; Zagal-Flores, Roberto; Moreno-Ibarra, Marco; Loza, Eduardo","","","","MOBILE INFORMATION SYSTEMS","2016","2016","2016","","","","","1","11","8068209","10.1155/2016/8068209","","","29","2.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","7","3","4","2","1"
"A cross-domain framework for designing healthcare mobile applications mining social networks to generate recommendations of training and nutrition planning","Mata, Felix; Torres-Ruiz, Miguel; Zagal, Roberto; Guzman, Giovanni; Moreno-Ibarra, Marco; Quintero, Rolando","","","","TELEMATICS AND INFORMATICS","JUL 2018","2018","35","4","","","","837","853","","10.1016/j.tele.2017.04.005","","","23","2.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","4","4","1","4","0"
"Similarity assessment between multiple geographic representations","Solano, Sergio; Moreno-Ibarra, Marco; Torres, Miguel; Quintero, Rolando","","","Rocha, A; CalvoManzano, JA; Reis, LP; Cota, MP","7TH IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES (CISTI 2012)","2012","2012","","","","","","","","","","7th Iberian Conference on Information Systems and Technologies (CISTI)","JUN 20-23, 2012","21","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","4","2","0","7","4","0"
"An ontology-based approach for representing the interaction process between user profile and its context for collaborative learning environments","Luna, Vladimir; Quintero, Rolando; Torres, Miguel; Moreno-Ibarra, Marco; Guzman, Giovanni; Escamilla, Imelda","","","","COMPUTERS IN HUMAN BEHAVIOR","OCT 2015","2015","51","","B","","SI","1387","1394","","10.1016/j.chb.2014.10.004","","","16","1.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","2","4","1","1","0","0","0","0"
"GEONTO-MET: an approach to conceptualizing the geographic domain","Torres, Miguel; Quintero, Rolando; Moreno-Ibarra, Marco; Menchaca-Mendez, Rolando; Guzman, Giovanni","","","","INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","2011","2011","25","10","","","","1633","1657","","10.1080/13658816.2010.539183","","","12","0.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","1","1","0","2","0","0","0","2","0","0"
"Ontology-driven description of spatial data for their semantic processing","Torres, M; Quintero, R; Moreno, M; Fonseca, F","","","Rodriquez, MA; Cruz, IF; Egenhofer, MJ; Levashkin, S","GEOSPATIAL SEMANTICS, PROCEEDINGS","2005","2005","3799","","","","","242","249","","","1st International Conference on GeoSpatial Semantics (GeoS 2005)","NOV 29-30, 2005","11","0.52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","2","0","3","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"A collaborative learning approach for geographic information retrieval based on social networks","Mata-Rivera, Felix; Torres-Ruiz, Miguel; Guzman, Giovanni; Moreno-Ibarra, Marco; Quintero, Rolando","","","","COMPUTERS IN HUMAN BEHAVIOR","OCT 2015","2015","51","","B","","SI","829","842","","10.1016/j.chb.2014.11.069","","","10","0.91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","1","1","2","0","0","1","0"
"A Probabilistic Approach to Location Estimation in MANETs","Pineda-Briseno, Anabel; Menchaca-Mendez, Rolando; Chavez, Edgar; Guzman, Giovanni; Menchaca-Mendez, Ricardo; Quintero, Rolando; Torres, Miguel; Moreno, Marco; Diaz-de-Leon, J. L.","","","","AD HOC & SENSOR WIRELESS NETWORKS","2015","2015","28","1-2","","","","97","114","","","","","10","0.91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1","0","1","1","1","1","0","0","0"
"A Collaborative Framework for Sensing Abnormal Heart Rate Based on a Recommender System: Semantic Recommender System for Healthcare","Guzman, Giovanni; Torres-Ruiz, Miguel; Tambonero, Vianney; Lytras, Miltiadis D.; Lopez-Ramirez, Blanca; Quintero, Rolando; Moreno-Ibarra, Marco; Alhalabi, Wadee","","","","JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING","DEC 2018","2018","38","6","","","SI","1026","1045","","10.1007/s40846-018-0421-y","","","8","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","3","2","1","0","0"
"Environmental Noise Sensing Approach Based on Volunteered Geographic Information and Spatio-Temporal Analysis with Machine Learning","Torres-Ruiz, Miguel; Juarez-Hipolito, Juan H.; Lytras, Miltiadis Demetrios; Moreno-Ibarra, Marco","","","Gervasi, O; Murgante, B; Misra, S; Rocha, AMAC; Torre, CM; Tanier, D; Apduhan, BO; Stankova, E; Wang, S","COMPUTATIONAL SCIENCE AND ITS APPLICATIONS - ICCSA 2016, PT IV","2016","2016","9789","","","","","95","110","","10.1007/978-3-319-42089-9_7","16th International Conference on Computational Science and Its Applications (ICCSA)","JUL 04-07, 2016","7","0.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","2","0","1","0"
