Murrieta-Guevara, Florentino R. (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Ultra-deep oxidative desulfurization of diesel fuel by the Mo/Al2O3-H2O2 system:: The effect of system parameters on catalytic activity","Garcia-Gutierrez, Jose Luis; Fuentes, Gustavo A.; Hernandez-Teran, Maria Eugenia; Garcia, Ponciano; Murrieta-Guevara, Florentino; Jimenez-Cruz, Federico","","","","APPLIED CATALYSIS A-GENERAL","JAN 2008","2008","334","1-2","","","","366","373","","10.1016/j.apcata.2007.10.024","","","231","12.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","10","14","12","7","11","12","14","17","24","16","18","18","16","13","17","8","1"
"Desulfurization of diesel by oxidation/extraction scheme:: influence of the extraction solvent","Ramírez-Verduzco, LF; Torres-García, E; Gómez-Quintana, R; González-Peña, V; Murrieta-Guevara, F","","","","CATALYSIS TODAY","NOV 24 2004","2004","98","1-2","","","","289","294","","10.1016/j.cattod.2004.07.042","International Symposium on Advances in Hydroprocessing of Oil Fractions","APR 18-22, 2004","159","7.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","6","12","10","8","7","9","6","17","12","9","5","7","11","5","7","8","7","3","1"
"SOLUBILITIES OF CARBON-DIOXIDE AND HYDROGEN-SULFIDE IN PROPYLENE CARBONATE, N-METHYLPYRROLIDONE AND SULFOLANE","MURRIETAGUEVARA, F; ROMEROMARTINEZ, A; TREJO, A","","","","FLUID PHASE EQUILIBRIA","NOV 1988","1988","44","1","","","","105","115","","10.1016/0378-3812(88)80106-7","","","122","3.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","4","2","1","2","0","2","2","0","1","0","2","1","0","1","1","1","0","2","2","3","4","2","9","10","6","7","6","8","10","11","9","4","5","0"
"LIQUID DENSITY AS A FUNCTION OF TEMPERATURE OF 5 ORGANIC-SOLVENTS","MURRIETAGUEVARA, F; RODRIGUEZ, AT","","","","JOURNAL OF CHEMICAL AND ENGINEERING DATA","1984","1984","29","2","","","","204","206","","10.1021/je00036a032","","","76","1.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","2","1","0","1","2","4","3","0","0","3","0","0","0","3","1","3","1","1","1","3","2","1","1","1","7","3","3","1","4","2","3","3","3","3","1","2","3","0"
"SOLUBILITY OF CARBON-DIOXIDE, HYDROGEN-SULFIDE, AND METHANE IN PURE AND MIXED-SOLVENTS","MURRIETAGUEVARA, F; RODRIGUEZ, AT","","","","JOURNAL OF CHEMICAL AND ENGINEERING DATA","1984","1984","29","4","","","","456","460","","10.1021/je00038a027","","","70","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","2","3","4","0","0","0","0","2","0","0","0","1","1","0","1","1","2","1","0","1","0","2","0","3","1","3","1","3","2","5","11","7","3","4","1"
"Influence of surface-phenomena in oxidative desulfurization with WOx/ZrO2 catalysts","Torres-García, E; Canizal, G; Velumani, S; Ramírez-Verduzco, LF; Murrieta-Guevara, F; Ascencio, JA","","","","APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING","DEC 2004","2004","79","8","","","","2037","2040","","10.1007/s00339-004-2668-0","","","42","1.91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","3","4","4","4","1","1","2","2","0","1","4","2","1","4","3","0","0","0","0"
"Solubility of CO2 in aqueous mixtures of diethanolamine with methyldiethanolamine and 2-amino-2-methyl-1-propanol","Murrieta-Guevara, F; Rebolledo-Libreros, ME; Romero-Martinez, A; Trejo, A","","","","FLUID PHASE EQUILIBRIA","SEP 1998","1998","150","","","","","721","729","","10.1016/S0378-3812(98)00352-5","13th Symposium on Thermophysical Properties","JUN 22-27, 1997","42","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","2","1","0","2","3","5","4","2","1","2","4","2","0","1","3","1","4","1","0"
"Liquid density of aqueous blended alkanolamines and N-methylpyrrolidone as a function of concentration and temperature","Aguila-Hernández, J; Gómez-Quintana, R; Murrieta-Guevara, F; Romero-Martínez, A; Trejo, A","","","","JOURNAL OF CHEMICAL AND ENGINEERING DATA","JUL-AUG 2001","2001","46","4","","","","861","867","","10.1021/je0002944","","","40","1.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","2","3","5","1","1","2","1","4","4","1","0","2","0","1","3","0","3","2","0","0"
"SOLUBILITY OF CARBON-DIOXIDE IN BINARY-MIXTURES OF N-METHYLPYRROLIDONE WITH ALKANOLAMINES","MURRIETAGUEVARA, F; REBOLLEDOLIBREROS, E; TREJO, A","","","","JOURNAL OF CHEMICAL AND ENGINEERING DATA","JAN 1992","1992","37","1","","","","4","7","","10.1021/je00005a002","","","34","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","0","2","0","1","0","0","0","3","0","1","1","3","0","0","1","1","0","2","1","1","1","1","2","4","2","1","0","0","1"
"Desulfurization of Low Sulfur Diesel by Adsorption Using Activated Carbon: Adsorption Isotherms","Marin-Rosas, Celia; Ramirez-Verduzco, Luis F.; Murrieta-Guevara, Florentino R.; Hernandez-Tapia, Gonzalo; Rodriguez-Otal, Luis M.","","","","INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH","MAY 5 2010","2010","49","9","","","","4372","4376","","10.1021/ie901756b","","","33","2.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","5","1","2","9","0","6","2","1","2","0","2","0"
