Nieto-Alvarez, David A. (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Adsorption of Zwitterionic Surfactant on Limestone Measured with High-Performance Liquid Chromatography: Micelle Vesicle Influence","Aaron Nieto-Alvarez, David; Zamudio-Rivera, Luis S.; Luna-Rojero, Erick E.; Rodriguez-Otamendi, Dinora I.; Marin-Leon, Adlai; Hernandez-Altamirano, Raul; Mena-Cervantes, Violeta Y.; Eduardo Chavez-Miyauchi, Tomas","","","","LANGMUIR","OCT 21 2014","2014","30","41","","","","12243","12249","","10.1021/la501945t","","","32","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","4","2","4","6","6","4","3","0"
"Development of a Zwitterionic Compound Derived from β-Amino Acid as a Green Inhibitor for CO2 Corrosive Environments","Ramirez-Estrada, Alejandro; Mena-Cervantes, Violeta Y.; Elizalde, Ignacio; Manzo-Robledo, Arturo; Zamudio-Rivera, Luis S.; Nieto-Alvarez, David A.; Farelas, Fernando; Hernandez-Altamirano, Raul","","","","ACS SUSTAINABLE CHEMISTRY & ENGINEERING","NOV 2017","2017","5","11","","","","10396","10406","","10.1021/acssuschemeng.7b02434","","","26","2.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","5","5","2","6","1"
"Pyrrolizidine alkaloids from Senecio jacalensis and Senecio callosus","DeVivar, AR; Perez, AL; Vidales, P; Nieto, DA; Villasenor, JL","","","","BIOCHEMICAL SYSTEMATICS AND ECOLOGY","MAR 1996","1996","24","2","","","","175","176","","10.1016/0305-1978(96)00013-0","","","22","0.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","0","0","1","2","2","2","4","0","1","0","2","1","0","0","0","0","0","1","0","1","0","0","0","0","0"
"Pentasaccharide glycosides from the roots of Ipomoea murucoides","León, I; Enríquez, RG; Nieto, DA; Alonso, D; Reynolds, WF; Aranda, E; Villa, J","","","","JOURNAL OF NATURAL PRODUCTS","AUG 2005","2005","68","8","","","","1141","1146","","10.1021/np050075m","","","14","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","1","1","0","1","0","0","0","0","1","1","1","0","0","1","0","1","0"
"ISOCAPNELL-9-EN-8-ONE AND 6-ALPHA-HYDROXYISOCAPNELL-9-EN-8-ONE, SESQUITERPENES FROM BUDDLEIA SPECIES","DEVIVAR, AR; NIETO, DA; GAVINO, R; PEREZ, AL","","","","PHYTOCHEMISTRY","SEP 1995","1995","40","1","","","","167","170","","10.1016/0031-9422(95)00261-5","","","12","0.39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","1","0","1","1","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"New bis-di-organotin compounds derived from aminoacid-imine-hexadentate ligands. Multifunctional evaluation as corrosion inhibitors, antibacterials and asphaltene dispersants/inhibitors","Hernandez-Altamirano, Raul; Mena-Cervantes, Violeta Y.; Eduardo Chavez-Miyauchi, Tomas; Aaron Nieto-Alvarez, David; Dominguez-Aguilar, Marco A.; Zamudio-Rivera, Luis S.; Barba, Victor; Jose Fernandez-Perrino, Francisco; Perez-Miranda, Sandra; Beltran, Hiram I.","","","","POLYHEDRON","MAR 22 2013","2013","52","","","","SI","301","307","","10.1016/j.poly.2012.09.022","","","10","0.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","2","0","1","0","2","0","0","1"
"Molecular modeling, synthesis and characterization of branched geminal zwitterionic liquids for enhanced oil recovery","Cisneros-Devora, R.; Nieto-Alvarez, D. A.; Ceron-Camacho, R.; Perez-Alvarez, M.; Cartas-Rosado, A. R.; Oviedo-Roa, R.; Martinez-Magadan, J. M.; Zamudio-Rivera, L. S.; Pons-Jimenez, M.; Hernandez-Altamirano, R.; Mena-Cervantes, V. Y.","","","","ARABIAN JOURNAL OF CHEMISTRY","DEC 2019","2019","12","8","","","","4212","4219","","10.1016/j.arabjc.2016.05.011","","","8","1.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","2","0","1"
"Synthesis and characterization of new di-n-butylhydroxytin(IV) derived compounds from 1,3-diketone malonates","Nieto-Alvarez, DA; Jiménez-Cruz, F; Mancilla, T","","","","POLYHEDRON","MAR 1 2002","2002","21","4","","","","417","420","PII S0277-5387(01)01010-5","10.1016/S0277-5387(01)01010-5","","","8","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","1","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0"
"Synthesis and characterization of new di-n-butyl [bis{dimethyl-2-(3-oxo-5-phenyl(4-subtituted)-penten-5-ato)malonatesl]tin(IV):: The crystal structure of di-n-butyl[bls{dimethyl-2-[5-(4-nitrophenyl)-3-oxo-penten-5-ato]malonate}]tin(IV)","Nieto-Alvarez, DA; Jiménez-Cruz, F; Mancilla, T","","","","POLYHEDRON","JUN 28 2005","2005","24","9","","","","1054","1062","","10.1016/j.poly.2005.02.024","","","7","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","2","0"
"Foaming supramolecular surfactants for gas mobility control in naturally fractured carbonate reservoirs at high temperature, salinity, and hardness","Soto-Castruita, Enrique; Hernandez-Altamirano, Raul; Buenrostro-Gonzalez, Eduardo; Luna-Rojero, Erick-Emanuel; Ko-Kim, Sung Jae; Mena-Cervantes, Violeta-Yasmin; Pons-Jimenez, Mirna; Ramirez-Perez, Jorge-Francisco; Nieto-Alvarez, David-Aaron; Ceron-Camacho, Ricardo; Parra, Jose-Ernesto; Oviedo-Roa, Raul; Martinez-Magadan, Jose-Manuel; Cisneros-Devora, Rodolfo; Zamudio-Rivera, Luis-S","","","","PETROLEUM SCIENCE","DEC 2022","2022","19","6","","","","3134","3148","","10.1016/j.petsci.2022.06.013","","","6","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0"
