Pena-Cabrera, Eduardo (Author)
Timespan: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Twisted Intramolecular Charge Transfer and Aggregation-Induced Emission of BODIPY Derivatives","Hu, Rongrong; Lager, Erik; Aguilar-Aguilar, Angelica; Liu, Jianzhao; Lam, Jacky W. Y.; Sung, Herman H. Y.; Williams, Ian D.; Zhong, Yongchun; Wong, Kam Sing; Pena-Cabrera, Eduardo; Tang, Ben Zhong","","","","JOURNAL OF PHYSICAL CHEMISTRY C","SEP 10 2009","2009","113","36","","","","15845","15853","","10.1021/jp902962h","","","905","53.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","24","24","30","37","61","60","82","79","88","76","87","90","72","77","11"
"Synthesis, solvatochromism, aggregation-induced emission and cell imaging of tetraphenylethene-containing BODIPY derivatives with large Stokes shifts","Hu, Rongrong; Gomez-Duran, C. F. Azael; Lam, Jacky W. Y.; Belmonte-Vazquez, Jose L.; Deng, Chunmei; Chen, Sijie; Ye, Ruquan; Pena-Cabrera, Eduardo; Zhong, Yongchun; Wong, Kam Sing; Tang, Ben Zhong","","","","CHEMICAL COMMUNICATIONS","2012","2012","48","81","","","","10099","10101","","10.1039/c2cc35188a","","","202","14.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","26","25","23","23","17","24","13","15","14","4","4","0"
"The Smallest and One of the Brightest. Efficient Preparation and Optical Description of the Parent Borondipyrromethene System","Arroyo, Ismael J.; Hu, Rongrong; Merino, Gabriel; Tang, Ben Zhong; Pena-Cabrera, Eduardo","","","","JOURNAL OF ORGANIC CHEMISTRY","AUG 7 2009","2009","74","15","","","","5719","5722","","10.1021/jo901014w","","","160","9.41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","16","8","14","7","11","10","14","6","15","6","17","9","5","13","3"
"New 8-Amino-BODIPY Derivatives: Surpassing Laser Dyes at Blue-Edge Wavelengths","Banuelos, Jorge; Martin, Virginia; Azael Gomez-Duran, C. F.; Arroyo Cordoba, Ismael J.; Pena-Cabrera, Eduardo; Garcia-Moreno, Inmaculada; Costela, Angel; Eugenio Perez-Ojeda, M.; Arbeloa, Teresa; Lopez Arbeloa, Inigo","","","","CHEMISTRY-A EUROPEAN JOURNAL","JUN 2011","2011","17","26","","","","7261","7270","","10.1002/chem.201003689","","","143","9.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","21","12","19","12","11","9","10","11","10","8","5","8","0"
"Novel meso-Polyarylamine-BODIPY Hybrids: Synthesis and Study of Their Optical Properties","Lager, Erik; Liu, Jianzhao; Aguilar-Aguilar, Angelica; Tang, Ben Zhong; Pena-Cabrera, Eduardo","","","","JOURNAL OF ORGANIC CHEMISTRY","MAR 6 2009","2009","74","5","","","","2053","2058","","10.1021/jo802519b","","","124","7.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","11","11","14","9","14","9","7","8","7","5","2","11","5","4","0"
"8-PropargylaminoBODIPY: unprecedented blue-emitting pyrromethene dye. Synthesis, photophysics and laser properties","Azael Gomez-Duran, C. F.; Garcia-Moreno, Inmaculada; Costela, Angel; Martin, Virginia; Sastre, Roberto; Banuelos, Jorge; Lopez Arbeloa, Fernando; Lopez Arbeloa, Inigo; Pena-Cabrera, Eduardo","","","","CHEMICAL COMMUNICATIONS","2010","2010","46","28","","","","5103","5105","","10.1039/c0cc00397b","","","120","7.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","6","17","6","21","9","11","3","10","7","7","5","2","8","0"
"Simple, general, and efficient synthesis of meso-substituted borondipyrromethenes from a single platform","Pena-Cabrera, Eduardo; Aguilar-Aguilar, Angelica; Gonzalez-Dominguez, Martha; Lager, Erik; Zamudio-Vazquez, Rubi; Godoy-Vargas, Jazmin; Villanueva-Garcia, Fabian","","","","ORGANIC LETTERS","SEP 27 2007","2007","9","20","","","","3985","3988","","10.1021/ol7016615","","","109","5.74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","3","10","9","10","10","16","6","7","3","7","5","5","7","1","3","0"
"Effect of AIE Substituents on the Fluorescence of Tetraphenylethene-Containing BODIPY Derivatives","Gomez-Duran, Cesar F. Azael; Hu, Rongrong; Feng, Guangxue; Li, Tingzhong; Bu, Fan; Arseneault, Mathieu; Liu, Bin; Pena-Cabrera, Eduardo; Tang, Ben Zhong","","","","ACS APPLIED MATERIALS & INTERFACES","JUL 22 2015","2015","7","28","","","","15168","15176","","10.1021/acsami.5b05033","","","104","9.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","16","7","15","16","10","5","12","6","14","0"
"Development of background-free tame fluorescent probes for intracellular live cell imaging","Alamudi, Samira Husen; Satapathy, Rudrakanta; Kim, Jihyo; Su, Dongdong; Ren, Haiyan; Das, Rajkumar; Hu, Lingna; Alvarado-Martinez, Enrique; Lee, Jung Yeol; Hoppmann, Christian; Pena-Cabrera, Eduardo; Ha, Hyung-Ho; Park, Hee-Sung; Wang, Lei; Chang, Young-Tae","","","","NATURE COMMUNICATIONS","JUN 2016","2016","7","","","","","","","x","10.1038/ncomms11964","","","92","9.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","7","7","15","11","15","5","12","14","2"
"Modulation of singlet oxygen generation in halogenated BODIPY dyes by substitution at their meso position: towards a solvent-independent standard in the vis region","Epelde-Elezcano, Nerea; Martinez-Martinez, Virginia; Pena-Cabrera, Eduardo; Gomez-Duran, Cesar F. A.; Lopez Arbeloa, Inigo; Lacombe, Sylvie","","","","RSC ADVANCES","2016","2016","6","48","","","","41991","41998","","10.1039/c6ra05820e","","","87","8.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","8","15","16","9","8","10","10","1"
