Marcos Perez Sato (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Effects of long distance transportation and CO2 stunning on critical blood values in pigs","Mota-Rojas, D.; Becerril-Herrera, M.; Roldan-Santiago, P.; Alonso-Spilsbury, M.; Flores-Peinado, S.; Ramirez-Necoechea, R.; Ramirez-Telles, J. A.; Mora-Medina, P.; Perez, M.; Molina, E.; Soni, E.; Trujillo-Ortega, M. E.","","","","MEAT SCIENCE","APR 2012","2012","90","4","","","","893","898","","10.1016/j.meatsci.2011.11.027","","","60","4.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","10","12","5","2","8","1","4","6","2","2","3","0"
"Heavy metals in cow's milk and cheese produced in areas irrigated with waste water in Puebla, Mexico","Pompilio Castro-Gonzalez, Numa; Calderon-Sanchez, Francisco; Castro de Jesus, Jair; Moreno-Rojas, Rafael; Tamariz-Flores, Jose V.; Perez-Sato, Marcos; Soni-Guillermo, Eutiquio","","","","FOOD ADDITIVES & CONTAMINANTS PART B-SURVEILLANCE","2018","2018","11","1","","","","33","36","","10.1080/19393210.2017.1397060","","","42","5.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","13","4","7","8","1"
"Health risk due to chronic heavy metal consumption via cow's milk produced in Puebla, Mexico, in irrigated wastewater areas","Pompilio Castro-Gonzalez, Numa; Calderon-Sanchez, Francisco; Perez-Sato, Marcos; Soni-Guillermo, Eutiquio; Reyes-Cervantes, Erick","","","","FOOD ADDITIVES & CONTAMINANTS PART B-SURVEILLANCE","2019","2019","12","1","","","","38","44","","10.1080/19393210.2018.1520742","","","26","3.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","3","9","5","0"
"The effect of shrimp shell waste on ruminal bacteria and performance of lambs","Cobos, MA; Garcia, LE; González, SS; Barcena, JR; Hernández, DS; Pérez-Sato, M","","","","ANIMAL FEED SCIENCE AND TECHNOLOGY","FEB 25 2002","2002","95","3-4","","","","179","187","PII S0377-8401(01)00319-4","10.1016/S0377-8401(01)00319-4","","","16","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","3","3","2","0","1","2","1","0","0","0","0","0","0","1","0","0","0"
"Evaluation of diets containing shrimp shell waste and an inoculum of Streptococcus milleri on rumen bacteria and performance of lambs","Cobos, M. A.; Perez-Sato, M.; Piloni-Martini, J.; Gonzalez, S. S.; Barcena, J. R.","","","","ANIMAL FEED SCIENCE AND TECHNOLOGY","JAN 15 2007","2007","132","3-4","","","","324","330","","10.1016/j.anifeedsci.2006.03.019","","","8","0.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","2","0","1","0","0","0","0","1","1","0"
"Soil physicochemical properties change by age of the oil palm crop","Perez-Sato, Marcos; Gomez-Gutierrez, Angel; Lopez-Valdez, Bernando; Ayala-Nino, Fernando; Soni-Guillermo, Eutiquio; Gonzalez-Graillet, Martin; Perez-Hernandez, Hermes","","","","HELIYON","JUN 2023","2023","9","6","","","","","","e16302","10.1016/j.heliyon.2023.e16302","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1"
"The first evidence of accumulation and avoidance behavior of macroinvertebrates in a forest soil spiked with human-made iron nanoparticles: A field experiment","Hermes, Perez-Hernandez; Fabian, Fernandez-Luqueno; Esperanza, Huerta-Lwanga; Jorge, Mendoza-Vega; Jose David, Alvarez-Solis; Edilberto, Hernandez-Gutierrez; Javier Francisco, Valle-Mora; Marcos, Perez-Sato","","","","HELIYON","SEP 2020","2020","6","9","","","","","","e04860","10.1016/j.heliyon.2020.e04860","","","2","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Morphological, molecular and pathogenic diagnostic of fungi in lawn's root and neck in Mexico","Garcia-Munguia, C. A.; Acosta-Ramos, M.; Vazquez-Martinez, O.; Perez-Sato, M.; Garcia-Munguia, A.; Garcia-Munguia, O.; Garcia-Munguia, A. M.","","","","PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY","2017","2017","86","","","","","258","264","","","","","2","0.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"GROUND POLYETHYLENE TEREPHTHALATE BOTTLES AND ITS FUNCTION AS FIBER SUSTITUTE IN DIETS FOR LAMBS","Cobos-Peralta, Mario A.; Mata-Espinosa, Miguel A.; Perez-Sato, Marcos; Hernandez-Sanchez, David; Ferrera-Cerrato, Ronald","","","","AGROCIENCIA","JAN-FEB 2011","2011","45","1","","","","33","41","","","","","1","0.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Growth Performance of Growing Lambs Fed on Pine (Pinnus patula) Sawdust as Basal Diet Supplemented with Monensin Sodium","Guerra-Medina, C. E.; Medina-Torres, L. G.; Montanez-Valdez, O. D.; Perez-Sato, M.; Ley de Coss, A.","","","","ANIMAL NUTRITION AND FEED TECHNOLOGY","JAN 2014","2014","14","1","","","","153","159","","","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
