Pons-Jimenez, Mirna (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Theoretical and experimental insights on the true impact of C12TAC cationic surfactant in enhanced oil recovery for heavy oil carbonate reservoirs","Pons-Jimenez, Mirna; Cartas-Rosado, Rocio; Manuel Martinez-Magadan, Jose; Oviedo-Roa, Raul; Cisneros-Devora, Rodolfo; Beltran, Hiram I.; Zamudio-Rivera, Luis S.","","","","COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS","AUG 5 2014","2014","455","","","","","76","91","","10.1016/j.colsurfa.2014.04.051","","","28","2.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","4","5","5","1","1","0","3","0","1"
"Theoretical and experimental insights into the control of calcium sulfate scales by using random copolymers based on itaconic acid","Pons-Jimenez, Mirna; Hernandez-Altamirano, Raul; Cisneros-Devora, Rodolfo; Buenrostro-Gonzalez, Eduardo; Oviedo-Roa, Rau; Martinez-Magadan, Jose-Manuel; Zamudio-Rivera, Luis S.","","","","FUEL","JUN 1 2015","2015","149","","2","","","66","77","","10.1016/j.fuel.2014.09.064","International-Mexican Congress on Chemical Reaction Engineering (IMCCRE 2014)","JUN 07-13, 2014","24","2.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","2","3","2","4","2","1","1"
"Critical Micelle Concentration of an Ammonium Salt Through DPD Simulations Using COSMO-RS-Based Interaction Parameters","Oviedo-Roa, Raul; Martinez-Magadan, Jose M.; Munoz-Colunga, Ana; Gomez-Balderas, Rodolfo; Pons-Jimenez, Mirna; Zamudio-Rivera, Luis S.","","","","AICHE JOURNAL","NOV 2013","2013","59","11","","","","4413","4423","","10.1002/aic.14158","","","17","1.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","3","4","0","1","1","1","3","0"
"Supramolecular pairing among heteroaromatic compounds and the cationic surfactant C12TAC","Pons-Jimenez, Mirna; Cisneros-Devora, Rodolfo; Gomez-Balderas, Rodolfo; Cartas-Rosado, Roco; Oviedo-Roa, Raul; Beltran, Hiram I.; Buenrostro-Gonzalez, Eduardo; Garcia-Martinez, Jorge; Zamudio-Rivera, Luis-S.; Martinez-Magadan, Jose-Manuel","","","","FUEL","JUN 1 2015","2015","149","","2","","","174","183","","10.1016/j.fuel.2014.08.042","International-Mexican Congress on Chemical Reaction Engineering (IMCCRE 2014)","JUN 07-13, 2014","9","0.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1","3","1","0","0","0","0","0"
"Molecular modeling, synthesis and characterization of branched geminal zwitterionic liquids for enhanced oil recovery","Cisneros-Devora, R.; Nieto-Alvarez, D. A.; Ceron-Camacho, R.; Perez-Alvarez, M.; Cartas-Rosado, A. R.; Oviedo-Roa, R.; Martinez-Magadan, J. M.; Zamudio-Rivera, L. S.; Pons-Jimenez, M.; Hernandez-Altamirano, R.; Mena-Cervantes, V. Y.","","","","ARABIAN JOURNAL OF CHEMISTRY","DEC 2019","2019","12","8","","","","4212","4219","","10.1016/j.arabjc.2016.05.011","","","8","1.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","2","0","1"
"Molecular design of high performance zwitterionic liquids for enhanced heavy-oil recovery processes","Martinez-Magadan, J. M.; Cartas-Rosado, A. R.; Oviedo-Roa, R.; Cisneros-Devora, R.; Pons-Jimenez, M.; Hernandez-Altamirano, R.; Zamudio-Rivera, L. S.","","","","JOURNAL OF MOLECULAR GRAPHICS & MODELLING","MAR 2018","2018","80","","","","","264","271","","10.1016/j.jmgm.2018.01.017","","","7","0.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","2","2","0"
"Foaming supramolecular surfactants for gas mobility control in naturally fractured carbonate reservoirs at high temperature, salinity, and hardness","Soto-Castruita, Enrique; Hernandez-Altamirano, Raul; Buenrostro-Gonzalez, Eduardo; Luna-Rojero, Erick-Emanuel; Ko-Kim, Sung Jae; Mena-Cervantes, Violeta-Yasmin; Pons-Jimenez, Mirna; Ramirez-Perez, Jorge-Francisco; Nieto-Alvarez, David-Aaron; Ceron-Camacho, Ricardo; Parra, Jose-Ernesto; Oviedo-Roa, Raul; Martinez-Magadan, Jose-Manuel; Cisneros-Devora, Rodolfo; Zamudio-Rivera, Luis-S","","","","PETROLEUM SCIENCE","DEC 2022","2022","19","6","","","","3134","3148","","10.1016/j.petsci.2022.06.013","","","6","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0"
"Growth inhibition in calcium sulfate crystal using a copolymer in oil fields: theoretical study and experimental evaluations","Perez-Alvarez, Marissa; Oviedo-Roa, Raul; Soto-Castruita, Enrique; Buenrostro-Gonzalez, Eduardo; Cisneros-Devora, Rodolfo; Nieto-Alvarez, David; Pons-Jimenez, Mirna; Zamudio-Rivera, Luis S.","","","","IRANIAN POLYMER JOURNAL","DEC 2018","2018","27","12","","","","927","937","","10.1007/s13726-018-0663-0","","","4","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1","0","0"
"Development through computational design of a new terpolymer with anti-scale properties applied to the oil production assurance process","Cisneros-Devora, R.; Hernandez-Altamirano, R.; Martinez-Magadan, J-M; Oviedo-Roa, R.; Soto-Castruita, E.; Ceron-Camacho, R.; Zamudio-Rivera, L-S; Pons-Jimenez, M.","","","","FUEL","DEC 15 2020","2020","282","","","","","","","118832","10.1016/j.fuel.2020.118832","","","3","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0"
"Design Via Quantum Chemistry and Experimental Realization of Antiscaling Chemicals Derived from Carboxylic Acids and Sulfonates for High-Salinity and High-Hardness Oil Reservoirs","Oviedo-Roa, Raul; Pons-Jimenez, Mirna; Cisneros-Devora, Rodolfo; Soto-Castruita, Enrique; Martinez-Magadan, Jose-Manuel; Ramirez-Perez, Jorge F.; Ceron-Camacho, Ricardo; Rosales-Arias, Fermin; Zamudio-Rivera, Luis S.","","","","INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH","FEB 2 2024","2024","63","6","","","","2555","2569","","10.1021/acs.iecr.3c04259","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
