Reyes-Martinez, Reyna (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Synthesis and in vitro trichomonicidal, giardicidal and amebicidal activity of N-acetamide(sulfonamide)-2-methyl-4-nitro-1H-imidazoles","Hernandez-Nunez, Emanuel; Tlahuext, Hugo; Moo-Puc, Rosa; Torres-Gomez, Hector; Reyes-Martinez, Reyna; Cedillo-Rivera, Roberto; Nava-Zuazo, Carlos; Navarrete-Vazquez, Gabriel","","","","EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY","JUL 2009","2009","44","7","","","","2975","2984","","10.1016/j.ejmech.2009.01.005","","","50","2.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","3","3","5","2","6","4","3","5","5","1","3","3","1"
"24-and 26-Membered Macrocyclic Diorganotin(IV) Bis-Dithiocarbamate Complexes with N,N′-Disubstituted 1,3-and 1,4-Bis(aminomethyl)benzene and 1,1′-Bis(aminomethyl)ferrocene as Spacer Groups","Santacruz-Juarez, Ericka; Cruz-Huerta, Jorge; Hernandez-Ahuactzi, Iran Fernando; Reyes-Martinez, Reyna; Tlahuext, Hugo; Morales-Rojas, Hugo; Hopfl, Herbert","","","","INORGANIC CHEMISTRY","NOV 3 2008","2008","47","21","","","","9804","9812","","10.1021/ic801464s","","","46","2.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","4","2","7","3","5","2","3","4","3","2","2","0","0","0"
"Diorganotin(IV) complexes with furan-2-carbohydrazone derivatives: synthesis, characterization, crystal structure and antibacterial activity","Sedaghat, Tahereh; Tahmasbi, Leila; Motamedi, Hossein; Reyes-Martinez, Reyna; Morales-Morales, David","","","","JOURNAL OF COORDINATION CHEMISTRY","FEB 1 2013","2013","66","4","","","","712","724","","10.1080/00958972.2013.767449","","","42","3.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","8","2","5","2","4","1","0","6","4","3","0"
"Synthesis, heteronuclear NMR and X-ray crystallographic studies of two dinuclear diorganotin(IV) dithiocarbamate macrocycles","Reyes-Martinez, Reyna; Mejia-Huicochea, Rocio; Guerrero-Alvarez, Jorge A.; Hopfl, Herbert; Tlahuext, Hugo","","","","ARKIVOC","2008","2008","","","5","","","19","30","","10.3998/ark.5550190.0009.503","","","36","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","1","3","2","2","2","4","1","5","3","5","3","0","0","0","0"
"Self-assembly of diphenyltin(IV) and tris-dithiocarbamate ligands to racemic trinuclear cavitands and capsules","Reyes-Martinez, Reyna; Garcia y Garcia, Patricia; Lopez-Cardoso, Marcela; Hoepfl, Herbert; Tlahuext, Hugo","","","","DALTON TRANSACTIONS","2008","2008","","46","","","","6624","6627","","10.1039/b811768n","","","33","1.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","3","3","4","2","3","0","5","1","1","3","2","1","0","0"
"Molecular structures and supramolecular association of chlorodiorganotin(IV) complexes with bis- and tris-dithiocarbamate ligand","Tlahuext, Hugo; Reyes-Martinez, Reyna; Vargas-Pineda, Gabriela; Lopez-Cardoso, Marcela; Hoepfl, Herbert","","","","JOURNAL OF ORGANOMETALLIC CHEMISTRY","FEB 2011","2011","696","3","","","","693","701","","10.1016/j.jorganchem.2010.09.061","","","29","1.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","5","3","5","1","2","2","0","1","3","0","0","0"
"Palladium complexes bearing pyridylthioether ligands. Synthesis and application as efficient phosphine-free catalysts in Suzuki-Miyaura couplings","Lopez-Saucedo, Felipe; Gabriel Flores-Rojas, G.; Gonzalez-Sebastian, Lucero; Reyes-Martinez, Reyna; Manuel German-Acacio, Juan; Avila-Sorrosa, Alcives; Hernandez-Ortega, Simon; Morales-Morales, David","","","","INORGANICA CHIMICA ACTA","MAR 24 2018","2018","473","","","","","83","93","","10.1016/j.ica.2017.12.029","","","22","2.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","5","5","3","2","1","0"
"Synthesis of Pt(II) complexes of the type [Pt(1,10-phenanthroline)(SArFn)2] (SArFn = SC6H3-3,4-F2; SC6F4-4-H; SC6F5). Preliminary evaluation of their in vitro anticancer activity","Backman-Blanco, Geraldine; Valdes, Hugo; Teresa Ramirez-Apan, Maria; Cano-Sanchez, Patricia; Hernandez-Ortega, Simon; Orjuela, Adrian L.; Ali-Torres, Jorge; Flores-Gaspar, Areli; Reyes-Martinez, Reyna; Morales-Morales, David","","","","JOURNAL OF INORGANIC BIOCHEMISTRY","OCT 2020","2020","211","","","","","","","111206","10.1016/j.jinorgbio.2020.111206","","","20","3.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","7","2","5","2"
"Comparative analysis of M-O, M-S and cation-π(arene) interactions in the alkali metal (Na<SUP>+</SUP>, K<SUP>+</SUP>, Rb<SUP>+</SUP>, Cs<SUP>+</SUP>) bis-dithiocarbamate salts of N,N′-dibenzyl-1,2-ethylenediamine","Reyes-Martinez, Reyna; Hoepfl, Herbert; Godoy-Alcantar, Carolina; Medrano, Felipe; Tlahuext, Hugo","","","","CRYSTENGCOMM","2009","2009","11","11","","","","2417","2424","","10.1039/b907160a","","","20","1.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","3","2","2","1","1","0","2","1","1","0","1","0"
"Synthesis and structural characterization of diorganotin dithiocarbamates from 4-(ethylaminomethyl)pyridine","Barba, Victor; Arenaza, Bonifacio; Guerrero, Jorge; Reyes, Reyna","","","","HETEROATOM CHEMISTRY","2012","2012","23","5","","","","422","428","","10.1002/hc.21032","","","19","1.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","1","1","4","1","0","3","2","2","0","0","0"
