Sanchez-Garcia, Sergio (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"The Mini-mental State Examination revisited: ceiling and floor effects after score adjustment for educational level in an aging Mexican population","Franco-Marina, Francisco; Juan Garcia-Gonzalez, Jose; Wagner-Echeagaray, Fernando; Gallo, Joseph; Ugalde, Oscar; Sanchez-Garcia, Sergio; Espinel-Bermudez, Claudia; Juarez-Cedillo, Teresa; Villa Rodriguez, Miguel Angel; Garcia-Pena, Carmen","","","","INTERNATIONAL PSYCHOGERIATRICS","FEB 2010","2010","22","1","","","","72","81","","10.1017/S1041610209990822","","","110","6.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","5","4","9","8","8","10","8","14","16","7","10","1"
"Anthropometric measures and nutritional status in a healthy elderly population","Sanchez-Garcia, Sergio; Garcia-Pena, Carmen; Ximena Duque-Lopez, Maria; Juarez-Cedillo, Teresa; Rosa Cortes-Nunez, Alma; Reyes-Beaman, Sandra","","","","BMC PUBLIC HEALTH","JAN 3 2007","2007","7","","","","","","","2","10.1186/1471-2458-7-2","","","109","5.74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","7","5","14","10","5","10","6","6","2","5","5","8","9","5","4","0"
"Frailty among community-dwelling elderly Mexican people: Prevalence and association with sociodemographic characteristics, health state and the use of health services","Sanchez-Garcia, Sergio; Sanchez-Arenas, Rosalinda; Garcia-Pena, Carmen; Rosas-Carrasco, Oscar; Alberto Avila-Funes, Jose; Ruiz-Arregui, Liliana; Juarez-Cedillo, Teresa","","","","GERIATRICS & GERONTOLOGY INTERNATIONAL","APR 2014","2014","14","2","","","","395","402","","10.1111/ggi.12114","","","84","7.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","10","12","5","8","12","8","10","2","7","0"
"Depressive Symptoms Among Older Adults in Mexico City","Garcia-Pena, Carmen; Wagner, Fernando A.; Sanchez-Garcia, Sergio; Juarez-Cedillo, Teresa; Espinel-Bermudez, Claudia; Juan Garcia-Gonzalez, Jose; Gallegos-Carrillo, Katia; Franco-Marina, Francisco; Gallo, Joseph J.","","","","JOURNAL OF GENERAL INTERNAL MEDICINE","DEC 2008","2008","23","12","","","","1973","1980","","10.1007/s11606-008-0799-2","","","59","3.28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","8","7","3","7","5","1","3","3","7","2","3","2","2","0"
"Frailty in community-dwelling older adults: association with adverse outcomes","Sanchez-Garcia, Sergio; Garcia-Pena, Carmen; Salva, Antoni; Sanchez-Arenas, Rosalinda; Granados-Garcia, Victor; Cuadros-Moreno, Juan; Barbara Velazquez-Olmedo, Laura; Cardenas-Bahena, Angel","","","","CLINICAL INTERVENTIONS IN AGING","2017","2017","12","","","","","1003","1011","","10.2147/CIA.S139860","","","58","6.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","7","11","8","10","8","6","4"
"Prevalence of Mild Cognitive Impairment and Its Subtypes in the Mexican Population","Juarez-Cedillo, Teresa; Sanchez-Arenas, Rosalinda; Sanchez-Garcia, Sergio; Garcia-Pena, Carmen; Hsiung, Ging-Yuek R.; Sepehry, Amir A.; Beattie, B. Lynn; Jacova, Claudia","","","","DEMENTIA AND GERIATRIC COGNITIVE DISORDERS","2012","2012","34","5-6","","","","271","281","","10.1159/000345251","","","49","3.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","2","6","4","1","5","5","9","4","0","6","1"
"Psychometric properties of the General Oral Health Assessment Index (GOHAI) and dental status of an elderly Mexican population","Sanchez-Garcia, Sergio; Heredia-Ponce, Erika; Juarez-Cedillo, Teresa; Gallegos-Carrillo, Katia; Espinel-Bermudez, Claudia; de la Fuente-Hernandez, Javier; Garcia-Pena, Carmen","","","","JOURNAL OF PUBLIC HEALTH DENTISTRY","FAL 2010","2010","70","4","","","","300","307","","10.1111/j.1752-7325.2010.00187.x","","","45","2.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","3","7","4","2","3","5","2","3","2","4","4","0"
"The impact of poor oral health on the oral health-related quality of life (OHRQoL) in older adults: the oral health status through a latent class analysis","Beatriz Ortiz-Barrios, Lyzbeth; Granados-Garcia, Victor; Cruz-Hervert, Pablo; Moreno-Tamayo, Karla; Heredia-Ponce, Erika; Sanchez-Garcia, Sergio","","","","BMC ORAL HEALTH","JUL 10 2019","2019","19","","","","","","","141","10.1186/s12903-019-0840-3","","","43","6.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","11","7","4","17","0"
"Late-life depressive symptoms: Prediction models of change","Garcia-Pena, Carmen; Wagner, Fernando A.; Sanchez-Garcia, Sergio; Espinel-Bermudez, Claudia; Juarez-Cedillo, Teresa; Perez-Zepeda, Mario; Arango-Lopera, Victoria; Franco-Marina, Francisco; Ramirez-Aldana, Ricardo; Gallo, Joseph J.","","","","JOURNAL OF AFFECTIVE DISORDERS","SEP 25 2013","2013","150","3","","","","886","894","","10.1016/j.jad.2013.05.007","","","38","2.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","3","4","5","3","4","0","5","6","1","0"
"Decreased Autonomy In Community-Dwelling Older Adults","Sanchez-Garcia, Sergio; Garcia-Pena, Carmen; Ramirez-Garcia, Eliseo; Moreno-Tamayo, Karla; Rafael Cantu-Quintanilla, Guillermo","","","","CLINICAL INTERVENTIONS IN AGING","2019","2019","14","","","","","2041","2053","","10.2147/CIA.S225479","","","33","4.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","3","12","9","1"
