Valente, J. S. (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Activation of Mg-Al hydrotalcite catalysts for aldol condensation reactions","Rao, KK; Gravelle, M; Valente, JS; Figueras, F","","","","JOURNAL OF CATALYSIS","JAN 1 1998","1998","173","1","","","","115","121","","10.1006/jcat.1997.1878","","","338","12.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","9","14","22","11","13","22","19","14","16","11","23","10","12","19","14","13","11","17","6","8","8","11","7","7","9","0"
"Adsorption and photocatalytic degradation of phenol and 2,4 dichlorophenoxiacetic acid by Mg-Zn-Al layered double hydroxides","Valente, Jaime S.; Tzompantzi, Francisco; Prince, Julia; Cortez, Jose G. H.; Gomez, Ricardo","","","","APPLIED CATALYSIS B-ENVIRONMENTAL","AUG 17 2009","2009","90","3-4","","","","330","338","","10.1016/j.apcatb.2009.03.019","","","239","14.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","16","13","21","22","16","24","26","22","11","20","11","11","10","6","2"
"Basic properties of the mixed oxides obtained by thermal decomposition of hydrotalcites containing different metallic compositions","Valente, JS; Figueras, F; Gravelle, M; Kumbhar, P; Lopez, J; Besse, JP","","","","JOURNAL OF CATALYSIS","JAN 25 2000","2000","189","2","","","","370","381","","10.1006/jcat.1999.2706","","","174","6.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","12","4","5","14","11","14","9","12","12","8","9","8","10","4","5","3","6","6","5","6","2","3","2","0"
"Highly efficient photocatalytic elimination of phenol and chlorinated phenols by CeO2/MgAl layered double hydroxides","Valente, Jaime S.; Tzompantzi, Francisco; Prince, Julia","","","","APPLIED CATALYSIS B-ENVIRONMENTAL","FEB 1 2011","2011","102","1-2","","","","276","285","","10.1016/j.apcatb.2010.12.009","","","139","9.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","10","13","19","24","11","12","8","10","6","5","7","5","3"
"Meerwein-Ponndorf-Verley reduction of carbonyl compounds catalysed by Mg-Al hydrotalcite","Kumbhar, PS; Sanchez-Valente, J; Lopez, J; Figueras, F","","","","CHEMICAL COMMUNICATIONS","MAR 7 1998","1998","","5","","","","535","536","","10.1039/a708431e","","","112","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","7","10","9","4","6","7","7","2","6","4","6","2","2","6","4","3","3","3","4","4","1","1","1","1","0"
"Crystallization of sol-gel boehmite via hydrothermal annealing","Bokhimi, X; Sánchez-Valente, J; Pedraza, F","","","","JOURNAL OF SOLID STATE CHEMISTRY","JUN 2002","2002","166","1","","","","182","190","","10.1006/jssc.2002.9579","","","101","4.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","2","4","5","3","3","8","6","8","2","9","5","5","4","8","6","1","5","7","0","3","0"
"Chemical, Structural, and Morphological Changes of a MoVTeNb Catalyst during Oxidative Dehydrogenation of Ethane","Valente, Jaime S.; Armendariz-Herrera, Hector; Quintana-Solorzano, Roberto; del Angel, Paz; Nava, Noel; Masso, Amada; Lopez Nieto, Jose M.","","","","ACS CATALYSIS","MAY 2014","2014","4","5","","","","1292","1301","","10.1021/cs500143j","","","100","8.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","8","5","11","10","10","12","11","8","9","4"
"SOx removal by calcined MgAIFe hydrotalcite-like materials:: Effect of the chemical composition and the cerium incorporation method","Cantú, M; López-Salinas, E; Valente, JS","","","","ENVIRONMENTAL SCIENCE & TECHNOLOGY","DEC 15 2005","2005","39","24","","","","9715","9720","","10.1021/es051305m","","","96","4.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","9","8","12","6","10","8","9","7","2","4","4","3","3","1","1","2","0"
"Comprehending the Thermal Decomposition and Reconstruction Process of Sol-Gel MgAl Layered Double Hydroxides","Valente, Jaime S.; Lima, Enrique; Toledo-Antonio, Jose A.; Cortes-Jacome, Maria A.; Lartundo-Rojas, Luis; Montiel, Ramon; Prince, Julia","","","","JOURNAL OF PHYSICAL CHEMISTRY C","FEB 11 2010","2010","114","5","","","","2089","2099","","10.1021/jp910538r","","","89","5.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","4","6","7","8","4","3","2","5","5","7","8","8","12","2"
"Method for Large-Scale Production of Multimetallic Layered Double Hydroxides: Formation Mechanism Discernment","Valente, Jaime S.; Sanchez-Cantu, Manuel; Lima, Enrique; Figueras, Francois","","","","CHEMISTRY OF MATERIALS","DEC 22 2009","2009","21","24","","","","5809","5818","","10.1021/cm902377p","","","85","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","4","9","7","7","5","8","8","10","5","4","4","2","3","1"
