NOMBRE DEL INVESTIGADOR,NOMBRE_INVENTOR,Ratio
"VAZQUEZ GUEVARA,MIGUEL ANGEL","VAZQUEZ GUEVARA,MIGUEL ANGEL",100.0
"DOMINGUEZ ESQUIVEL,JOSE MANUEL","DOMINGUEZ ESQUIVEL,JOSE MANUEL",100.0
"MIRANDA OLVERA,ALMA DELIA","MIRANDA OLVERA,ALMA DELIA",100.0
"FLORES SANCHEZ,PATRICIA","FLORES SANCHEZ,PATRICIA",100.0
"ABURTO ANELL,JORGE ARTURO","ABURTO ANELL,JORGE ARTURO",100.0
"REYES VIDAL,MARIA YOLANDA","REYES VIDAL,MARIA YOLANDA",100.0
"MARIN CRUZ,JESUS","MARIN CRUZ,JESUS",100.0
"VEGA PAZ,ARACELI","VEGA PAZ,ARACELI",100.0
"MONTIEL SANCHEZ,LUISA ELENA","MONTIEL SANCHEZ,LUISA ELENA",100.0
"MARTINEZ PALOU,RAFAEL","MARTINEZ PALOU,RAFAEL",100.0
"QUEJ AKE,LUIS MANUEL","QUEJ AKE,LUIS MANUEL",100.0
"SANCHEZ GARCIA,VERONICA","SANCHEZ GARCIA,VERONICA",100.0
"BENITEZ AGUILAR,JOSE LUIS RODOLFO","BENITEZ AGUILAR,JOSE LUIS RODOLFO",100.0
"CASTILLO CERVANTES,SALVADOR","CASTILLO CERVANTES,SALVADOR",100.0
"HERNANDEZ GONZALEZ,GUILLERMO","HERNANDEZ GONZALEZ,GUILLERMO",100.0
"MEJIA CENTENO,ISIDRO","MEJIA CENTENO,ISIDRO",100.0
"VARGAS ESCUDERO,ALFREDO","VARGAS ESCUDERO,ALFREDO",100.0
"MORAN PINEDA,FLORENCIA MARINA","MORAN PINEDA,FLORENCIA MARINA",100.0
"CAMPOSECO SOLIS,ROBERTO","CAMPOSECO SOLIS,ROBERTO",100.0
"NAVARRETE BOLANOS,JUAN","NAVARRETE BOLANOS,JUAN",100.0
"GOMEZ RAMIREZ,MARLENNE","GOMEZ RAMIREZ,MARLENNE",100.0
"GARCIA DE LEON,ROBERTO","GARCIA DE LEON,ROBERTO",100.0
"ROJAS AVELIZAPA,NORMA GABRIELA","ROJAS AVELIZAPA,NORMA GABRIELA",100.0
"HERNANDEZ GAMA,REGINA","HERNANDEZ GAMA,REGINA",100.0
"SANCHEZ GARCIA,SERGIO","SANCHEZ GARCIA,SERGIO",100.0
"VILLANUEVA PONCE,RODRIGO","VILLANUEVA PONCE,RODRIGO",100.0
"MEJIA PEREZ,GUSTAVO","MEJIA PEREZ,GUSTAVO",100.0
"ANCHEYTA JUAREZ,JORGE","ANCHEYTA JUAREZ,JORGE",100.0
"RAMIREZ SOLIS,JORGE FERNANDO","RAMIREZ SOLIS,JORGE FERNANDO",100.0
"RAYO MAYORAL,PATRICIA","RAYO MAYORAL,PATRICIA",100.0
"CENTENO NOLASCO,GUILLERMO","CENTENO NOLASCO,GUILLERMO",100.0
"MARROQUIN SANCHEZ,GUSTAVO JESUS","MARROQUIN SANCHEZ,GUSTAVO JESUS",100.0
"BELTRAN CONDE,HIRAM ISAAC","BELTRAN CONDE,HIRAM ISAAC",100.0
"ZAMUDIO RIVERA,LUIS SILVESTRE","ZAMUDIO RIVERA,LUIS SILVESTRE",100.0
"DOMINGUEZ AGUILAR,MARCO ANTONIO","DOMINGUEZ AGUILAR,MARCO ANTONIO",100.0
"MENA CERVANTES,VIOLETA YASMIN","MENA CERVANTES,VIOLETA YASMIN",100.0
"HERNANDEZ ALTAMIRANO,RAUL","HERNANDEZ ALTAMIRANO,RAUL",100.0
"VAZQUEZ MORENO,FLAVIO SALVADOR","VAZQUEZ MORENO,FLAVIO SALVADOR",100.0
"ALVAREZ RAMIREZ,FERNANDO","ALVAREZ RAMIREZ,FERNANDO",100.0
"HERNANDEZ CORTEZ,JOSE GONZALO","HERNANDEZ CORTEZ,JOSE GONZALO",100.0
"CASTRO SOTELO,LAURA VERONICA","CASTRO SOTELO,LAURA VERONICA",100.0
"FLORES SANDOVAL,CESAR ANDRES","FLORES SANDOVAL,CESAR ANDRES",100.0
"FLORES OROPEZA,EUGENIO ALEJANDRO","FLORES OROPEZA,EUGENIO ALEJANDRO",100.0
"REYES MARTINEZ,REYNA","REYES MARTINEZ,REYNA",100.0
"MAYA FLORES,ETEL","MAYA FLORES,ETEL",100.0
"SANCHEZ VALENTE,JAIME","SANCHEZ VALENTE,JAIME",100.0
"QUINTANA SOLORZANO,ROBERTO","QUINTANA SOLORZANO,ROBERTO",100.0
"DEL ANGEL VICENTE,PAZ","DEL ANGEL VICENTE,PAZ",100.0
"ARMENDARIZ HERRERA,HECTOR","ARMENDARIZ HERRERA,HECTOR",100.0
"GUZMAN CASTILLO,MARIA DE LOURDES ALEJANDRA","GUZMAN CASTILLO,MARIA DE LOURDES ALEJANDRA",100.0
"SANCHEZ,JOHN EDER","SANCHEZ,JOHN EDER",100.0
"PONCE PEDRAZA,ARTURO","PONCE PEDRAZA,ARTURO",100.0
"JOSE YACAMAN,MIGUEL","JOSE Y YACAMAN,MIGUEL",100.0
"HERNANDEZ SUAREZ,ROGELIO","HERNANDEZ SUAREZ,ROGELIO",100.0
"JIMENEZ CRUZ,FEDERICO JESUS","JIMENEZ CRUZ,FEDERICO JESUS",100.0
"MARIN ROSAS,CELIA","MARIN ROSAS,CELIA",100.0
"CASTANEDA LOPEZ,LUIS CARLOS","CASTANEDA LOPEZ,LUIS CARLOS",100.0
"MURRIETA GUEVARA,FLORENTINO RAFAEL","MURRIETA GUEVARA,FLORENTINO RAFAEL",100.0
"LOPEZ LIMA,JOSE DANIEL","LOPEZ LIMA,JOSE DANIEL",100.0
"CARRION VILLARNOVO,GLORIA LUZ LAURA","CARRION VILLARNOVO,GLORIA LUZ LAURA",100.0
"ALEMAN VAZQUEZ,LAURA OLIVIA","ALEMAN VAZQUEZ,LAURA OLIVIA",100.0
"ZENTENO RAMIREZ,ANTONIO","ZENTENO RAMIREZ,ANTONIO",100.0
"LEDESMA OROZCO,ELIAS RIGOBERTO","LEDESMA OROZCO,ELIAS RIGOBERTO",100.0
"ALCANTAR CAMARENA,VICTOR ALFONSO","ALCANTAR CAMARENA,VICTOR ALFONSO",100.0
"VALLEJO GALLAND,BELINDA","VALLEJO GALLAND,BELINDA",100.0
"RODRIGUEZ FIGUEROA,JOSE CARLOS","RODRIGUEZ FIGUEROA,JOSE CARLOS",100.0
"GONZALEZ CORDOVA,AARON FERNANDO","GONZALEZ CORDOVA,AARON FERNANDO",100.0
