patent_number,patent_title,patent_date,inventor_city,inventor_country,inventor_first_name,inventor_first_seen_date,inventor_id,inventor_last_name,inventor_last_seen_date,inventor_lastknown_city,inventor_lastknown_country,inventor_sequence,inventor_state,inventor_state_fips,inventor_total_num_patents
10000004,"Process of obtaining a double-oriented film, co-extruded, and of low thickness made by a three bubble process that at the time of being thermoformed provides a uniform thickness in the produced tray",2018-06-19,Monterrey,MX,Jose Juan,2018-06-19,fl:jo_ln:valadezlopez-1,Valadez Lopez,2018-06-19,Monterrey,MX,1,,,1
10000004,"Process of obtaining a double-oriented film, co-extruded, and of low thickness made by a three bubble process that at the time of being thermoformed provides a uniform thickness in the produced tray",2018-06-19,Monterrey,MX,Miguel Jorge,2018-06-19,fl:mi_ln:zubiriaelizondo-1,ZUBIRIA ELIZONDO,2018-06-19,Monterrey,MX,0,,,1
10000241,Rocker reinforcement bracket having anti-corrosion holes,2018-06-19,Sterling Heights,US,Rezaul,2017-04-25,fl:re_ln:choudhury-1,Choudhury,2018-08-28,Sterling Heights,US,1,MI,26,3
10000241,Rocker reinforcement bracket having anti-corrosion holes,2018-06-19,Mexico City,MX,Ohster Edga,2018-06-19,fl:oh_ln:zapataabdala-1,Zapata Abdala,2018-06-19,Mexico City,MX,0,,,1
10000435,Energy and environmentally integrated method for production of aromatic dicarboxylic acids by oxidation,2018-06-19,Cosoleacaque,MX,Verona,2018-06-19,dx9qmm8mk3rde0t9214vlv4cg,Medina Valencia,2018-06-19,Cosoleacaque,MX,3,,,1
10000435,Energy and environmentally integrated method for production of aromatic dicarboxylic acids by oxidation,2018-06-19,Altamira,MX,Pamela Shantal,2018-06-19,9d4n533n2s9opo012aqktrdux,Ramírez Sosa,2018-06-19,Altamira,MX,1,,,1
10000435,Energy and environmentally integrated method for production of aromatic dicarboxylic acids by oxidation,2018-06-19,Cosoleacaque,MX,Bertha,2018-06-19,fl:be_ln:morandelgado-2,Morán Delgado,2018-06-19,Cosoleacaque,MX,5,,,1
10000435,Energy and environmentally integrated method for production of aromatic dicarboxylic acids by oxidation,2018-06-19,Altamira,MX,Alfredo,2018-06-19,19kdcpzvts7tmpb6kqud4ypr0,Escobar López,2018-06-19,Altamira,MX,2,,,1
10000435,Energy and environmentally integrated method for production of aromatic dicarboxylic acids by oxidation,2018-06-19,Altamira,MX,José Gabriel,2018-06-19,mlisb6ubln0e0akalhgrxx07u,Quintero Barajas,2018-06-19,Altamira,MX,0,,,1
10000435,Energy and environmentally integrated method for production of aromatic dicarboxylic acids by oxidation,2018-06-19,Cosoleacaque,MX,Arturo,2018-06-19,fl:ar_ln:bulbarelacroda-2,Bulbarela Croda,2018-06-19,Cosoleacaque,MX,4,,,1
